,Şehir,İlçe,Geçerli oy sayısı,Oy kullanan seçmen sayısı,Kayıtlı seçmen sayısı,Sandık sayısı ,AK PARTİ,MHP,CHP,İYİ PARTİ,HDP,SAADET PARTİSİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,VATAN PARTİSİ,HÜDA PAR,BĞMZ
25,Adana,Aladağ,10507.0,10829.0,12018.0,50.0,5092.0,1859.0,1557.0,1598.0,63.0,135.0,99.0,11.0,44.0,45.0,4.0
5,Adana,Ceyhan,93224.0,95135.0,110714.0,354.0,28443.0,13283.0,21430.0,12238.0,15444.0,779.0,846.0,157.0,190.0,372.0,42.0
7,Adana,Feke,10632.0,10987.0,12564.0,62.0,5818.0,1626.0,1326.0,1449.0,44.0,128.0,114.0,20.0,43.0,57.0,7.0
9,Adana,Karaisalı,14143.0,14537.0,16041.0,79.0,7879.0,2432.0,1292.0,2038.0,91.0,187.0,139.0,12.0,25.0,46.0,2.0
11,Adana,Karataş,13963.0,14180.0,16151.0,70.0,3457.0,1896.0,5233.0,1505.0,1569.0,104.0,110.0,34.0,24.0,31.0,0.0
13,Adana,Kozan,76810.0,78781.0,92315.0,305.0,36118.0,11986.0,11241.0,14052.0,853.0,1042.0,900.0,139.0,209.0,248.0,22.0
15,Adana,Pozantı,12881.0,13181.0,14503.0,51.0,5803.0,2004.0,2684.0,1709.0,233.0,212.0,153.0,21.0,28.0,30.0,4.0
17,Adana,Saimbeyli,8688.0,8996.0,10942.0,45.0,4429.0,2107.0,922.0,868.0,69.0,79.0,119.0,11.0,43.0,36.0,5.0
29,Adana,Sarıçam,91922.0,93526.0,106808.0,322.0,37337.0,19863.0,14026.0,13903.0,4109.0,858.0,1264.0,166.0,112.0,265.0,19.0
3,Adana,Seyhan,457965.0,466048.0,544445.0,1509.0,136592.0,40669.0,131387.0,44007.0,92814.0,4605.0,3533.0,977.0,793.0,2447.0,141.0
19,Adana,Tufanbeyli,10809.0,11152.0,12755.0,60.0,4626.0,2508.0,2084.0,1018.0,156.0,167.0,139.0,10.0,33.0,64.0,4.0
21,Adana,Yumurtalık,11003.0,11274.0,13108.0,47.0,3811.0,1788.0,2678.0,2027.0,391.0,100.0,118.0,27.0,33.0,29.0,1.0
23,Adana,Yüreğir,225295.0,230697.0,275514.0,787.0,88348.0,22022.0,49539.0,20010.0,37420.0,2193.0,1990.0,456.0,338.0,2929.0,50.0
31,Adana,Çukurova,234948.0,237226.0,266788.0,736.0,56345.0,23610.0,89387.0,40236.0,19186.0,2922.0,1637.0,713.0,447.0,356.0,109.0
27,Adana,İmamoğlu,16477.0,16948.0,20256.0,66.0,8005.0,2440.0,2711.0,2364.0,389.0,227.0,243.0,25.0,33.0,37.0,3.0
4,Adıyaman,Adıyaman Merkez,166939.0,170910.0,193718.0,620.0,80895.0,16923.0,21296.0,10293.0,32013.0,2699.0,1146.0,168.0,184.0,1322.0,0.0
7,Adıyaman,Besni,41083.0,42421.0,50927.0,195.0,22159.0,3733.0,6994.0,2941.0,4083.0,479.0,317.0,73.0,121.0,183.0,0.0
13,Adıyaman,Gerger,8528.0,8803.0,11605.0,63.0,6688.0,284.0,309.0,180.0,788.0,163.0,40.0,9.0,26.0,41.0,0.0
16,Adıyaman,Gölbaşı,29005.0,29717.0,34202.0,115.0,13369.0,4106.0,6492.0,1982.0,2256.0,270.0,308.0,54.0,80.0,88.0,0.0
19,Adıyaman,Kahta,60785.0,62538.0,74961.0,290.0,40651.0,3304.0,1780.0,1195.0,9707.0,1377.0,316.0,31.0,123.0,2301.0,0.0
22,Adıyaman,Samsat,4319.0,4414.0,4806.0,25.0,2853.0,418.0,105.0,174.0,384.0,146.0,15.0,4.0,1.0,219.0,0.0
25,Adıyaman,Sincik,10366.0,10450.0,11512.0,54.0,9046.0,497.0,147.0,305.0,196.0,104.0,37.0,4.0,4.0,26.0,0.0
28,Adıyaman,Tut,5725.0,5957.0,6879.0,28.0,2763.0,747.0,1298.0,473.0,305.0,37.0,48.0,10.0,18.0,26.0,0.0
10,Adıyaman,Çelikhan,9634.0,9888.0,10671.0,53.0,5348.0,509.0,1299.0,210.0,1909.0,239.0,53.0,10.0,14.0,43.0,0.0
4,Afyonkarahisar,Afyonkarahisar Merkez,176728.0,179752.0,195131.0,584.0,99396.0,24542.0,20314.0,25386.0,1719.0,2238.0,2280.0,353.0,271.0,229.0,0.0
40,Afyonkarahisar,Bayat,4853.0,5110.0,5695.0,24.0,2630.0,622.0,711.0,693.0,28.0,29.0,84.0,10.0,28.0,18.0,0.0
37,Afyonkarahisar,Başmakçı,6797.0,7126.0,7818.0,31.0,3061.0,881.0,1707.0,893.0,32.0,56.0,81.0,20.0,39.0,27.0,0.0
7,Afyonkarahisar,Bolvadin,26995.0,27724.0,31137.0,122.0,14450.0,5984.0,2445.0,2963.0,154.0,370.0,478.0,48.0,47.0,56.0,0.0
13,Afyonkarahisar,Dazkırı,7605.0,7787.0,8481.0,34.0,3647.0,1058.0,1560.0,1082.0,41.0,71.0,86.0,21.0,15.0,24.0,0.0
16,Afyonkarahisar,Dinar,29932.0,30977.0,34977.0,151.0,12750.0,4046.0,7502.0,4453.0,254.0,293.0,334.0,95.0,107.0,98.0,0.0
19,Afyonkarahisar,Emirdağ,21957.0,22693.0,27862.0,132.0,11339.0,2532.0,4490.0,2740.0,189.0,203.0,283.0,37.0,74.0,70.0,0.0
49,Afyonkarahisar,Evciler,4979.0,5094.0,5617.0,22.0,2321.0,552.0,1305.0,678.0,15.0,29.0,53.0,7.0,8.0,11.0,0.0
52,Afyonkarahisar,Hocalar,6206.0,6528.0,7357.0,30.0,3726.0,997.0,562.0,654.0,35.0,54.0,114.0,6.0,32.0,26.0,0.0
55,Afyonkarahisar,Kızılören,1706.0,1775.0,2001.0,9.0,809.0,270.0,284.0,284.0,7.0,10.0,24.0,2.0,9.0,7.0,0.0
25,Afyonkarahisar,Sandıklı,35494.0,36672.0,41255.0,150.0,19861.0,4766.0,4231.0,5176.0,224.0,511.0,448.0,59.0,126.0,92.0,0.0
28,Afyonkarahisar,Sinanpaşa,26423.0,27285.0,30039.0,118.0,16053.0,3575.0,3143.0,2864.0,64.0,171.0,366.0,45.0,80.0,62.0,0.0
31,Afyonkarahisar,Sultandağı,10905.0,11355.0,12699.0,48.0,2951.0,886.0,4412.0,2090.0,222.0,104.0,59.0,47.0,69.0,65.0,0.0
10,Afyonkarahisar,Çay,20203.0,20939.0,23590.0,81.0,9935.0,2556.0,3783.0,3194.0,143.0,187.0,214.0,47.0,80.0,64.0,0.0
46,Afyonkarahisar,Çobanlar,8110.0,8358.0,9011.0,34.0,4234.0,1696.0,762.0,1150.0,25.0,57.0,137.0,9.0,15.0,25.0,0.0
22,Afyonkarahisar,İhsaniye,18150.0,18590.0,19876.0,79.0,11268.0,2971.0,1841.0,1546.0,61.0,155.0,210.0,20.0,53.0,25.0,0.0
43,Afyonkarahisar,İscehisar,15317.0,15639.0,16583.0,56.0,9838.0,1747.0,680.0,2440.0,73.0,157.0,306.0,21.0,27.0,28.0,0.0
34,Afyonkarahisar,Şuhut,24995.0,25762.0,27722.0,102.0,15344.0,2357.0,4078.0,2420.0,96.0,270.0,289.0,33.0,58.0,50.0,0.0
4,Aksaray,Aksaray Merkez,160866.0,164245.0,187735.0,581.0,88059.0,33936.0,13970.0,18386.0,1920.0,1256.0,2316.0,266.0,285.0,472.0,0.0
10,Aksaray,Ağaçören,5177.0,5355.0,6284.0,40.0,2934.0,1277.0,267.0,452.0,17.0,64.0,130.0,5.0,8.0,23.0,0.0
19,Aksaray,Eskil,15453.0,15797.0,17510.0,67.0,9140.0,2911.0,1582.0,1387.0,28.0,156.0,171.0,16.0,27.0,35.0,0.0
22,Aksaray,Gülağaç,11073.0,11353.0,13566.0,47.0,5487.0,2160.0,2138.0,744.0,193.0,94.0,186.0,15.0,35.0,21.0,0.0
13,Aksaray,Güzelyurt,6829.0,7030.0,8240.0,31.0,3625.0,1540.0,959.0,342.0,137.0,32.0,154.0,7.0,15.0,18.0,0.0
7,Aksaray,Ortaköy,18874.0,19417.0,22942.0,87.0,10907.0,3681.0,1580.0,2000.0,127.0,158.0,303.0,26.0,53.0,39.0,0.0
16,Aksaray,Sarıyahşi,2634.0,2758.0,3743.0,16.0,1476.0,401.0,340.0,260.0,16.0,71.0,33.0,7.0,13.0,17.0,0.0
25,Aksaray,Sultanhanı,6072.0,6220.0,6850.0,22.0,3698.0,682.0,920.0,622.0,23.0,55.0,44.0,9.0,5.0,14.0,0.0
4,Amasya,Amasya Merkez,91414.0,93175.0,101641.0,345.0,40714.0,11982.0,21331.0,13421.0,1544.0,997.0,933.0,219.0,159.0,114.0,0.0
7,Amasya,Göynücek,7235.0,7466.0,8202.0,50.0,3827.0,902.0,1483.0,668.0,161.0,52.0,78.0,12.0,28.0,24.0,0.0
10,Amasya,Gümüşhacıköy,17146.0,17508.0,18699.0,84.0,6105.0,1147.0,7758.0,1088.0,613.0,211.0,129.0,41.0,22.0,32.0,0.0
22,Amasya,Hamamözü,2804.0,2893.0,3077.0,22.0,1393.0,445.0,633.0,213.0,28.0,23.0,43.0,5.0,13.0,8.0,0.0
13,Amasya,Merzifon,49067.0,49846.0,54817.0,204.0,19253.0,5859.0,15710.0,5854.0,1097.0,606.0,453.0,98.0,77.0,60.0,0.0
16,Amasya,Suluova,31435.0,32277.0,35156.0,129.0,18476.0,4519.0,3701.0,3407.0,352.0,398.0,420.0,49.0,66.0,47.0,0.0
19,Amasya,Taşova,21642.0,22401.0,24894.0,107.0,11778.0,2344.0,4187.0,2471.0,187.0,182.0,294.0,43.0,82.0,74.0,0.0
19,Ankara,Akyurt,20576.0,20913.0,22893.0,77.0,12652.0,3872.0,1491.0,1494.0,392.0,244.0,348.0,15.0,30.0,38.0,0.0
3,Ankara,Altındağ,223434.0,227403.0,257689.0,710.0,118406.0,28767.0,40176.0,19277.0,9425.0,3190.0,3058.0,466.0,410.0,259.0,0.0
3,Ankara,Ayaş,8872.0,9049.0,9827.0,45.0,3711.0,1088.0,2716.0,853.0,278.0,83.0,65.0,22.0,33.0,21.0,2.0
3,Ankara,Bala,12326.0,12703.0,15512.0,72.0,5502.0,2846.0,1416.0,1141.0,1029.0,91.0,223.0,25.0,18.0,32.0,3.0
5,Ankara,Beypazarı,31979.0,32677.0,36755.0,157.0,14822.0,6814.0,3517.0,5238.0,573.0,381.0,434.0,48.0,87.0,58.0,7.0
7,Ankara,Elmadağ,29022.0,29683.0,32339.0,105.0,10719.0,3996.0,8222.0,3405.0,1426.0,794.0,254.0,76.0,49.0,70.0,11.0
13,Ankara,Etimesgut,355608.0,359813.0,403249.0,1084.0,124562.0,47930.0,94635.0,55046.0,21398.0,6103.0,3482.0,1231.0,707.0,344.0,170.0
19,Ankara,Evren,1877.0,1958.0,2342.0,15.0,928.0,323.0,289.0,267.0,13.0,22.0,19.0,1.0,8.0,6.0,1.0
15,Ankara,Gölbaşı,78048.0,79281.0,88596.0,263.0,30381.0,14242.0,15285.0,9879.0,5048.0,1774.0,918.0,238.0,144.0,72.0,67.0
9,Ankara,Güdül,6165.0,6311.0,7033.0,38.0,3451.0,942.0,762.0,754.0,23.0,78.0,78.0,10.0,50.0,17.0,0.0
9,Ankara,Haymana,17013.0,17454.0,21199.0,108.0,9796.0,1817.0,1644.0,888.0,2300.0,298.0,155.0,11.0,28.0,72.0,4.0
17,Ankara,Kahramankazan,32271.0,32766.0,36108.0,127.0,17423.0,6143.0,3051.0,3825.0,818.0,449.0,409.0,40.0,67.0,46.0,0.0
11,Ankara,Kalecik,8874.0,9152.0,10082.0,67.0,4766.0,1347.0,1418.0,963.0,91.0,85.0,128.0,21.0,38.0,17.0,0.0
15,Ankara,Keçiören,580731.0,589034.0,663345.0,1796.0,262238.0,84098.0,119562.0,69027.0,26203.0,9321.0,7025.0,1524.0,1104.0,629.0,0.0
13,Ankara,Kızılcahamam,18236.0,18668.0,20675.0,143.0,10150.0,3321.0,1695.0,2181.0,126.0,358.0,266.0,39.0,45.0,55.0,0.0
17,Ankara,Mamak,399429.0,406526.0,453000.0,1231.0,159473.0,51664.0,116187.0,35359.0,25664.0,4357.0,4611.0,960.0,615.0,354.0,185.0
7,Ankara,Nallıhan,19516.0,20128.0,22582.0,121.0,8890.0,2995.0,3661.0,3247.0,127.0,171.0,248.0,60.0,56.0,51.0,10.0
11,Ankara,Polatlı,74400.0,76087.0,88480.0,295.0,32678.0,12081.0,11563.0,11102.0,4735.0,918.0,879.0,157.0,155.0,115.0,17.0
21,Ankara,Pursaklar,87465.0,88760.0,97665.0,272.0,53917.0,14426.0,6774.0,7729.0,1559.0,1507.0,1231.0,133.0,116.0,73.0,0.0
11,Ankara,Sincan,321802.0,327145.0,361722.0,1029.0,167607.0,54765.0,42449.0,34055.0,12341.0,4565.0,4349.0,674.0,398.0,521.0,78.0
9,Ankara,Yenimahalle,430886.0,436824.0,483390.0,1320.0,147343.0,49092.0,131397.0,59713.0,28961.0,7376.0,3968.0,1551.0,953.0,330.0,202.0
5,Ankara,Çamlıdere,5827.0,5923.0,6561.0,50.0,3707.0,1236.0,411.0,316.0,11.0,49.0,71.0,8.0,9.0,9.0,0.0
5,Ankara,Çankaya,599261.0,605595.0,675782.0,1864.0,105582.0,40309.0,282527.0,89048.0,64257.0,8488.0,3006.0,2835.0,2107.0,375.0,727.0
7,Ankara,Çubuk,56615.0,57643.0,63167.0,234.0,34023.0,10297.0,5394.0,4080.0,987.0,815.0,765.0,88.0,83.0,83.0,0.0
13,Ankara,Şereflikoçhisar,20057.0,20820.0,24592.0,105.0,9063.0,2986.0,3488.0,2860.0,1007.0,217.0,277.0,46.0,54.0,50.0,9.0
3,Antalya,Akseki,7574.0,7939.0,9242.0,60.0,3584.0,634.0,2061.0,954.0,69.0,117.0,81.0,24.0,25.0,22.0,3.0
31,Antalya,Aksu,41182.0,42519.0,48961.0,148.0,15864.0,4705.0,8031.0,8756.0,2801.0,291.0,391.0,108.0,91.0,121.0,23.0
5,Antalya,Alanya,171418.0,175559.0,204844.0,614.0,64630.0,22584.0,35545.0,35609.0,8055.0,1378.0,1677.0,420.0,562.0,399.0,559.0
25,Antalya,Demre,17335.0,17863.0,19546.0,58.0,7026.0,1294.0,4000.0,3986.0,268.0,477.0,106.0,50.0,53.0,60.0,15.0
33,Antalya,Döşemealtı,37595.0,38645.0,41987.0,130.0,14808.0,3901.0,9386.0,5930.0,2530.0,377.0,389.0,109.0,77.0,66.0,22.0
7,Antalya,Elmalı,26117.0,26998.0,29636.0,111.0,10955.0,2193.0,6352.0,5252.0,570.0,379.0,205.0,61.0,69.0,72.0,9.0
9,Antalya,Finike,30776.0,31619.0,36261.0,115.0,11467.0,3187.0,8447.0,5873.0,1007.0,298.0,234.0,77.0,95.0,80.0,11.0
11,Antalya,Gazipaşa,32607.0,33725.0,37887.0,129.0,10876.0,2908.0,11136.0,6012.0,706.0,371.0,220.0,94.0,170.0,92.0,22.0
13,Antalya,Gündoğmuş,4994.0,5363.0,6143.0,32.0,2265.0,405.0,1008.0,1037.0,64.0,63.0,43.0,8.0,47.0,45.0,9.0
15,Antalya,Kaş,36786.0,38297.0,43147.0,149.0,13210.0,2688.0,11241.0,7255.0,1354.0,363.0,220.0,139.0,141.0,136.0,39.0
29,Antalya,Kemer,24122.0,24622.0,28545.0,83.0,7756.0,2452.0,7584.0,3890.0,1855.0,186.0,240.0,49.0,50.0,50.0,10.0
35,Antalya,Kepez,308732.0,315187.0,362499.0,1005.0,117109.0,33340.0,71268.0,41016.0,37498.0,2902.0,3275.0,865.0,594.0,758.0,107.0
37,Antalya,Konyaaltı,100779.0,101942.0,116814.0,328.0,21892.0,6864.0,44441.0,15974.0,9183.0,894.0,614.0,477.0,290.0,78.0,72.0
17,Antalya,Korkuteli,36040.0,37245.0,40912.0,143.0,16883.0,3222.0,7794.0,5664.0,709.0,1217.0,299.0,66.0,82.0,88.0,16.0
19,Antalya,Kumluca,44288.0,45405.0,50549.0,157.0,17153.0,4578.0,12060.0,7465.0,1937.0,352.0,373.0,105.0,89.0,154.0,22.0
21,Antalya,Manavgat,134672.0,137988.0,159121.0,484.0,45141.0,18470.0,38370.0,23488.0,5799.0,1042.0,1246.0,387.0,351.0,309.0,69.0
39,Antalya,Muratpaşa,303673.0,308432.0,355248.0,980.0,78356.0,21933.0,123493.0,48198.0,24465.0,2504.0,2086.0,1259.0,786.0,352.0,241.0
23,Antalya,Serik,75239.0,77371.0,87704.0,270.0,25319.0,7954.0,18022.0,20281.0,1895.0,547.0,529.0,195.0,221.0,243.0,33.0
27,Antalya,İbradı,1961.0,2051.0,2290.0,12.0,809.0,94.0,724.0,265.0,17.0,23.0,9.0,6.0,5.0,6.0,3.0
4,Ardahan,Ardahan Merkez,22387.0,23275.0,27384.0,110.0,6728.0,1634.0,4811.0,1755.0,6916.0,161.0,161.0,57.0,84.0,80.0,0.0
19,Ardahan,Damal,4130.0,4282.0,4718.0,19.0,315.0,106.0,2515.0,107.0,1020.0,17.0,7.0,22.0,10.0,11.0,0.0
