,Şehir,İlçe,Cinsiyet,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlköğretim,Ortaokul veya dengi okul,Lise veya dengi okul,Yüksekokul veya fakülte,Yüksek lisans,Doktora,Bilinmeyen,Toplam
1,Adana,Aladağ,Erkek,91,288,1358,1431,750,1605,625,35,2,5,6190
2,Adana,Aladağ,Kadın,826,662,1685,837,541,905,353,7,5,7,5828
3,Adana,Aladağ,Toplam,917,950,3043,2268,1291,2510,978,42,7,12,12018
5,Adana,Ceyhan,Erkek,652,2163,11153,8648,6359,16696,7644,463,34,183,53995
6,Adana,Ceyhan,Kadın,3988,5850,15186,6413,4896,13696,6139,306,37,208,56719
7,Adana,Ceyhan,Toplam,4640,8013,26339,15061,11255,30392,13783,769,71,391,110714
9,Adana,Çukurova,Erkek,310,767,12452,9591,10446,44090,41799,4849,968,720,125992
10,Adana,Çukurova,Kadın,2711,3265,24513,8390,11300,45657,39258,4178,677,847,140796
11,Adana,Çukurova,Toplam,3021,4032,36965,17981,21746,89747,81057,9027,1645,1567,266788
13,Adana,Feke,Erkek,123,377,2033,1307,822,1304,557,24,8,20,6575
14,Adana,Feke,Kadın,598,872,2238,779,387,775,300,14,8,18,5989
15,Adana,Feke,Toplam,721,1249,4271,2086,1209,2079,857,38,16,38,12564
17,Adana,İmamoğlu,Erkek,89,364,2856,1728,1387,2590,926,44,6,13,10003
18,Adana,İmamoğlu,Kadın,571,1359,3418,1383,884,1839,761,22,2,14,10253
19,Adana,İmamoğlu,Toplam,660,1723,6274,3111,2271,4429,1687,66,8,27,20256
21,Adana,Karaisalı,Erkek,200,374,2502,1698,857,1564,742,37,3,7,7984
22,Adana,Karaisalı,Kadın,1440,583,3113,906,466,998,529,16,0,6,8057
23,Adana,Karaisalı,Toplam,1640,957,5615,2604,1323,2562,1271,53,3,13,16041
25,Adana,Karataş,Erkek,107,282,2671,1494,958,1904,786,42,5,66,8315
26,Adana,Karataş,Kadın,791,697,2688,921,584,1499,579,30,2,45,7836
27,Adana,Karataş,Toplam,898,979,5359,2415,1542,3403,1365,72,7,111,16151
29,Adana,Kozan,Erkek,566,1351,10245,7108,5770,12820,6928,437,36,94,45355
30,Adana,Kozan,Kadın,4077,3548,13269,5678,3787,10576,5666,250,20,89,46960
31,Adana,Kozan,Toplam,4643,4899,23514,12786,9557,23396,12594,687,56,183,92315
33,Adana,Pozantı,Erkek,75,200,1949,1166,781,2044,975,54,3,19,7266
34,Adana,Pozantı,Kadın,479,546,2865,827,538,1309,615,28,10,20,7237
35,Adana,Pozantı,Toplam,554,746,4814,1993,1319,3353,1590,82,13,39,14503
37,Adana,Saimbeyli,Erkek,151,299,1703,1102,679,1126,525,24,1,20,5630
38,Adana,Saimbeyli,Kadın,839,424,1747,871,362,683,349,17,5,15,5312
