TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Adana;;;;;
Aladað;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;91;826;917;
Okuma yazma bilen fakat bir okul bitirmeyen;;288;662;950;
Ýlkokul;;1.358;1.685;3.043;
Ýlköðretim;;1.431;837;2.268;
Ortaokul veya dengi okul;;750;541;1.291;
Lise veya dengi okul;;1.605;905;2.510;
Yüksekokul veya fakülte;;625;353;978;
Yüksek lisans;;35;7;42;
Doktora;;2;5;7;
Bilinmeyen;;5;7;12;
Toplam;;6.190;5.828;12.018;
Ceyhan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;652;3.988;4.640;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.163;5.850;8.013;
Ýlkokul;;11.153;15.186;26.339;
Ýlköðretim;;8.648;6.413;15.061;
Ortaokul veya dengi okul;;6.359;4.896;11.255;
Lise veya dengi okul;;16.696;13.696;30.392;
Yüksekokul veya fakülte;;7.644;6.139;13.783;
Yüksek lisans;;463;306;769;
Doktora;;34;37;71;
Bilinmeyen;;183;208;391;
Toplam;;53.995;56.719;110.714;
Çukurova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;310;2.711;3.021;
Okuma yazma bilen fakat bir okul bitirmeyen;;767;3.265;4.032;
Ýlkokul;;12.452;24.513;36.965;
Ýlköðretim;;9.591;8.390;17.981;
Ortaokul veya dengi okul;;10.446;11.300;21.746;
Lise veya dengi okul;;44.090;45.657;89.747;
Yüksekokul veya fakülte;;41.799;39.258;81.057;
Yüksek lisans;;4.849;4.178;9.027;
Doktora;;968;677;1.645;
Bilinmeyen;;720;847;1.567;
Toplam;;125.992;140.796;266.788;
Feke;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;123;598;721;
Okuma yazma bilen fakat bir okul bitirmeyen;;377;872;1.249;
Ýlkokul;;2.033;2.238;4.271;
Ýlköðretim;;1.307;779;2.086;
Ortaokul veya dengi okul;;822;387;1.209;
Lise veya dengi okul;;1.304;775;2.079;
Yüksekokul veya fakülte;;557;300;857;
Yüksek lisans;;24;14;38;
Doktora;;8;8;16;
Bilinmeyen;;20;18;38;
Toplam;;6.575;5.989;12.564;
Ýmamoðlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;89;571;660;
Okuma yazma bilen fakat bir okul bitirmeyen;;364;1.359;1.723;
Ýlkokul;;2.856;3.418;6.274;
Ýlköðretim;;1.728;1.383;3.111;
Ortaokul veya dengi okul;;1.387;884;2.271;
Lise veya dengi okul;;2.590;1.839;4.429;
Yüksekokul veya fakülte;;926;761;1.687;
Yüksek lisans;;44;22;66;
Doktora;;6;2;8;
Bilinmeyen;;13;14;27;
Toplam;;10.003;10.253;20.256;
Karaisalý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;200;1.440;1.640;
Okuma yazma bilen fakat bir okul bitirmeyen;;374;583;957;
Ýlkokul;;2.502;3.113;5.615;
Ýlköðretim;;1.698;906;2.604;
Ortaokul veya dengi okul;;857;466;1.323;
Lise veya dengi okul;;1.564;998;2.562;
Yüksekokul veya fakülte;;742;529;1.271;
Yüksek lisans;;37;16;53;
Doktora;;3;-;3;
Bilinmeyen;;7;6;13;
Toplam;;7.984;8.057;16.041;
Karataþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;107;791;898;
Okuma yazma bilen fakat bir okul bitirmeyen;;282;697;979;
Ýlkokul;;2.671;2.688;5.359;
Ýlköðretim;;1.494;921;2.415;
Ortaokul veya dengi okul;;958;584;1.542;
Lise veya dengi okul;;1.904;1.499;3.403;
Yüksekokul veya fakülte;;786;579;1.365;
Yüksek lisans;;42;30;72;
Doktora;;5;2;7;
Bilinmeyen;;66;45;111;
Toplam;;8.315;7.836;16.151;
Kozan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;566;4.077;4.643;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.351;3.548;4.899;
Ýlkokul;;10.245;13.269;23.514;
Ýlköðretim;;7.108;5.678;12.786;
Ortaokul veya dengi okul;;5.770;3.787;9.557;
Lise veya dengi okul;;12.820;10.576;23.396;
Yüksekokul veya fakülte;;6.928;5.666;12.594;
Yüksek lisans;;437;250;687;
Doktora;;36;20;56;
Bilinmeyen;;94;89;183;
Toplam;;45.355;46.960;92.315;
Pozantý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;75;479;554;
Okuma yazma bilen fakat bir okul bitirmeyen;;200;546;746;
Ýlkokul;;1.949;2.865;4.814;
Ýlköðretim;;1.166;827;1.993;
Ortaokul veya dengi okul;;781;538;1.319;
Lise veya dengi okul;;2.044;1.309;3.353;
Yüksekokul veya fakülte;;975;615;1.590;
Yüksek lisans;;54;28;82;
Doktora;;3;10;13;
Bilinmeyen;;19;20;39;
Toplam;;7.266;7.237;14.503;
Saimbeyli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;151;839;990;
Okuma yazma bilen fakat bir okul bitirmeyen;;299;424;723;
Ýlkokul;;1.703;1.747;3.450;
Ýlköðretim;;1.102;871;1.973;
Ortaokul veya dengi okul;;679;362;1.041;
Lise veya dengi okul;;1.126;683;1.809;
Yüksekokul veya fakülte;;525;349;874;
Yüksek lisans;;24;17;41;
Doktora;;1;5;6;
Bilinmeyen;;20;15;35;
Toplam;;5.630;5.312;10.942;
Sarýçam;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;370;2.949;3.319;
Okuma yazma bilen fakat bir okul bitirmeyen;;849;2.509;3.358;
Ýlkokul;;9.756;15.933;25.689;
Ýlköðretim;;12.053;8.543;20.596;
Ortaokul veya dengi okul;;6.687;4.705;11.392;
Lise veya dengi okul;;16.115;12.572;28.687;
Yüksekokul veya fakülte;;6.663;5.688;12.351;
Yüksek lisans;;433;304;737;
Doktora;;257;185;442;
Bilinmeyen;;103;134;237;
Toplam;;53.286;53.522;106.808;
Seyhan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;4.223;22.317;26.540;
Okuma yazma bilen fakat bir okul bitirmeyen;;9.314;23.059;32.373;
Ýlkokul;;51.414;73.251;124.665;
Ýlköðretim;;52.419;33.539;85.958;
Ortaokul veya dengi okul;;29.158;21.808;50.966;
Lise veya dengi okul;;73.688;63.038;136.726;
Yüksekokul veya fakülte;;39.701;35.851;75.552;
Yüksek lisans;;3.432;2.850;6.282;
Doktora;;779;585;1.364;
Bilinmeyen;;1.992;2.027;4.019;
Toplam;;266.120;278.325;544.445;
Tufanbeyli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;137;1.107;1.244;
Okuma yazma bilen fakat bir okul bitirmeyen;;198;417;615;
Ýlkokul;;1.762;2.001;3.763;
Ýlköðretim;;1.175;806;1.981;
Ortaokul veya dengi okul;;981;642;1.623;
Lise veya dengi okul;;1.495;842;2.337;
Yüksekokul veya fakülte;;630;434;1.064;
Yüksek lisans;;43;13;56;
Doktora;;4;2;6;
Bilinmeyen;;32;34;66;
Toplam;;6.457;6.298;12.755;
Yumurtalýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;52;618;670;
Okuma yazma bilen fakat bir okul bitirmeyen;;171;429;600;
Ýlkokul;;1.893;2.341;4.234;
Ýlköðretim;;901;676;1.577;
Ortaokul veya dengi okul;;798;539;1.337;
Lise veya dengi okul;;1.786;1.366;3.152;
Yüksekokul veya fakülte;;830;575;1.405;
Yüksek lisans;;56;20;76;
Doktora;;6;2;8;
Bilinmeyen;;21;28;49;
Toplam;;6.514;6.594;13.108;
Yüreðir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2.821;15.392;18.213;
Okuma yazma bilen fakat bir okul bitirmeyen;;5.900;16.415;22.315;
Ýlkokul;;28.583;36.938;65.521;
Ýlköðretim;;32.332;19.846;52.178;
Ortaokul veya dengi okul;;16.067;10.514;26.581;
Lise veya dengi okul;;34.349;26.467;60.816;
Yüksekokul veya fakülte;;14.713;12.228;26.941;
Yüksek lisans;;839;515;1.354;
Doktora;;142;102;244;
Bilinmeyen;;662;689;1.351;
Toplam;;136.408;139.106;275.514;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
