TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Adýyaman;;;;;
Adýyaman Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.945;10.883;12.828;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.144;5.497;7.641;
Ýlkokul;;12.176;21.703;33.879;
Ýlköðretim;;17.998;14.371;32.369;
Ortaokul veya dengi okul;;11.104;7.557;18.661;
Lise veya dengi okul;;28.658;21.838;50.496;
Yüksekokul veya fakülte;;19.545;14.607;34.152;
Yüksek lisans;;1.631;749;2.380;
Doktora;;426;199;625;
Bilinmeyen;;289;398;687;
Toplam;;95.916;97.802;193.718;
Besni;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;685;4.172;4.857;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.179;2.178;3.357;
Ýlkokul;;6.962;8.111;15.073;
Ýlköðretim;;4.600;3.727;8.327;
Ortaokul veya dengi okul;;2.883;1.422;4.305;
Lise veya dengi okul;;5.563;3.839;9.402;
Yüksekokul veya fakülte;;2.904;2.051;4.955;
Yüksek lisans;;244;89;333;
Doktora;;27;10;37;
Bilinmeyen;;155;126;281;
Toplam;;25.202;25.725;50.927;
Çelikhan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;140;783;923;
Okuma yazma bilen fakat bir okul bitirmeyen;;174;529;703;
Ýlkokul;;1.003;1.536;2.539;
Ýlköðretim;;726;615;1.341;
Ortaokul veya dengi okul;;580;271;851;
Lise veya dengi okul;;1.809;1.059;2.868;
Yüksekokul veya fakülte;;922;441;1.363;
Yüksek lisans;;50;17;67;
Doktora;;2;-;2;
Bilinmeyen;;4;10;14;
Toplam;;5.410;5.261;10.671;
Gerger;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;426;1.922;2.348;
Okuma yazma bilen fakat bir okul bitirmeyen;;688;1.074;1.762;
Ýlkokul;;1.776;1.286;3.062;
Ýlköðretim;;1.352;764;2.116;
Ortaokul veya dengi okul;;503;286;789;
Lise veya dengi okul;;598;353;951;
Yüksekokul veya fakülte;;262;199;461;
Yüksek lisans;;19;7;26;
Doktora;;2;1;3;
Bilinmeyen;;34;53;87;
Toplam;;5.660;5.945;11.605;
Gölbaþý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;299;2.081;2.380;
Okuma yazma bilen fakat bir okul bitirmeyen;;654;1.163;1.817;
Ýlkokul;;3.504;4.712;8.216;
Ýlköðretim;;3.355;3.252;6.607;
Ortaokul veya dengi okul;;2.169;1.229;3.398;
Lise veya dengi okul;;4.225;2.954;7.179;
Yüksekokul veya fakülte;;2.333;1.698;4.031;
Yüksek lisans;;209;70;279;
Doktora;;24;14;38;
Bilinmeyen;;150;107;257;
Toplam;;16.922;17.280;34.202;
Kahta;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.113;5.968;7.081;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.926;3.673;5.599;
Ýlkokul;;7.834;9.678;17.512;
Ýlköðretim;;8.945;6.813;15.758;
Ortaokul veya dengi okul;;4.583;2.833;7.416;
Lise veya dengi okul;;8.244;5.353;13.597;
Yüksekokul veya fakülte;;4.558;2.761;7.319;
Yüksek lisans;;327;96;423;
Doktora;;30;9;39;
Bilinmeyen;;77;140;217;
Toplam;;37.637;37.324;74.961;
Samsat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;87;397;484;
Okuma yazma bilen fakat bir okul bitirmeyen;;124;240;364;
Ýlkokul;;449;666;1.115;
Ýlköðretim;;556;424;980;
Ortaokul veya dengi okul;;311;143;454;
Lise veya dengi okul;;629;366;995;
Yüksekokul veya fakülte;;254;133;387;
Yüksek lisans;;14;-;14;
Doktora;;1;-;1;
Bilinmeyen;;2;10;12;
Toplam;;2.427;2.379;4.806;
Sincik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;330;1.628;1.958;
Okuma yazma bilen fakat bir okul bitirmeyen;;386;662;1.048;
Ýlkokul;;1.450;1.326;2.776;
Ýlköðretim;;1.452;1.185;2.637;
Ortaokul veya dengi okul;;657;249;906;
Lise veya dengi okul;;897;585;1.482;
Yüksekokul veya fakülte;;421;245;666;
Yüksek lisans;;22;2;24;
Doktora;;2;-;2;
Bilinmeyen;;5;8;13;
Toplam;;5.622;5.890;11.512;
Tut;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;143;754;897;
Okuma yazma bilen fakat bir okul bitirmeyen;;163;300;463;
Ýlkokul;;963;973;1.936;
Ýlköðretim;;734;490;1.224;
Ortaokul veya dengi okul;;475;234;709;
Lise veya dengi okul;;694;429;1.123;
Yüksekokul veya fakülte;;285;208;493;
Yüksek lisans;;10;5;15;
Doktora;;-;1;1;
Bilinmeyen;;9;9;18;
Toplam;;3.476;3.403;6.879;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
