TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Afyonkarahisar;;;;;
Afyonkarahisar Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;299;3.532;3.831;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.050;4.578;5.628;
Ýlkokul;;15.892;31.837;47.729;
Ýlköðretim;;20.208;16.159;36.367;
Ortaokul veya dengi okul;;10.585;7.599;18.184;
Lise veya dengi okul;;25.926;19.829;45.755;
Yüksekokul veya fakülte;;18.286;14.501;32.787;
Yüksek lisans;;2.027;1.448;3.475;
Doktora;;742;334;1.076;
Bilinmeyen;;129;170;299;
Toplam;;95.144;99.987;195.131;
Baþmakçý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;45;253;298;
Okuma yazma bilen fakat bir okul bitirmeyen;;92;397;489;
Ýlkokul;;1.458;1.750;3.208;
Ýlköðretim;;724;647;1.371;
Ortaokul veya dengi okul;;341;191;532;
Lise veya dengi okul;;838;506;1.344;
Yüksekokul veya fakülte;;311;212;523;
Yüksek lisans;;18;11;29;
Doktora;;1;3;4;
Bilinmeyen;;10;10;20;
Toplam;;3.838;3.980;7.818;
Bayat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;50;275;325;
Okuma yazma bilen fakat bir okul bitirmeyen;;130;452;582;
Ýlkokul;;870;994;1.864;
Ýlköðretim;;558;478;1.036;
Ortaokul veya dengi okul;;356;196;552;
Lise veya dengi okul;;557;330;887;
Yüksekokul veya fakülte;;232;157;389;
Yüksek lisans;;16;8;24;
Doktora;;2;1;3;
Bilinmeyen;;15;18;33;
Toplam;;2.786;2.909;5.695;
Bolvadin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;82;731;813;
Okuma yazma bilen fakat bir okul bitirmeyen;;288;1.086;1.374;
Ýlkokul;;3.926;7.032;10.958;
Ýlköðretim;;2.071;1.981;4.052;
Ortaokul veya dengi okul;;1.787;1.175;2.962;
Lise veya dengi okul;;4.376;2.487;6.863;
Yüksekokul veya fakülte;;2.289;1.222;3.511;
Yüksek lisans;;165;75;240;
Doktora;;22;14;36;
Bilinmeyen;;172;156;328;
Toplam;;15.178;15.959;31.137;
Çay;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;57;767;824;
Okuma yazma bilen fakat bir okul bitirmeyen;;242;1.163;1.405;
Ýlkokul;;3.298;5.178;8.476;
Ýlköðretim;;1.834;1.191;3.025;
Ortaokul veya dengi okul;;1.502;944;2.446;
Lise veya dengi okul;;2.912;1.915;4.827;
Yüksekokul veya fakülte;;1.356;1.005;2.361;
Yüksek lisans;;108;58;166;
Doktora;;11;7;18;
Bilinmeyen;;21;21;42;
Toplam;;11.341;12.249;23.590;
Çobanlar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;41;574;615;
Okuma yazma bilen fakat bir okul bitirmeyen;;85;505;590;
