TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Aksaray;;;;;
Aðaçören;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;76;484;560;
Okuma yazma bilen fakat bir okul bitirmeyen;;227;439;666;
Ýlkokul;;1.103;1.303;2.406;
Ýlköðretim;;433;293;726;
Ortaokul veya dengi okul;;368;197;565;
Lise veya dengi okul;;553;360;913;
Yüksekokul veya fakülte;;202;141;343;
Yüksek lisans;;13;4;17;
Doktora;;1;2;3;
Bilinmeyen;;47;38;85;
Toplam;;3.023;3.261;6.284;
Aksaray Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;986;8.045;9.031;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.937;4.979;6.916;
Ýlkokul;;19.631;29.245;48.876;
Ýlköðretim;;19.194;16.755;35.949;
Ortaokul veya dengi okul;;9.844;7.256;17.100;
Lise veya dengi okul;;22.574;17.024;39.598;
Yüksekokul veya fakülte;;13.663;11.156;24.819;
Yüksek lisans;;1.566;828;2.394;
Doktora;;412;247;659;
Bilinmeyen;;1.227;1.166;2.393;
Toplam;;91.034;96.701;187.735;
Eskil;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;52;720;772;
Okuma yazma bilen fakat bir okul bitirmeyen;;220;622;842;
Ýlkokul;;3.146;3.891;7.037;
Ýlköðretim;;2.436;1.670;4.106;
Ortaokul veya dengi okul;;834;463;1.297;
Lise veya dengi okul;;1.342;985;2.327;
Yüksekokul veya fakülte;;593;437;1.030;
Yüksek lisans;;56;19;75;
Doktora;;6;8;14;
Bilinmeyen;;5;5;10;
Toplam;;8.690;8.820;17.510;
Gülaðaç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;139;1.035;1.174;
Okuma yazma bilen fakat bir okul bitirmeyen;;252;612;864;
Ýlkokul;;2.073;2.330;4.403;
Ýlköðretim;;1.691;1.360;3.051;
Ortaokul veya dengi okul;;1.040;503;1.543;
Lise veya dengi okul;;1.103;650;1.753;
Yüksekokul veya fakülte;;266;167;433;
Yüksek lisans;;10;6;16;
Doktora;;6;3;9;
Bilinmeyen;;179;141;320;
Toplam;;6.759;6.807;13.566;
Güzelyurt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;41;323;364;
Okuma yazma bilen fakat bir okul bitirmeyen;;155;384;539;
Ýlkokul;;1.521;1.841;3.362;
Ýlköðretim;;1.096;741;1.837;
Ortaokul veya dengi okul;;530;228;758;
Lise veya dengi okul;;567;385;952;
Yüksekokul veya fakülte;;156;151;307;
Yüksek lisans;;16;7;23;
Doktora;;2;1;3;
Bilinmeyen;;61;34;95;
Toplam;;4.145;4.095;8.240;
Ortaköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;182;1.399;1.581;
Okuma yazma bilen fakat bir okul bitirmeyen;;478;1.208;1.686;
Ýlkokul;;3.225;4.658;7.883;
Ýlköðretim;;1.639;1.334;2.973;
Ortaokul veya dengi okul;;1.324;843;2.167;
Lise veya dengi okul;;2.607;1.640;4.247;
Yüksekokul veya fakülte;;1.191;727;1.918;
Yüksek lisans;;76;39;115;
Doktora;;15;10;25;
Bilinmeyen;;179;168;347;
Toplam;;10.916;12.026;22.942;
Sarýyahþi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;33;288;321;
Okuma yazma bilen fakat bir okul bitirmeyen;;112;214;326;
Ýlkokul;;556;706;1.262;
Ýlköðretim;;219;145;364;
Ortaokul veya dengi okul;;274;167;441;
Lise veya dengi okul;;397;271;668;
Yüksekokul veya fakülte;;138;106;244;
Yüksek lisans;;14;7;21;
Doktora;;1;1;2;
Bilinmeyen;;46;48;94;
Toplam;;1.790;1.953;3.743;
Sultanhaný;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;33;436;469;
Okuma yazma bilen fakat bir okul bitirmeyen;;72;269;341;
Ýlkokul;;936;1.257;2.193;
Ýlköðretim;;1.241;725;1.966;
Ortaokul veya dengi okul;;346;227;573;
Lise veya dengi okul;;554;416;970;
Yüksekokul veya fakülte;;143;164;307;
Yüksek lisans;;15;4;19;
Doktora;;4;1;5;
Bilinmeyen;;2;5;7;
Toplam;;3.346;3.504;6.850;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
