TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Amasya;;;;;
Amasya Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;526;2.825;3.351;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.157;3.119;4.276;
Ýlkokul;;10.541;15.895;26.436;
Ýlköðretim;;6.932;6.665;13.597;
Ortaokul veya dengi okul;;4.895;4.296;9.191;
Lise veya dengi okul;;13.903;11.082;24.985;
Yüksekokul veya fakülte;;9.935;7.821;17.756;
Yüksek lisans;;831;526;1.357;
Doktora;;235;155;390;
Bilinmeyen;;124;178;302;
Toplam;;49.079;52.562;101.641;
Göynücek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;51;193;244;
Okuma yazma bilen fakat bir okul bitirmeyen;;328;834;1.162;
Ýlkokul;;1.548;1.714;3.262;
Ýlköðretim;;577;573;1.150;
Ortaokul veya dengi okul;;433;271;704;
Lise veya dengi okul;;768;395;1.163;
Yüksekokul veya fakülte;;317;167;484;
Yüksek lisans;;13;5;18;
Doktora;;3;3;6;
Bilinmeyen;;2;7;9;
Toplam;;4.040;4.162;8.202;
Gümüþhacýköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;140;762;902;
Okuma yazma bilen fakat bir okul bitirmeyen;;371;1.249;1.620;
Ýlkokul;;3.068;4.051;7.119;
Ýlköðretim;;1.022;982;2.004;
Ortaokul veya dengi okul;;970;702;1.672;
Lise veya dengi okul;;2.032;1.250;3.282;
Yüksekokul veya fakülte;;1.157;746;1.903;
Yüksek lisans;;70;44;114;
Doktora;;12;9;21;
Bilinmeyen;;26;36;62;
Toplam;;8.868;9.831;18.699;
Hamamözü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;33;131;164;
Okuma yazma bilen fakat bir okul bitirmeyen;;64;205;269;
Ýlkokul;;574;704;1.278;
Ýlköðretim;;180;203;383;
Ortaokul veya dengi okul;;165;104;269;
Lise veya dengi okul;;305;180;485;
Yüksekokul veya fakülte;;143;73;216;
Yüksek lisans;;6;1;7;
Doktora;;1;-;1;
Bilinmeyen;;2;3;5;
Toplam;;1.473;1.604;3.077;
Merzifon;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;197;1.260;1.457;
Okuma yazma bilen fakat bir okul bitirmeyen;;489;1.569;2.058;
Ýlkokul;;6.028;9.867;15.895;
Ýlköðretim;;2.999;3.137;6.136;
Ortaokul veya dengi okul;;2.723;2.192;4.915;
Lise veya dengi okul;;8.103;5.952;14.055;
Yüksekokul veya fakülte;;5.403;3.955;9.358;
Yüksek lisans;;309;236;545;
Doktora;;50;33;83;
Bilinmeyen;;149;166;315;
Toplam;;26.450;28.367;54.817;
Suluova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;304;1.641;1.945;
Okuma yazma bilen fakat bir okul bitirmeyen;;406;838;1.244;
Ýlkokul;;3.852;6.312;10.164;
Ýlköðretim;;2.672;2.558;5.230;
Ortaokul veya dengi okul;;2.275;1.591;3.866;
Lise veya dengi okul;;5.336;3.253;8.589;
Yüksekokul veya fakülte;;2.261;1.500;3.761;
Yüksek lisans;;129;87;216;
Doktora;;11;8;19;
Bilinmeyen;;58;64;122;
Toplam;;17.304;17.852;35.156;
Taþova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;172;1.008;1.180;
Okuma yazma bilen fakat bir okul bitirmeyen;;620;1.587;2.207;
Ýlkokul;;4.258;5.866;10.124;
Ýlköðretim;;1.769;1.289;3.058;
Ortaokul veya dengi okul;;1.352;968;2.320;
Lise veya dengi okul;;2.408;1.502;3.910;
Yüksekokul veya fakülte;;1.150;683;1.833;
Yüksek lisans;;85;40;125;
Doktora;;14;8;22;
Bilinmeyen;;58;57;115;
Toplam;;11.886;13.008;24.894;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
