TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Ankara;;;;;
Akyurt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;74;444;518;
Okuma yazma bilen fakat bir okul bitirmeyen;;136;530;666;
Ýlkokul;;2.478;4.052;6.530;
Ýlköðretim;;2.398;1.903;4.301;
Ortaokul veya dengi okul;;1.419;883;2.302;
Lise veya dengi okul;;3.517;2.429;5.946;
Yüksekokul veya fakülte;;1.373;1.014;2.387;
Yüksek lisans;;98;53;151;
Doktora;;12;4;16;
Bilinmeyen;;38;38;76;
Toplam;;11.543;11.350;22.893;
Altýndað;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.022;7.147;8.169;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.868;6.586;8.454;
Ýlkokul;;25.300;38.433;63.733;
Ýlköðretim;;22.725;17.380;40.105;
Ortaokul veya dengi okul;;15.868;10.643;26.511;
Lise veya dengi okul;;37.087;29.785;66.872;
Yüksekokul veya fakülte;;19.983;17.190;37.173;
Yüksek lisans;;2.021;1.627;3.648;
Doktora;;344;230;574;
Bilinmeyen;;1.282;1.168;2.450;
Toplam;;127.500;130.189;257.689;
Ayaþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;26;150;176;
Okuma yazma bilen fakat bir okul bitirmeyen;;94;266;360;
Ýlkokul;;1.478;2.332;3.810;
Ýlköðretim;;486;385;871;
Ortaokul veya dengi okul;;682;477;1.159;
Lise veya dengi okul;;1.320;881;2.201;
Yüksekokul veya fakülte;;667;468;1.135;
Yüksek lisans;;52;28;80;
Doktora;;4;5;9;
Bilinmeyen;;16;10;26;
Toplam;;4.825;5.002;9.827;
Bala;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;142;989;1.131;
Okuma yazma bilen fakat bir okul bitirmeyen;;204;812;1.016;
Ýlkokul;;2.704;2.861;5.565;
Ýlköðretim;;1.282;731;2.013;
Ortaokul veya dengi okul;;1.164;584;1.748;
Lise veya dengi okul;;1.916;956;2.872;
Yüksekokul veya fakülte;;591;333;924;
Yüksek lisans;;53;18;71;
Doktora;;1;5;6;
Bilinmeyen;;95;71;166;
Toplam;;8.152;7.360;15.512;
Beypazarý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;121;841;962;
Okuma yazma bilen fakat bir okul bitirmeyen;;316;1.193;1.509;
Ýlkokul;;5.410;7.638;13.048;
Ýlköðretim;;2.147;1.848;3.995;
Ortaokul veya dengi okul;;1.880;1.240;3.120;
Lise veya dengi okul;;5.040;3.607;8.647;
Yüksekokul veya fakülte;;2.842;2.241;5.083;
Yüksek lisans;;150;110;260;
Doktora;;22;14;36;
Bilinmeyen;;44;51;95;
Toplam;;17.972;18.783;36.755;
Çamlýdere;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;134;717;851;
Okuma yazma bilen fakat bir okul bitirmeyen;;141;310;451;
Ýlkokul;;1.089;1.147;2.236;
Ýlköðretim;;344;246;590;
Ortaokul veya dengi okul;;353;204;557;
Lise veya dengi okul;;889;471;1.360;
Yüksekokul veya fakülte;;305;142;447;
Yüksek lisans;;14;3;17;
Doktora;;1;4;5;
Bilinmeyen;;21;26;47;
Toplam;;3.291;3.270;6.561;
Çankaya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;707;6.805;7.512;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.681;7.261;8.942;
Ýlkokul;;19.866;41.006;60.872;
Ýlköðretim;;12.716;10.469;23.185;
Ortaokul veya dengi okul;;18.243;20.561;38.804;
Lise veya dengi okul;;84.219;94.772;178.991;
Yüksekokul veya fakülte;;134.863;137.180;272.043;
Yüksek lisans;;29.735;28.055;57.790;
Doktora;;11.088;9.583;20.671;
Bilinmeyen;;3.146;3.826;6.972;
Toplam;;316.264;359.518;675.782;
Çubuk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;397;2.372;2.769;
Okuma yazma bilen fakat bir okul bitirmeyen;;486;1.514;2.000;
Ýlkokul;;7.104;10.575;17.679;
Ýlköðretim;;4.857;4.494;9.351;
Ortaokul veya dengi okul;;3.973;2.650;6.623;
Lise veya dengi okul;;9.742;6.921;16.663;
Yüksekokul veya fakülte;;4.190;2.989;7.179;
Yüksek lisans;;285;169;454;
Doktora;;35;27;62;
Bilinmeyen;;185;202;387;
Toplam;;31.254;31.913;63.167;
Elmadað;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;151;1.046;1.197;
Okuma yazma bilen fakat bir okul bitirmeyen;;202;938;1.140;
Ýlkokul;;2.526;4.430;6.956;
Ýlköðretim;;2.112;1.865;3.977;
Ortaokul veya dengi okul;;2.073;1.548;3.621;
Lise veya dengi okul;;6.165;4.417;10.582;
Yüksekokul veya fakülte;;2.627;1.816;4.443;
Yüksek lisans;;133;103;236;
Doktora;;12;16;28;
Bilinmeyen;;71;88;159;
Toplam;;16.072;16.267;32.339;
Etimesgut;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;468;4.732;5.200;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.065;4.838;5.903;
Ýlkokul;;16.913;36.866;53.779;
Ýlköðretim;;18.710;17.362;36.072;
Ortaokul veya dengi okul;;16.833;15.364;32.197;
Lise veya dengi okul;;63.701;59.352;123.053;
Yüksekokul veya fakülte;;66.996;57.512;124.508;
Yüksek lisans;;9.748;7.387;17.135;
Doktora;;1.849;1.218;3.067;
Bilinmeyen;;1.065;1.270;2.335;
Toplam;;197.348;205.901;403.249;
Evren;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;31;157;188;
Okuma yazma bilen fakat bir okul bitirmeyen;;83;244;327;
Ýlkokul;;373;387;760;
Ýlköðretim;;145;88;233;
Ortaokul veya dengi okul;;140;73;213;
Lise veya dengi okul;;242;173;415;
Yüksekokul veya fakülte;;83;56;139;
Yüksek lisans;;8;2;10;
Doktora;;1;2;3;
Bilinmeyen;;23;31;54;
Toplam;;1.129;1.213;2.342;
Gölbaþý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;182;1.632;1.814;
Okuma yazma bilen fakat bir okul bitirmeyen;;403;1.480;1.883;
Ýlkokul;;5.927;10.244;16.171;
Ýlköðretim;;4.884;4.207;9.091;
Ortaokul veya dengi okul;;4.351;3.300;7.651;
Lise veya dengi okul;;13.121;11.300;24.421;
Yüksekokul veya fakülte;;12.535;9.959;22.494;
Yüksek lisans;;1.940;1.358;3.298;
Doktora;;658;456;1.114;
Bilinmeyen;;298;361;659;
Toplam;;44.299;44.297;88.596;
Güdül;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;28;299;327;
Okuma yazma bilen fakat bir okul bitirmeyen;;87;354;441;
Ýlkokul;;1.410;1.896;3.306;
Ýlköðretim;;294;254;548;
Ortaokul veya dengi okul;;437;228;665;
Lise veya dengi okul;;760;407;1.167;
Yüksekokul veya fakülte;;303;168;471;
Yüksek lisans;;26;12;38;
Doktora;;3;2;5;
Bilinmeyen;;40;25;65;
Toplam;;3.388;3.645;7.033;
Haymana;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;193;1.289;1.482;
Okuma yazma bilen fakat bir okul bitirmeyen;;472;1.275;1.747;
Ýlkokul;;3.751;4.092;7.843;
Ýlköðretim;;2.071;1.343;3.414;
Ortaokul veya dengi okul;;1.167;577;1.744;
Lise veya dengi okul;;2.300;1.206;3.506;
Yüksekokul veya fakülte;;706;425;1.131;
Yüksek lisans;;40;24;64;
Doktora;;4;8;12;
Bilinmeyen;;149;107;256;
Toplam;;10.853;10.346;21.199;
Kahramankazan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;111;777;888;
Okuma yazma bilen fakat bir okul bitirmeyen;;230;810;1.040;
Ýlkokul;;3.418;5.743;9.161;
