TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Antalya;;;;;
Akseki;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;9;49;58;
Okuma yazma bilen fakat bir okul bitirmeyen;;201;737;938;
Ýlkokul;;1.844;2.511;4.355;
Ýlköðretim;;488;331;819;
Ortaokul veya dengi okul;;321;164;485;
Lise veya dengi okul;;985;516;1.501;
Yüksekokul veya fakülte;;614;335;949;
Yüksek lisans;;42;23;65;
Doktora;;4;9;13;
Bilinmeyen;;25;34;59;
Toplam;;4.533;4.709;9.242;
Aksu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;63;464;527;
Okuma yazma bilen fakat bir okul bitirmeyen;;631;2.825;3.456;
Ýlkokul;;7.110;8.657;15.767;
Ýlköðretim;;5.749;3.939;9.688;
Ortaokul veya dengi okul;;2.616;1.630;4.246;
Lise veya dengi okul;;5.908;4.061;9.969;
Yüksekokul veya fakülte;;2.556;2.127;4.683;
Yüksek lisans;;135;98;233;
Doktora;;33;29;62;
Bilinmeyen;;156;174;330;
Toplam;;24.957;24.004;48.961;
Alanya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;403;1.641;2.044;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.004;7.004;9.008;
Ýlkokul;;23.767;29.126;52.893;
Ýlköðretim;;19.841;15.222;35.063;
Ortaokul veya dengi okul;;10.881;7.901;18.782;
Lise veya dengi okul;;28.616;22.553;51.169;
Yüksekokul veya fakülte;;16.320;14.119;30.439;
Yüksek lisans;;1.222;912;2.134;
Doktora;;279;151;430;
Bilinmeyen;;1.485;1.397;2.882;
Toplam;;104.818;100.026;204.844;
Demre;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;15;106;121;
Okuma yazma bilen fakat bir okul bitirmeyen;;221;923;1.144;
Ýlkokul;;3.784;4.044;7.828;
Ýlköðretim;;1.535;1.175;2.710;
Ortaokul veya dengi okul;;904;624;1.528;
