TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Ardahan;;;;;
Ardahan Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;257;1.506;1.763;
Okuma yazma bilen fakat bir okul bitirmeyen;;448;779;1.227;
Ýlkokul;;2.660;3.450;6.110;
Ýlköðretim;;2.252;2.028;4.280;
Ortaokul veya dengi okul;;1.470;1.000;2.470;
Lise veya dengi okul;;3.902;2.477;6.379;
Yüksekokul veya fakülte;;2.565;1.771;4.336;
Yüksek lisans;;258;146;404;
Doktora;;96;46;142;
Bilinmeyen;;105;168;273;
Toplam;;14.013;13.371;27.384;
Çýldýr;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;119;572;691;
Okuma yazma bilen fakat bir okul bitirmeyen;;168;285;453;
Ýlkokul;;1.018;1.203;2.221;
Ýlköðretim;;502;346;848;
Ortaokul veya dengi okul;;509;261;770;
Lise veya dengi okul;;828;410;1.238;
Yüksekokul veya fakülte;;353;244;597;
Yüksek lisans;;23;17;40;
Doktora;;3;4;7;
Bilinmeyen;;43;77;120;
Toplam;;3.566;3.419;6.985;
Damal;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;53;401;454;
Okuma yazma bilen fakat bir okul bitirmeyen;;102;226;328;
Ýlkokul;;818;720;1.538;
Ýlköðretim;;619;284;903;
Ortaokul veya dengi okul;;326;155;481;
Lise veya dengi okul;;452;162;614;
Yüksekokul veya fakülte;;236;96;332;
Yüksek lisans;;24;8;32;
Doktora;;1;-;1;
Bilinmeyen;;21;14;35;
Toplam;;2.652;2.066;4.718;
Göle;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;211;1.314;1.525;
Okuma yazma bilen fakat bir okul bitirmeyen;;382;664;1.046;
Ýlkokul;;2.519;2.952;5.471;
Ýlköðretim;;1.683;1.245;2.928;
Ortaokul veya dengi okul;;1.272;712;1.984;
Lise veya dengi okul;;2.193;1.170;3.363;
Yüksekokul veya fakülte;;684;549;1.233;
Yüksek lisans;;57;23;80;
Doktora;;12;5;17;
Bilinmeyen;;123;183;306;
Toplam;;9.136;8.817;17.953;
Hanak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;91;630;721;
Okuma yazma bilen fakat bir okul bitirmeyen;;164;305;469;
Ýlkokul;;1.129;1.270;2.399;
Ýlköðretim;;535;343;878;
Ortaokul veya dengi okul;;486;258;744;
Lise veya dengi okul;;839;410;1.249;
Yüksekokul veya fakülte;;259;175;434;
Yüksek lisans;;26;9;35;
Doktora;;4;4;8;
Bilinmeyen;;21;23;44;
Toplam;;3.554;3.427;6.981;
Posof;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;49;237;286;
Okuma yazma bilen fakat bir okul bitirmeyen;;92;201;293;
Ýlkokul;;756;1.127;1.883;
Ýlköðretim;;321;312;633;
Ortaokul veya dengi okul;;317;184;501;
Lise veya dengi okul;;720;304;1.024;
Yüksekokul veya fakülte;;390;231;621;
Yüksek lisans;;33;14;47;
Doktora;;4;2;6;
Bilinmeyen;;32;58;90;
Toplam;;2.714;2.670;5.384;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
