TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Artvin;;;;;
Ardanuç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;45;231;276;
Okuma yazma bilen fakat bir okul bitirmeyen;;128;376;504;
Ýlkokul;;1.099;1.974;3.073;
Ýlköðretim;;484;469;953;
Ortaokul veya dengi okul;;627;369;996;
Lise veya dengi okul;;1.486;769;2.255;
Yüksekokul veya fakülte;;671;376;1.047;
Yüksek lisans;;37;22;59;
Doktora;;2;4;6;
Bilinmeyen;;9;18;27;
Toplam;;4.588;4.608;9.196;
Arhavi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;38;394;432;
Okuma yazma bilen fakat bir okul bitirmeyen;;108;583;691;
Ýlkokul;;1.331;2.303;3.634;
Ýlköðretim;;930;636;1.566;
Ortaokul veya dengi okul;;937;784;1.721;
Lise veya dengi okul;;2.761;2.237;4.998;
Yüksekokul veya fakülte;;1.648;1.236;2.884;
Yüksek lisans;;106;77;183;
Doktora;;26;15;41;
Bilinmeyen;;26;38;64;
Toplam;;7.911;8.303;16.214;
Artvin Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;75;560;635;
Okuma yazma bilen fakat bir okul bitirmeyen;;116;580;696;
Ýlkokul;;1.483;3.159;4.642;
Ýlköðretim;;1.270;1.186;2.456;
Ortaokul veya dengi okul;;1.204;948;2.152;
Lise veya dengi okul;;4.878;3.312;8.190;
Yüksekokul veya fakülte;;3.062;2.478;5.540;
Yüksek lisans;;321;190;511;
Doktora;;137;68;205;
Bilinmeyen;;18;40;58;
Toplam;;12.564;12.521;25.085;
Borçka;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;96;689;785;
Okuma yazma bilen fakat bir okul bitirmeyen;;170;737;907;
Ýlkokul;;1.636;2.751;4.387;
Ýlköðretim;;1.624;990;2.614;
Ortaokul veya dengi okul;;934;711;1.645;
Lise veya dengi okul;;2.836;1.647;4.483;
Yüksekokul veya fakülte;;1.166;825;1.991;
Yüksek lisans;;58;41;99;
Doktora;;15;6;21;
Bilinmeyen;;15;32;47;
Toplam;;8.550;8.429;16.979;
Hopa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;46;707;753;
Okuma yazma bilen fakat bir okul bitirmeyen;;96;544;640;
Ýlkokul;;1.291;2.546;3.837;
Ýlköðretim;;1.657;938;2.595;
Ortaokul veya dengi okul;;1.283;1.028;2.311;
Lise veya dengi okul;;3.501;2.517;6.018;
Yüksekokul veya fakülte;;1.719;1.517;3.236;
Yüksek lisans;;121;82;203;
Doktora;;31;20;51;
Bilinmeyen;;35;62;97;
Toplam;;9.780;9.961;19.741;
Kemalpaþa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;28;307;335;
Okuma yazma bilen fakat bir okul bitirmeyen;;53;306;359;
Ýlkokul;;547;980;1.527;
Ýlköðretim;;637;304;941;
Ortaokul veya dengi okul;;446;331;777;
Lise veya dengi okul;;1.168;784;1.952;
Yüksekokul veya fakülte;;436;357;793;
Yüksek lisans;;16;15;31;
Doktora;;2;-;2;
Bilinmeyen;;7;24;31;
Toplam;;3.340;3.408;6.748;
Murgul;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;15;73;88;
Okuma yazma bilen fakat bir okul bitirmeyen;;25;179;204;
Ýlkokul;;326;723;1.049;
Ýlköðretim;;259;216;475;
Ortaokul veya dengi okul;;258;256;514;
Lise veya dengi okul;;1.021;519;1.540;
Yüksekokul veya fakülte;;367;257;624;
Yüksek lisans;;15;9;24;
Doktora;;2;1;3;
Bilinmeyen;;3;7;10;
Toplam;;2.291;2.240;4.531;
Þavþat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;129;725;854;
Okuma yazma bilen fakat bir okul bitirmeyen;;277;719;996;
Ýlkokul;;2.012;3.551;5.563;
Ýlköðretim;;549;567;1.116;
Ortaokul veya dengi okul;;880;531;1.411;
Lise veya dengi okul;;2.489;1.187;3.676;
Yüksekokul veya fakülte;;1.288;507;1.795;
Yüksek lisans;;89;42;131;
Doktora;;8;6;14;
Bilinmeyen;;25;43;68;
Toplam;;7.746;7.878;15.624;
Yusufeli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;162;826;988;
Okuma yazma bilen fakat bir okul bitirmeyen;;331;935;1.266;
Ýlkokul;;2.597;3.827;6.424;
Ýlköðretim;;1.047;729;1.776;
Ortaokul veya dengi okul;;975;498;1.473;
Lise veya dengi okul;;2.137;1.123;3.260;
Yüksekokul veya fakülte;;1.108;671;1.779;
Yüksek lisans;;71;35;106;
Doktora;;7;6;13;
Bilinmeyen;;32;40;72;
Toplam;;8.467;8.690;17.157;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
