TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Aydýn;;;;;
Bozdoðan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;198;1.120;1.318;
Okuma yazma bilen fakat bir okul bitirmeyen;;526;1.335;1.861;
Ýlkokul;;5.685;6.479;12.164;
Ýlköðretim;;2.097;1.491;3.588;
Ortaokul veya dengi okul;;979;543;1.522;
Lise veya dengi okul;;2.095;1.330;3.425;
Yüksekokul veya fakülte;;1.028;747;1.775;
Yüksek lisans;;55;37;92;
Doktora;;9;8;17;
Bilinmeyen;;31;43;74;
Toplam;;12.703;13.133;25.836;
Buharkent;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;35;202;237;
Okuma yazma bilen fakat bir okul bitirmeyen;;162;582;744;
Ýlkokul;;1.633;2.027;3.660;
Ýlköðretim;;815;648;1.463;
Ortaokul veya dengi okul;;472;291;763;
Lise veya dengi okul;;1.067;763;1.830;
Yüksekokul veya fakülte;;406;347;753;
Yüksek lisans;;23;10;33;
Doktora;;3;6;9;
Bilinmeyen;;16;15;31;
Toplam;;4.632;4.891;9.523;
Çine;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;196;990;1.186;
Okuma yazma bilen fakat bir okul bitirmeyen;;771;2.539;3.310;
Ýlkokul;;8.056;9.448;17.504;
Ýlköðretim;;3.083;2.028;5.111;
Ortaokul veya dengi okul;;1.576;916;2.492;
Lise veya dengi okul;;3.829;2.792;6.621;
Yüksekokul veya fakülte;;1.943;1.601;3.544;
Yüksek lisans;;121;64;185;
Doktora;;13;12;25;
Bilinmeyen;;23;18;41;
Toplam;;19.611;20.408;40.019;
Didim;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;152;890;1.042;
Okuma yazma bilen fakat bir okul bitirmeyen;;547;1.645;2.192;
Ýlkokul;;6.519;8.286;14.805;
Ýlköðretim;;4.344;3.182;7.526;
Ortaokul veya dengi okul;;3.890;3.121;7.011;
Lise veya dengi okul;;9.151;8.073;17.224;
Yüksekokul veya fakülte;;6.435;5.452;11.887;
Yüksek lisans;;423;330;753;
Doktora;;81;35;116;
Bilinmeyen;;1.331;1.328;2.659;
Toplam;;32.873;32.342;65.215;
Efeler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;549;4.212;4.761;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.694;5.760;7.454;
Ýlkokul;;19.864;28.409;48.273;
Ýlköðretim;;17.895;14.013;31.908;
Ortaokul veya dengi okul;;8.394;7.177;15.571;
Lise veya dengi okul;;26.213;24.482;50.695;
Yüksekokul veya fakülte;;23.155;20.862;44.017;
Yüksek lisans;;2.369;2.033;4.402;
Doktora;;771;553;1.324;
Bilinmeyen;;354;369;723;
Toplam;;101.258;107.870;209.128;
Germencik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;126;699;825;
Okuma yazma bilen fakat bir okul bitirmeyen;;713;2.144;2.857;
Ýlkokul;;5.721;6.732;12.453;
Ýlköðretim;;3.552;2.511;6.063;
Ortaokul veya dengi okul;;1.467;1.087;2.554;
Lise veya dengi okul;;2.622;2.071;4.693;
Yüksekokul veya fakülte;;1.269;1.062;2.331;
Yüksek lisans;;63;39;102;
Doktora;;24;13;37;
Bilinmeyen;;36;39;75;
Toplam;;15.593;16.397;31.990;
Ýncirliova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;206;1.223;1.429;
Okuma yazma bilen fakat bir okul bitirmeyen;;766;1.859;2.625;
Ýlkokul;;5.170;5.973;11.143;
Ýlköðretim;;3.540;2.615;6.155;
Ortaokul veya dengi okul;;1.631;1.189;2.820;
Lise veya dengi okul;;4.329;3.841;8.170;
Yüksekokul veya fakülte;;1.858;1.590;3.448;
Yüksek lisans;;139;88;227;
Doktora;;25;15;40;
Bilinmeyen;;61;81;142;
Toplam;;17.725;18.474;36.199;
Karacasu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;71;439;510;
Okuma yazma bilen fakat bir okul bitirmeyen;;289;940;1.229;
Ýlkokul;;2.344;3.435;5.779;
Ýlköðretim;;986;744;1.730;
Ortaokul veya dengi okul;;1.086;453;1.539;
Lise veya dengi okul;;1.486;956;2.442;
Yüksekokul veya fakülte;;720;580;1.300;
Yüksek lisans;;47;26;73;
Doktora;;15;5;20;
Bilinmeyen;;23;20;43;
Toplam;;7.067;7.598;14.665;
Karpuzlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;29;244;273;
Okuma yazma bilen fakat bir okul bitirmeyen;;292;733;1.025;
Ýlkokul;;2.210;2.406;4.616;
Ýlköðretim;;748;518;1.266;
Ortaokul veya dengi okul;;333;169;502;
Lise veya dengi okul;;576;369;945;
Yüksekokul veya fakülte;;279;176;455;
Yüksek lisans;;16;6;22;
Doktora;;2;2;4;
Bilinmeyen;;-;3;3;
Toplam;;4.485;4.626;9.111;
Koçarlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;105;696;801;
Okuma yazma bilen fakat bir okul bitirmeyen;;493;1.389;1.882;
Ýlkokul;;3.698;3.938;7.636;
Ýlköðretim;;1.744;1.109;2.853;
Ortaokul veya dengi okul;;730;557;1.287;
Lise veya dengi okul;;1.407;986;2.393;
Yüksekokul veya fakülte;;639;490;1.129;
Yüksek lisans;;25;19;44;
Doktora;;3;3;6;
Bilinmeyen;;22;17;39;
Toplam;;8.866;9.204;18.070;
Köþk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;47;321;368;
Okuma yazma bilen fakat bir okul bitirmeyen;;400;859;1.259;
Ýlkokul;;4.019;4.773;8.792;
Ýlköðretim;;2.407;1.942;4.349;
Ortaokul veya dengi okul;;1.017;602;1.619;
Lise veya dengi okul;;1.492;1.131;2.623;
Yüksekokul veya fakülte;;621;473;1.094;
Yüksek lisans;;27;13;40;
Doktora;;9;5;14;
Bilinmeyen;;11;17;28;
Toplam;;10.050;10.136;20.186;
Kuþadasý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;135;679;814;
Okuma yazma bilen fakat bir okul bitirmeyen;;540;1.525;2.065;
Ýlkokul;;7.314;9.988;17.302;
Ýlköðretim;;5.874;3.865;9.739;
Ortaokul veya dengi okul;;4.448;3.848;8.296;
Lise veya dengi okul;;13.199;12.621;25.820;
Yüksekokul veya fakülte;;9.224;9.039;18.263;
Yüksek lisans;;651;584;1.235;
Doktora;;138;94;232;
