TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Aðrý;;;;;
Aðrý Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.065;6.475;7.540;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.727;6.698;9.425;
Ýlkokul;;6.525;8.761;15.286;
Ýlköðretim;;9.088;5.003;14.091;
Ortaokul veya dengi okul;;4.772;2.670;7.442;
Lise veya dengi okul;;10.881;6.370;17.251;
Yüksekokul veya fakülte;;6.889;4.321;11.210;
Yüksek lisans;;551;198;749;
Doktora;;182;80;262;
Bilinmeyen;;408;756;1.164;
Toplam;;43.088;41.332;84.420;
Diyadin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;499;2.553;3.052;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.748;2.514;4.262;
Ýlkokul;;2.918;2.394;5.312;
Ýlköðretim;;2.378;1.039;3.417;
Ortaokul veya dengi okul;;1.327;701;2.028;
Lise veya dengi okul;;1.982;1.029;3.011;
Yüksekokul veya fakülte;;911;610;1.521;
Yüksek lisans;;56;22;78;
Doktora;;7;1;8;
Bilinmeyen;;97;117;214;
Toplam;;11.923;10.980;22.903;
Doðubayazýt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.318;7.106;8.424;
Okuma yazma bilen fakat bir okul bitirmeyen;;4.658;6.636;11.294;
Ýlkokul;;9.365;6.763;16.128;
Ýlköðretim;;6.749;3.461;10.210;
Ortaokul veya dengi okul;;3.387;2.031;5.418;
Lise veya dengi okul;;4.625;3.552;8.177;
Yüksekokul veya fakülte;;2.810;2.265;5.075;
Yüksek lisans;;226;89;315;
Doktora;;11;11;22;
Bilinmeyen;;701;862;1.563;
Toplam;;33.850;32.776;66.626;
Eleþkirt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;331;1.985;2.316;
Okuma yazma bilen fakat bir okul bitirmeyen;;839;2.027;2.866;
Ýlkokul;;2.260;2.531;4.791;
Ýlköðretim;;2.482;1.327;3.809;
Ortaokul veya dengi okul;;1.199;524;1.723;
Lise veya dengi okul;;1.877;742;2.619;
Yüksekokul veya fakülte;;831;470;1.301;
Yüksek lisans;;67;22;89;
Doktora;;8;8;16;
Bilinmeyen;;240;240;480;
Toplam;;10.134;9.876;20.010;
Hamur;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;247;1.047;1.294;
Okuma yazma bilen fakat bir okul bitirmeyen;;637;1.156;1.793;
Ýlkokul;;1.094;896;1.990;
Ýlköðretim;;1.192;495;1.687;
Ortaokul veya dengi okul;;503;279;782;
Lise veya dengi okul;;923;408;1.331;
Yüksekokul veya fakülte;;337;149;486;
Yüksek lisans;;27;8;35;
Doktora;;7;-;7;
Bilinmeyen;;75;133;208;
Toplam;;5.042;4.571;9.613;
Patnos;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.146;5.678;6.824;
Okuma yazma bilen fakat bir okul bitirmeyen;;5.341;9.655;14.996;
Ýlkokul;;8.275;6.671;14.946;
Ýlköðretim;;6.556;2.724;9.280;
Ortaokul veya dengi okul;;3.396;1.665;5.061;
Lise veya dengi okul;;5.040;2.211;7.251;
Yüksekokul veya fakülte;;2.693;1.489;4.182;
Yüksek lisans;;178;59;237;
Doktora;;12;7;19;
Bilinmeyen;;167;424;591;
Toplam;;32.804;30.583;63.387;
Taþlýçay;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;172;988;1.160;
Okuma yazma bilen fakat bir okul bitirmeyen;;535;1.190;1.725;
Ýlkokul;;1.365;1.353;2.718;
Ýlköðretim;;1.470;730;2.200;
Ortaokul veya dengi okul;;692;372;1.064;
Lise veya dengi okul;;1.075;509;1.584;
Yüksekokul veya fakülte;;424;281;705;
Yüksek lisans;;23;7;30;
Doktora;;5;5;10;
Bilinmeyen;;66;69;135;
Toplam;;5.827;5.504;11.331;
Tutak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;386;2.257;2.643;
Okuma yazma bilen fakat bir okul bitirmeyen;;927;1.745;2.672;
Ýlkokul;;2.288;1.882;4.170;
Ýlköðretim;;2.047;872;2.919;
Ortaokul veya dengi okul;;923;426;1.349;
Lise veya dengi okul;;1.466;493;1.959;
Yüksekokul veya fakülte;;581;359;940;
Yüksek lisans;;46;18;64;
Doktora;;1;1;2;
Bilinmeyen;;203;264;467;
Toplam;;8.868;8.317;17.185;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
