TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Balýkesir;;;;;
Altýeylül;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;308;1.950;2.258;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.046;3.224;4.270;
Ýlkokul;;13.278;21.796;35.074;
Ýlköðretim;;9.228;7.162;16.390;
Ortaokul veya dengi okul;;5.594;4.937;10.531;
Lise veya dengi okul;;18.129;14.175;32.304;
Yüksekokul veya fakülte;;14.337;11.770;26.107;
Yüksek lisans;;1.301;1.018;2.319;
Doktora;;449;257;706;
Bilinmeyen;;267;286;553;
Toplam;;63.937;66.575;130.512;
Ayvalýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;193;890;1.083;
Okuma yazma bilen fakat bir okul bitirmeyen;;690;1.402;2.092;
Ýlkokul;;7.242;9.151;16.393;
Ýlköðretim;;3.198;2.388;5.586;
Ortaokul veya dengi okul;;2.780;2.524;5.304;
Lise veya dengi okul;;7.864;7.776;15.640;
Yüksekokul veya fakülte;;5.629;5.113;10.742;
Yüksek lisans;;381;325;706;
Doktora;;86;44;130;
Bilinmeyen;;584;588;1.172;
Toplam;;28.647;30.201;58.848;
Balya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;117;345;462;
Okuma yazma bilen fakat bir okul bitirmeyen;;420;826;1.246;
Ýlkokul;;2.322;3.126;5.448;
Ýlköðretim;;795;451;1.246;
Ortaokul veya dengi okul;;547;280;827;
Lise veya dengi okul;;924;468;1.392;
Yüksekokul veya fakülte;;357;210;567;
Yüksek lisans;;24;5;29;
Doktora;;2;2;4;
Bilinmeyen;;22;22;44;
Toplam;;5.530;5.735;11.265;
Bandýrma;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;187;1.022;1.209;
Okuma yazma bilen fakat bir okul bitirmeyen;;701;2.376;3.077;
Ýlkokul;;11.840;19.619;31.459;
Ýlköðretim;;7.400;6.467;13.867;
Ortaokul veya dengi okul;;5.448;4.322;9.770;
Lise veya dengi okul;;16.924;13.534;30.458;
Yüksekokul veya fakülte;;12.167;10.142;22.309;
Yüksek lisans;;800;602;1.402;
Doktora;;152;84;236;
Bilinmeyen;;348;363;711;
Toplam;;55.967;58.531;114.498;
Bigadiç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;261;1.441;1.702;
Okuma yazma bilen fakat bir okul bitirmeyen;;710;1.371;2.081;
Ýlkokul;;6.359;9.171;15.530;
Ýlköðretim;;3.021;2.095;5.116;
Ortaokul veya dengi okul;;2.107;1.319;3.426;
Lise veya dengi okul;;3.580;2.246;5.826;
Yüksekokul veya fakülte;;1.868;1.304;3.172;
Yüksek lisans;;130;39;169;
Doktora;;12;7;19;
Bilinmeyen;;101;101;202;
Toplam;;18.149;19.094;37.243;
Burhaniye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;237;968;1.205;
Okuma yazma bilen fakat bir okul bitirmeyen;;624;1.244;1.868;
Ýlkokul;;5.787;8.178;13.965;
Ýlköðretim;;2.740;2.126;4.866;
Ortaokul veya dengi okul;;2.250;1.844;4.094;
Lise veya dengi okul;;6.008;5.420;11.428;
Yüksekokul veya fakülte;;4.800;4.003;8.803;
Yüksek lisans;;308;199;507;
Doktora;;65;28;93;
Bilinmeyen;;316;291;607;
Toplam;;23.135;24.301;47.436;
Dursunbey;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;319;1.972;2.291;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.017;2.011;3.028;
Ýlkokul;;4.784;5.946;10.730;
Ýlköðretim;;2.246;1.765;4.011;
Ortaokul veya dengi okul;;1.357;874;2.231;
Lise veya dengi okul;;2.710;1.570;4.280;
Yüksekokul veya fakülte;;1.353;856;2.209;
Yüksek lisans;;80;44;124;
Doktora;;10;2;12;
Bilinmeyen;;24;19;43;
Toplam;;13.900;15.059;28.959;
Edremit;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;356;1.646;2.002;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.198;3.239;4.437;
Ýlkokul;;13.836;20.331;34.167;
Ýlköðretim;;7.054;5.502;12.556;
Ortaokul veya dengi okul;;6.060;5.572;11.632;
Lise veya dengi okul;;16.393;15.199;31.592;
Yüksekokul veya fakülte;;11.882;9.811;21.693;
Yüksek lisans;;843;593;1.436;
Doktora;;142;77;219;
Bilinmeyen;;988;1.040;2.028;
Toplam;;58.752;63.010;121.762;
Erdek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;77;387;464;
Okuma yazma bilen fakat bir okul bitirmeyen;;283;671;954;
Ýlkokul;;4.093;5.640;9.733;
Ýlköðretim;;1.719;1.155;2.874;
Ortaokul veya dengi okul;;1.392;1.024;2.416;
Lise veya dengi okul;;3.211;2.887;6.098;
Yüksekokul veya fakülte;;2.174;1.701;3.875;
Yüksek lisans;;140;108;248;
Doktora;;22;15;37;
Bilinmeyen;;184;188;372;
Toplam;;13.295;13.776;27.071;
Gömeç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;17;154;171;
Okuma yazma bilen fakat bir okul bitirmeyen;;197;457;654;
Ýlkokul;;1.810;2.171;3.981;
Ýlköðretim;;725;567;1.292;
Ortaokul veya dengi okul;;580;450;1.030;
Lise veya dengi okul;;1.215;1.124;2.339;
Yüksekokul veya fakülte;;858;737;1.595;
Yüksek lisans;;70;46;116;
Doktora;;15;11;26;
Bilinmeyen;;52;51;103;
Toplam;;5.539;5.768;11.307;
Gönen;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;306;1.572;1.878;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.047;1.952;2.999;
Ýlkokul;;9.397;13.110;22.507;
Ýlköðretim;;4.219;3.237;7.456;
Ortaokul veya dengi okul;;2.811;2.109;4.920;
Lise veya dengi okul;;6.967;5.063;12.030;
Yüksekokul veya fakülte;;4.021;2.974;6.995;
Yüksek lisans;;247;169;416;
Doktora;;29;28;57;
Bilinmeyen;;63;50;113;
Toplam;;29.107;30.264;59.371;
Havran;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;175;562;737;
Okuma yazma bilen fakat bir okul bitirmeyen;;473;1.067;1.540;
Ýlkokul;;3.928;5.039;8.967;
Ýlköðretim;;2.230;1.430;3.660;
Ortaokul veya dengi okul;;1.027;625;1.652;
Lise veya dengi okul;;1.668;1.234;2.902;
Yüksekokul veya fakülte;;688;450;1.138;
