TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Bartýn;;;;;
Amasra;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;95;447;542;
Okuma yazma bilen fakat bir okul bitirmeyen;;162;649;811;
Ýlkokul;;1.599;2.122;3.721;
Ýlköðretim;;1.119;771;1.890;
Ortaokul veya dengi okul;;628;428;1.056;
Lise veya dengi okul;;1.252;863;2.115;
Yüksekokul veya fakülte;;679;493;1.172;
Yüksek lisans;;39;25;64;
Doktora;;3;2;5;
Bilinmeyen;;43;40;83;
Toplam;;5.619;5.840;11.459;
Bartýn Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;818;3.765;4.583;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.468;5.846;7.314;
Ýlkokul;;12.817;17.660;30.477;
Ýlköðretim;;12.710;9.545;22.255;
Ortaokul veya dengi okul;;4.619;4.339;8.958;
Lise veya dengi okul;;13.151;9.229;22.380;
Yüksekokul veya fakülte;;7.816;6.253;14.069;
Yüksek lisans;;746;453;1.199;
Doktora;;230;119;349;
Bilinmeyen;;347;400;747;
Toplam;;54.722;57.609;112.331;
Kurucaþile;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;102;554;656;
Okuma yazma bilen fakat bir okul bitirmeyen;;147;387;534;
Ýlkokul;;883;906;1.789;
Ýlköðretim;;563;284;847;
Ortaokul veya dengi okul;;214;144;358;
Lise veya dengi okul;;479;240;719;
Yüksekokul veya fakülte;;217;134;351;
Yüksek lisans;;16;8;24;
Doktora;;6;3;9;
Bilinmeyen;;27;21;48;
Toplam;;2.654;2.681;5.335;
Ulus;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;265;1.179;1.444;
Okuma yazma bilen fakat bir okul bitirmeyen;;564;1.799;2.363;
Ýlkokul;;3.247;3.147;6.394;
Ýlköðretim;;1.329;1.204;2.533;
Ortaokul veya dengi okul;;784;423;1.207;
Lise veya dengi okul;;1.588;834;2.422;
Yüksekokul veya fakülte;;750;469;1.219;
Yüksek lisans;;46;14;60;
Doktora;;4;2;6;
Bilinmeyen;;55;60;115;
Toplam;;8.632;9.131;17.763;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
