TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Batman;;;;;
Batman Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;3.040;17.990;21.030;
Okuma yazma bilen fakat bir okul bitirmeyen;;6.064;18.207;24.271;
Ýlkokul;;13.621;23.395;37.016;
Ýlköðretim;;28.284;22.767;51.051;
Ortaokul veya dengi okul;;14.322;9.008;23.330;
Lise veya dengi okul;;35.252;22.171;57.423;
Yüksekokul veya fakülte;;22.717;14.399;37.116;
Yüksek lisans;;2.111;679;2.790;
Doktora;;286;115;401;
Bilinmeyen;;1.031;1.723;2.754;
Toplam;;126.728;130.454;257.182;
Beþiri;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;238;1.351;1.589;
Okuma yazma bilen fakat bir okul bitirmeyen;;504;1.861;2.365;
Ýlkokul;;1.397;1.573;2.970;
Ýlköðretim;;2.365;1.847;4.212;
Ortaokul veya dengi okul;;875;430;1.305;
Lise veya dengi okul;;2.076;1.023;3.099;
Yüksekokul veya fakülte;;844;352;1.196;
Yüksek lisans;;35;5;40;
Doktora;;6;2;8;
Bilinmeyen;;57;94;151;
Toplam;;8.397;8.538;16.935;
Gercüþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;399;1.385;1.784;
Okuma yazma bilen fakat bir okul bitirmeyen;;331;1.057;1.388;
Ýlkokul;;1.247;1.261;2.508;
Ýlköðretim;;1.232;1.121;2.353;
Ortaokul veya dengi okul;;601;279;880;
Lise veya dengi okul;;1.332;699;2.031;
Yüksekokul veya fakülte;;663;342;1.005;
Yüksek lisans;;49;7;56;
Doktora;;3;2;5;
Bilinmeyen;;48;97;145;
Toplam;;5.905;6.250;12.155;
Hasankeyf;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;107;371;478;
Okuma yazma bilen fakat bir okul bitirmeyen;;112;402;514;
Ýlkokul;;308;325;633;
Ýlköðretim;;489;451;940;
Ortaokul veya dengi okul;;220;131;351;
Lise veya dengi okul;;589;308;897;
Yüksekokul veya fakülte;;269;135;404;
Yüksek lisans;;13;3;16;
Doktora;;1;1;2;
Bilinmeyen;;4;8;12;
Toplam;;2.112;2.135;4.247;
Kozluk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;566;2.445;3.011;
Okuma yazma bilen fakat bir okul bitirmeyen;;967;3.876;4.843;
Ýlkokul;;3.185;3.247;6.432;
Ýlköðretim;;4.408;3.054;7.462;
Ortaokul veya dengi okul;;2.089;1.200;3.289;
Lise veya dengi okul;;3.794;2.513;6.307;
Yüksekokul veya fakülte;;1.700;1.076;2.776;
Yüksek lisans;;86;26;112;
Doktora;;7;2;9;
Bilinmeyen;;42;103;145;
Toplam;;16.844;17.542;34.386;
Sason;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;455;1.560;2.015;
Okuma yazma bilen fakat bir okul bitirmeyen;;835;2.038;2.873;
Ýlkokul;;1.558;1.232;2.790;
Ýlköðretim;;1.958;1.459;3.417;
Ortaokul veya dengi okul;;849;452;1.301;
Lise veya dengi okul;;1.961;1.024;2.985;
Yüksekokul veya fakülte;;908;718;1.626;
Yüksek lisans;;43;24;67;
Doktora;;3;1;4;
Bilinmeyen;;55;73;128;
Toplam;;8.625;8.581;17.206;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
