TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Bayburt;;;;;
Aydýntepe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;23;287;310;
Okuma yazma bilen fakat bir okul bitirmeyen;;78;274;352;
Ýlkokul;;776;1.030;1.806;
Ýlköðretim;;360;378;738;
Ortaokul veya dengi okul;;255;129;384;
Lise veya dengi okul;;728;340;1.068;
Yüksekokul veya fakülte;;298;151;449;
Yüksek lisans;;18;1;19;
Doktora;;1;4;5;
Bilinmeyen;;20;23;43;
Toplam;;2.557;2.617;5.174;
Bayburt Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;259;2.345;2.604;
Okuma yazma bilen fakat bir okul bitirmeyen;;645;1.515;2.160;
Ýlkokul;;4.162;6.252;10.414;
Ýlköðretim;;3.370;3.737;7.107;
Ortaokul veya dengi okul;;2.233;1.448;3.681;
Lise veya dengi okul;;7.446;4.097;11.543;
Yüksekokul veya fakülte;;3.909;2.245;6.154;
Yüksek lisans;;353;177;530;
Doktora;;146;50;196;
Bilinmeyen;;245;252;497;
Toplam;;22.768;22.118;44.886;
Demirözü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;59;442;501;
Okuma yazma bilen fakat bir okul bitirmeyen;;145;280;425;
Ýlkokul;;800;1.100;1.900;
Ýlköðretim;;575;479;1.054;
Ortaokul veya dengi okul;;428;187;615;
Lise veya dengi okul;;662;347;1.009;
Yüksekokul veya fakülte;;259;166;425;
Yüksek lisans;;13;8;21;
Doktora;;2;1;3;
Bilinmeyen;;48;38;86;
Toplam;;2.991;3.048;6.039;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
