TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Bilecik;;;;;
Bilecik Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;100;577;677;
Okuma yazma bilen fakat bir okul bitirmeyen;;209;605;814;
Ýlkokul;;4.406;7.788;12.194;
Ýlköðretim;;3.403;3.078;6.481;
Ortaokul veya dengi okul;;2.630;2.104;4.734;
Lise veya dengi okul;;8.381;6.021;14.402;
Yüksekokul veya fakülte;;5.166;4.080;9.246;
Yüksek lisans;;483;335;818;
Doktora;;162;98;260;
Bilinmeyen;;65;68;133;
Toplam;;25.005;24.754;49.759;
Bozüyük;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;124;958;1.082;
Okuma yazma bilen fakat bir okul bitirmeyen;;262;946;1.208;
Ýlkokul;;4.958;9.040;13.998;
Ýlköðretim;;3.686;3.737;7.423;
Ortaokul veya dengi okul;;2.931;2.351;5.282;
Lise veya dengi okul;;10.374;6.700;17.074;
Yüksekokul veya fakülte;;4.257;3.423;7.680;
Yüksek lisans;;310;203;513;
Doktora;;33;24;57;
Bilinmeyen;;60;61;121;
Toplam;;26.995;27.443;54.438;
Gölpazarý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;90;371;461;
Okuma yazma bilen fakat bir okul bitirmeyen;;158;311;469;
Ýlkokul;;1.550;2.161;3.711;
Ýlköðretim;;338;228;566;
Ortaokul veya dengi okul;;390;230;620;
Lise veya dengi okul;;867;476;1.343;
Yüksekokul veya fakülte;;470;242;712;
Yüksek lisans;;32;17;49;
Doktora;;3;-;3;
Bilinmeyen;;28;19;47;
Toplam;;3.926;4.055;7.981;
Ýnhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;20;78;98;
Okuma yazma bilen fakat bir okul bitirmeyen;;26;81;107;
Ýlkokul;;507;672;1.179;
Ýlköðretim;;93;61;154;
Ortaokul veya dengi okul;;103;35;138;
Lise veya dengi okul;;145;74;219;
Yüksekokul veya fakülte;;69;39;108;
Yüksek lisans;;1;2;3;
Doktora;;0;0;0;
Bilinmeyen;;-;6;6;
Toplam;;964;1.048;2.012;
Osmaneli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;59;408;467;
Okuma yazma bilen fakat bir okul bitirmeyen;;119;248;367;
Ýlkokul;;2.141;3.196;5.337;
Ýlköðretim;;1.432;1.231;2.663;
Ortaokul veya dengi okul;;956;705;1.661;
Lise veya dengi okul;;2.175;1.445;3.620;
Yüksekokul veya fakülte;;929;715;1.644;
Yüksek lisans;;43;32;75;
Doktora;;19;10;29;
Bilinmeyen;;17;15;32;
Toplam;;7.890;8.005;15.895;
Pazaryeri;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;41;275;316;
Okuma yazma bilen fakat bir okul bitirmeyen;;51;235;286;
Ýlkokul;;1.434;2.134;3.568;
Ýlköðretim;;533;436;969;
Ortaokul veya dengi okul;;475;249;724;
Lise veya dengi okul;;936;550;1.486;
Yüksekokul veya fakülte;;432;256;688;
Yüksek lisans;;19;11;30;
Doktora;;4;3;7;
Bilinmeyen;;18;17;35;
Toplam;;3.943;4.166;8.109;
Söðüt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;38;236;274;
Okuma yazma bilen fakat bir okul bitirmeyen;;62;247;309;
Ýlkokul;;1.946;3.184;5.130;
Ýlköðretim;;1.176;785;1.961;
Ortaokul veya dengi okul;;867;584;1.451;
Lise veya dengi okul;;1.653;1.106;2.759;
Yüksekokul veya fakülte;;845;698;1.543;
Yüksek lisans;;26;37;63;
Doktora;;12;9;21;
Bilinmeyen;;15;15;30;
Toplam;;6.640;6.901;13.541;
Yenipazar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;25;129;154;
Okuma yazma bilen fakat bir okul bitirmeyen;;41;95;136;
Ýlkokul;;630;804;1.434;
Ýlköðretim;;111;68;179;
Ortaokul veya dengi okul;;99;65;164;
Lise veya dengi okul;;200;90;290;
Yüksekokul veya fakülte;;119;70;189;
Yüksek lisans;;17;7;24;
Doktora;;0;0;0;
Bilinmeyen;;7;7;14;
Toplam;;1.249;1.335;2.584;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
