TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Bingöl;;;;;
Adaklý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;295;855;1.150;
Okuma yazma bilen fakat bir okul bitirmeyen;;354;559;913;
Ýlkokul;;877;694;1.571;
Ýlköðretim;;535;398;933;
Ortaokul veya dengi okul;;279;101;380;
Lise veya dengi okul;;549;208;757;
Yüksekokul veya fakülte;;281;116;397;
Yüksek lisans;;24;2;26;
Doktora;;1;-;1;
Bilinmeyen;;20;17;37;
Toplam;;3.215;2.950;6.165;
Bingöl Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.178;6.118;7.296;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.879;5.782;7.661;
Ýlkokul;;6.946;11.173;18.119;
Ýlköðretim;;10.084;7.728;17.812;
Ortaokul veya dengi okul;;4.811;3.795;8.606;
Lise veya dengi okul;;14.376;10.435;24.811;
Yüksekokul veya fakülte;;10.165;6.352;16.517;
Yüksek lisans;;928;329;1.257;
Doktora;;258;89;347;
Bilinmeyen;;241;220;461;
Toplam;;50.866;52.021;102.887;
Genç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;458;1.908;2.366;
Okuma yazma bilen fakat bir okul bitirmeyen;;936;2.036;2.972;
Ýlkokul;;2.018;2.246;4.264;
Ýlköðretim;;2.341;1.790;4.131;
Ortaokul veya dengi okul;;1.311;739;2.050;
Lise veya dengi okul;;3.304;1.865;5.169;
Yüksekokul veya fakülte;;1.397;775;2.172;
Yüksek lisans;;73;18;91;
Doktora;;3;2;5;
Bilinmeyen;;34;60;94;
Toplam;;11.875;11.439;23.314;
Karlýova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;370;1.828;2.198;
Okuma yazma bilen fakat bir okul bitirmeyen;;918;1.888;2.806;
Ýlkokul;;2.635;2.556;5.191;
Ýlköðretim;;2.224;1.532;3.756;
Ortaokul veya dengi okul;;818;384;1.202;
Lise veya dengi okul;;1.637;706;2.343;
Yüksekokul veya fakülte;;698;348;1.046;
Yüksek lisans;;37;20;57;
Doktora;;-;3;3;
Bilinmeyen;;93;149;242;
Toplam;;9.430;9.414;18.844;
Kiðý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;129;387;516;
Okuma yazma bilen fakat bir okul bitirmeyen;;127;194;321;
Ýlkokul;;442;423;865;
Ýlköðretim;;245;137;382;
Ortaokul veya dengi okul;;171;92;263;
Lise veya dengi okul;;659;238;897;
Yüksekokul veya fakülte;;374;158;532;
Yüksek lisans;;23;7;30;
Doktora;;4;-;4;
Bilinmeyen;;32;26;58;
Toplam;;2.206;1.662;3.868;
Solhan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;363;1.965;2.328;
Okuma yazma bilen fakat bir okul bitirmeyen;;826;2.234;3.060;
Ýlkokul;;1.812;1.901;3.713;
Ýlköðretim;;1.946;2.018;3.964;
Ortaokul veya dengi okul;;1.210;596;1.806;
Lise veya dengi okul;;3.298;1.708;5.006;
Yüksekokul veya fakülte;;1.330;626;1.956;
Yüksek lisans;;89;25;114;
Doktora;;1;4;5;
Bilinmeyen;;32;28;60;
Toplam;;10.907;11.105;22.012;
Yayladere;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;40;151;191;
Okuma yazma bilen fakat bir okul bitirmeyen;;34;64;98;
Ýlkokul;;264;228;492;
Ýlköðretim;;85;38;123;
Ortaokul veya dengi okul;;81;27;108;
Lise veya dengi okul;;318;75;393;
Yüksekokul veya fakülte;;194;54;248;
Yüksek lisans;;9;1;10;
Doktora;;0;0;0;
Bilinmeyen;;32;21;53;
Toplam;;1.057;659;1.716;
Yedisu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;60;251;311;
Okuma yazma bilen fakat bir okul bitirmeyen;;48;116;164;
Ýlkokul;;273;252;525;
Ýlköðretim;;235;117;352;
Ortaokul veya dengi okul;;155;65;220;
Lise veya dengi okul;;285;109;394;
Yüksekokul veya fakülte;;121;61;182;
Yüksek lisans;;8;1;9;
Doktora;;-;1;1;
Bilinmeyen;;14;13;27;
Toplam;;1.199;986;2.185;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
