TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Bitlis;;;;;
Adilcevaz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;152;835;987;
Okuma yazma bilen fakat bir okul bitirmeyen;;601;1.489;2.090;
Ýlkokul;;1.866;2.252;4.118;
Ýlköðretim;;1.906;1.606;3.512;
Ortaokul veya dengi okul;;838;663;1.501;
Lise veya dengi okul;;2.323;1.242;3.565;
Yüksekokul veya fakülte;;1.172;547;1.719;
Yüksek lisans;;77;22;99;
Doktora;;13;8;21;
Bilinmeyen;;13;48;61;
Toplam;;8.961;8.712;17.673;
Ahlat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;188;1.478;1.666;
Okuma yazma bilen fakat bir okul bitirmeyen;;698;1.979;2.677;
Ýlkokul;;2.235;2.915;5.150;
Ýlköðretim;;2.624;1.959;4.583;
Ortaokul veya dengi okul;;1.206;769;1.975;
Lise veya dengi okul;;3.086;1.449;4.535;
Yüksekokul veya fakülte;;1.473;764;2.237;
Yüksek lisans;;94;27;121;
Doktora;;25;7;32;
Bilinmeyen;;86;98;184;
Toplam;;11.715;11.445;23.160;
Bitlis Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;410;2.524;2.934;
Okuma yazma bilen fakat bir okul bitirmeyen;;776;2.920;3.696;
Ýlkokul;;2.540;4.165;6.705;
Ýlköðretim;;3.771;3.373;7.144;
Ortaokul veya dengi okul;;2.402;1.375;3.777;
Lise veya dengi okul;;6.170;3.136;9.306;
Yüksekokul veya fakülte;;4.147;2.187;6.334;
Yüksek lisans;;312;109;421;
Doktora;;102;55;157;
Bilinmeyen;;23;64;87;
Toplam;;20.653;19.908;40.561;
Güroymak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;284;2.228;2.512;
Okuma yazma bilen fakat bir okul bitirmeyen;;827;3.056;3.883;
Ýlkokul;;2.465;2.749;5.214;
Ýlköðretim;;3.555;2.010;5.565;
Ortaokul veya dengi okul;;2.045;675;2.720;
Lise veya dengi okul;;2.802;1.153;3.955;
Yüksekokul veya fakülte;;1.230;620;1.850;
Yüksek lisans;;70;16;86;
Doktora;;9;9;18;
Bilinmeyen;;12;66;78;
Toplam;;13.299;12.582;25.881;
Hizan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;601;2.448;3.049;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.103;2.599;3.702;
Ýlkokul;;1.853;1.750;3.603;
Ýlköðretim;;1.920;1.270;3.190;
Ortaokul veya dengi okul;;1.106;450;1.556;
Lise veya dengi okul;;1.978;676;2.654;
Yüksekokul veya fakülte;;975;401;1.376;
Yüksek lisans;;59;10;69;
Doktora;;1;1;2;
Bilinmeyen;;47;107;154;
Toplam;;9.643;9.712;19.355;
Mutki;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;509;2.116;2.625;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.147;2.292;3.439;
Ýlkokul;;1.976;1.423;3.399;
Ýlköðretim;;2.290;1.390;3.680;
Ortaokul veya dengi okul;;1.107;478;1.585;
Lise veya dengi okul;;1.405;514;1.919;
Yüksekokul veya fakülte;;658;282;940;
Yüksek lisans;;25;5;30;
Doktora;;3;2;5;
Bilinmeyen;;18;60;78;
Toplam;;9.138;8.562;17.700;
Tatvan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;666;3.651;4.317;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.383;4.210;5.593;
Ýlkokul;;3.812;5.199;9.011;
Ýlköðretim;;5.425;4.852;10.277;
Ortaokul veya dengi okul;;3.287;1.868;5.155;
Lise veya dengi okul;;7.296;4.107;11.403;
Yüksekokul veya fakülte;;4.959;2.510;7.469;
Yüksek lisans;;412;165;577;
Doktora;;69;21;90;
Bilinmeyen;;89;199;288;
Toplam;;27.398;26.782;54.180;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
