TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Burdur;;;;;
Aðlasun;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;15;166;181;
Okuma yazma bilen fakat bir okul bitirmeyen;;29;226;255;
Ýlkokul;;1.042;1.708;2.750;
Ýlköðretim;;614;353;967;
Ortaokul veya dengi okul;;432;299;731;
Lise veya dengi okul;;746;434;1.180;
Yüksekokul veya fakülte;;297;174;471;
Yüksek lisans;;14;12;26;
Doktora;;3;3;6;
Bilinmeyen;;4;6;10;
Toplam;;3.196;3.381;6.577;
Altýnyayla;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;44;264;308;
Okuma yazma bilen fakat bir okul bitirmeyen;;67;303;370;
Ýlkokul;;879;838;1.717;
Ýlköðretim;;372;252;624;
Ortaokul veya dengi okul;;217;141;358;
Lise veya dengi okul;;343;255;598;
Yüksekokul veya fakülte;;179;123;302;
Yüksek lisans;;12;5;17;
Doktora;;-;2;2;
Bilinmeyen;;12;9;21;
Toplam;;2.125;2.192;4.317;
Bucak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;170;1.445;1.615;
Okuma yazma bilen fakat bir okul bitirmeyen;;354;1.786;2.140;
Ýlkokul;;6.839;8.676;15.515;
Ýlköðretim;;3.371;2.730;6.101;
Ortaokul veya dengi okul;;2.606;1.881;4.487;
Lise veya dengi okul;;5.967;4.520;10.487;
Yüksekokul veya fakülte;;3.843;3.066;6.909;
Yüksek lisans;;310;190;500;
Doktora;;82;38;120;
Bilinmeyen;;37;53;90;
Toplam;;23.579;24.385;47.964;
Burdur Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;150;1.301;1.451;
Okuma yazma bilen fakat bir okul bitirmeyen;;447;1.566;2.013;
Ýlkokul;;8.310;13.316;21.626;
Ýlköðretim;;5.014;4.513;9.527;
Ortaokul veya dengi okul;;3.497;2.874;6.371;
Lise veya dengi okul;;10.117;8.191;18.308;
Yüksekokul veya fakülte;;8.019;6.523;14.542;
Yüksek lisans;;830;487;1.317;
Doktora;;289;190;479;
Bilinmeyen;;143;168;311;
Toplam;;36.816;39.129;75.945;
Çavdýr;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;56;376;432;
Okuma yazma bilen fakat bir okul bitirmeyen;;157;567;724;
Ýlkokul;;1.686;1.979;3.665;
Ýlköðretim;;848;654;1.502;
Ortaokul veya dengi okul;;542;300;842;
Lise veya dengi okul;;1.094;830;1.924;
Yüksekokul veya fakülte;;414;350;764;
Yüksek lisans;;47;14;61;
Doktora;;4;2;6;
