TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Bursa;;;;;
Büyükorhan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;298;1.286;1.584;
Okuma yazma bilen fakat bir okul bitirmeyen;;471;417;888;
Ýlkokul;;1.283;1.371;2.654;
Ýlköðretim;;570;486;1.056;
Ortaokul veya dengi okul;;295;163;458;
Lise veya dengi okul;;620;318;938;
Yüksekokul veya fakülte;;299;143;442;
Yüksek lisans;;13;5;18;
Doktora;;5;-;5;
Bilinmeyen;;5;5;10;
Toplam;;3.859;4.194;8.053;
Gemlik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;302;1.885;2.187;
Okuma yazma bilen fakat bir okul bitirmeyen;;584;1.801;2.385;
Ýlkokul;;7.952;12.353;20.305;
Ýlköðretim;;5.966;5.042;11.008;
Ortaokul veya dengi okul;;4.441;3.742;8.183;
Lise veya dengi okul;;13.305;10.293;23.598;
Yüksekokul veya fakülte;;7.071;5.988;13.059;
Yüksek lisans;;411;322;733;
Doktora;;65;27;92;
Bilinmeyen;;318;298;616;
Toplam;;40.415;41.751;82.166;
Gürsu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;223;1.662;1.885;
Okuma yazma bilen fakat bir okul bitirmeyen;;459;1.510;1.969;
Ýlkokul;;4.965;8.289;13.254;
Ýlköðretim;;6.616;5.376;11.992;
Ortaokul veya dengi okul;;3.458;2.512;5.970;
Lise veya dengi okul;;8.888;6.189;15.077;
Yüksekokul veya fakülte;;3.775;2.805;6.580;
Yüksek lisans;;167;114;281;
Doktora;;13;19;32;
Bilinmeyen;;201;280;481;
Toplam;;28.765;28.756;57.521;
Harmancýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;98;626;724;
Okuma yazma bilen fakat bir okul bitirmeyen;;98;231;329;
Ýlkokul;;842;1.024;1.866;
Ýlköðretim;;313;300;613;
Ortaokul veya dengi okul;;258;162;420;
Lise veya dengi okul;;631;297;928;
Yüksekokul veya fakülte;;258;170;428;
Yüksek lisans;;14;6;20;
Doktora;;3;-;3;
Bilinmeyen;;7;12;19;
Toplam;;2.522;2.828;5.350;
Ýnegöl;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;840;5.123;5.963;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.459;4.085;5.544;
Ýlkokul;;20.002;30.563;50.565;
Ýlköðretim;;19.697;14.827;34.524;
Ortaokul veya dengi okul;;10.678;7.610;18.288;
Lise veya dengi okul;;23.910;18.489;42.399;
Yüksekokul veya fakülte;;11.524;8.983;20.507;
Yüksek lisans;;731;478;1.209;
Doktora;;93;71;164;
Bilinmeyen;;589;745;1.334;
Toplam;;89.523;90.974;180.497;
Ýznik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;236;1.386;1.622;
Okuma yazma bilen fakat bir okul bitirmeyen;;401;914;1.315;
Ýlkokul;;5.778;7.695;13.473;
Ýlköðretim;;1.987;1.800;3.787;
Ortaokul veya dengi okul;;1.886;1.063;2.949;
Lise veya dengi okul;;4.014;2.790;6.804;
Yüksekokul veya fakülte;;2.082;1.559;3.641;
Yüksek lisans;;113;71;184;
Doktora;;14;12;26;
Bilinmeyen;;70;82;152;
Toplam;;16.581;17.372;33.953;
Karacabey;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;456;2.570;3.026;
Okuma yazma bilen fakat bir okul bitirmeyen;;814;2.048;2.862;
Ýlkokul;;9.340;12.205;21.545;
Ýlköðretim;;4.796;3.945;8.741;
Ortaokul veya dengi okul;;3.146;2.090;5.236;
Lise veya dengi okul;;7.881;5.369;13.250;
Yüksekokul veya fakülte;;3.984;3.043;7.027;
Yüksek lisans;;253;151;404;
Doktora;;24;13;37;
Bilinmeyen;;147;178;325;
Toplam;;30.841;31.612;62.453;
Keles;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;166;735;901;
Okuma yazma bilen fakat bir okul bitirmeyen;;295;386;681;
Ýlkokul;;1.777;2.557;4.334;
Ýlköðretim;;578;433;1.011;
Ortaokul veya dengi okul;;590;264;854;
Lise veya dengi okul;;881;469;1.350;
Yüksekokul veya fakülte;;449;269;718;
Yüksek lisans;;24;21;45;
Doktora;;2;3;5;
Bilinmeyen;;14;30;44;
Toplam;;4.776;5.167;9.943;
Kestel;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;170;1.106;1.276;
Okuma yazma bilen fakat bir okul bitirmeyen;;329;970;1.299;
Ýlkokul;;4.444;6.708;11.152;
Ýlköðretim;;4.028;3.586;7.614;
Ortaokul veya dengi okul;;2.489;2.167;4.656;
Lise veya dengi okul;;7.236;5.421;12.657;
Yüksekokul veya fakülte;;3.389;2.928;6.317;
Yüksek lisans;;220;121;341;
Doktora;;15;16;31;
Bilinmeyen;;118;155;273;
Toplam;;22.438;23.178;45.616;
Mudanya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;201;1.208;1.409;
Okuma yazma bilen fakat bir okul bitirmeyen;;402;1.228;1.630;
Ýlkokul;;7.450;11.515;18.965;
Ýlköðretim;;3.570;2.971;6.541;
Ortaokul veya dengi okul;;3.520;3.120;6.640;
Lise veya dengi okul;;10.361;9.285;19.646;
Yüksekokul veya fakülte;;7.698;6.909;14.607;
Yüksek lisans;;717;591;1.308;
Doktora;;213;154;367;
Bilinmeyen;;477;536;1.013;
Toplam;;34.609;37.517;72.126;
Mustafakemalpaþa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;585;3.105;3.690;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.133;2.721;3.854;
Ýlkokul;;12.448;16.077;28.525;
Ýlköðretim;;5.046;4.533;9.579;
Ortaokul veya dengi okul;;3.914;2.738;6.652;
Lise veya dengi okul;;9.500;6.722;16.222;
Yüksekokul veya fakülte;;4.704;3.674;8.378;
