TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Denizli;;;;;
Acýpayam;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;125;776;901;
Okuma yazma bilen fakat bir okul bitirmeyen;;581;2.951;3.532;
Ýlkokul;;7.546;8.143;15.689;
Ýlköðretim;;3.292;2.517;5.809;
Ortaokul veya dengi okul;;2.246;1.738;3.984;
Lise veya dengi okul;;4.631;3.666;8.297;
Yüksekokul veya fakülte;;2.561;1.997;4.558;
Yüksek lisans;;206;86;292;
Doktora;;23;17;40;
Bilinmeyen;;195;166;361;
Toplam;;21.406;22.057;43.463;
Babadað;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;16;90;106;
Okuma yazma bilen fakat bir okul bitirmeyen;;81;255;336;
Ýlkokul;;1.112;1.129;2.241;
Ýlköðretim;;542;409;951;
Ortaokul veya dengi okul;;248;157;405;
Lise veya dengi okul;;360;290;650;
Yüksekokul veya fakülte;;151;129;280;
Yüksek lisans;;6;1;7;
Doktora;;1;2;3;
Bilinmeyen;;8;6;14;
Toplam;;2.525;2.468;4.993;
Baklan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;7;70;77;
Okuma yazma bilen fakat bir okul bitirmeyen;;52;240;292;
Ýlkokul;;819;1.201;2.020;
Ýlköðretim;;296;211;507;
Ortaokul veya dengi okul;;309;148;457;
Lise veya dengi okul;;529;270;799;
Yüksekokul veya fakülte;;167;122;289;
Yüksek lisans;;5;6;11;
Doktora;;1;-;1;
Bilinmeyen;;10;10;20;
Toplam;;2.195;2.278;4.473;
Bekilli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;6;197;203;
Okuma yazma bilen fakat bir okul bitirmeyen;;97;454;551;
Ýlkokul;;1.113;1.254;2.367;
Ýlköðretim;;313;256;569;
Ortaokul veya dengi okul;;265;226;491;
Lise veya dengi okul;;586;420;1.006;
Yüksekokul veya fakülte;;249;183;432;
Yüksek lisans;;18;8;26;
Doktora;;1;1;2;
Bilinmeyen;;37;38;75;
Toplam;;2.685;3.037;5.722;
Beyaðaç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;15;71;86;
Okuma yazma bilen fakat bir okul bitirmeyen;;74;368;442;
Ýlkokul;;763;967;1.730;
Ýlköðretim;;463;340;803;
Ortaokul veya dengi okul;;292;307;599;
Lise veya dengi okul;;744;387;1.131;
Yüksekokul veya fakülte;;244;154;398;
Yüksek lisans;;14;3;17;
Doktora;;-;1;1;
Bilinmeyen;;4;6;10;
Toplam;;2.613;2.604;5.217;
Bozkurt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;21;121;142;
Okuma yazma bilen fakat bir okul bitirmeyen;;169;601;770;
Ýlkokul;;1.456;1.657;3.113;
Ýlköðretim;;819;749;1.568;
Ortaokul veya dengi okul;;426;322;748;
Lise veya dengi okul;;915;613;1.528;
Yüksekokul veya fakülte;;411;280;691;
Yüksek lisans;;26;5;31;
Doktora;;1;2;3;
Bilinmeyen;;28;39;67;
Toplam;;4.272;4.389;8.661;
Buldan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;38;292;330;
Okuma yazma bilen fakat bir okul bitirmeyen;;325;1.050;1.375;
Ýlkokul;;3.764;5.013;8.777;
Ýlköðretim;;1.627;1.150;2.777;
Ortaokul veya dengi okul;;955;619;1.574;
Lise veya dengi okul;;2.185;1.646;3.831;
Yüksekokul veya fakülte;;1.104;957;2.061;
Yüksek lisans;;83;40;123;
Doktora;;7;9;16;
Bilinmeyen;;39;39;78;
Toplam;;10.127;10.815;20.942;
Çal;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;45;323;368;
Okuma yazma bilen fakat bir okul bitirmeyen;;195;1.078;1.273;
Ýlkokul;;2.758;3.694;6.452;
Ýlköðretim;;1.096;692;1.788;
Ortaokul veya dengi okul;;902;606;1.508;
Lise veya dengi okul;;1.681;1.122;2.803;
Yüksekokul veya fakülte;;823;564;1.387;
Yüksek lisans;;42;30;72;
Doktora;;5;5;10;
Bilinmeyen;;34;33;67;
Toplam;;7.581;8.147;15.728;
Çameli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;43;271;314;
Okuma yazma bilen fakat bir okul bitirmeyen;;380;1.136;1.516;
Ýlkokul;;3.395;3.775;7.170;
Ýlköðretim;;1.265;801;2.066;
Ortaokul veya dengi okul;;597;284;881;
Lise veya dengi okul;;1.095;700;1.795;
Yüksekokul veya fakülte;;570;385;955;
Yüksek lisans;;49;25;74;
Doktora;;1;8;9;
Bilinmeyen;;5;6;11;
Toplam;;7.400;7.391;14.791;
Çardak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;18;133;151;
Okuma yazma bilen fakat bir okul bitirmeyen;;122;474;596;
Ýlkokul;;1.107;1.296;2.403;
Ýlköðretim;;611;398;1.009;
Ortaokul veya dengi okul;;308;229;537;
Lise veya dengi okul;;754;545;1.299;
Yüksekokul veya fakülte;;353;192;545;
Yüksek lisans;;17;9;26;
Doktora;;5;2;7;
Bilinmeyen;;51;40;91;
Toplam;;3.346;3.318;6.664;
Çivril;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;215;1.681;1.896;
Okuma yazma bilen fakat bir okul bitirmeyen;;784;2.066;2.850;
Ýlkokul;;7.342;10.198;17.540;
Ýlköðretim;;3.411;2.347;5.758;
Ortaokul veya dengi okul;;2.653;1.655;4.308;
Lise veya dengi okul;;5.187;3.645;8.832;
Yüksekokul veya fakülte;;2.354;1.772;4.126;
Yüksek lisans;;176;95;271;
Doktora;;20;15;35;
Bilinmeyen;;186;185;371;
Toplam;;22.328;23.659;45.987;
Güney;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;63;379;442;
Okuma yazma bilen fakat bir okul bitirmeyen;;139;548;687;
Ýlkokul;;1.546;1.780;3.326;
Ýlköðretim;;697;458;1.155;
Ortaokul veya dengi okul;;383;234;617;
Lise veya dengi okul;;764;549;1.313;
Yüksekokul veya fakülte;;288;203;491;
Yüksek lisans;;13;10;23;
Doktora;;4;-;4;
Bilinmeyen;;9;4;13;
Toplam;;3.906;4.165;8.071;
Honaz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;67;324;391;
Okuma yazma bilen fakat bir okul bitirmeyen;;288;1.054;1.342;
Ýlkokul;;3.104;4.059;7.163;
Ýlköðretim;;2.491;1.693;4.184;
Ortaokul veya dengi okul;;1.150;725;1.875;
Lise veya dengi okul;;2.663;1.768;4.431;
Yüksekokul veya fakülte;;925;757;1.682;
Yüksek lisans;;53;29;82;
Doktora;;10;4;14;
Bilinmeyen;;48;49;97;
Toplam;;10.799;10.462;21.261;
Kale;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;48;247;295;
Okuma yazma bilen fakat bir okul bitirmeyen;;335;1.111;1.446;
Ýlkokul;;2.887;3.402;6.289;
Ýlköðretim;;1.233;890;2.123;
Ortaokul veya dengi okul;;848;483;1.331;
Lise veya dengi okul;;1.358;1.004;2.362;
Yüksekokul veya fakülte;;662;549;1.211;
Yüksek lisans;;60;31;91;
Doktora;;8;4;12;
Bilinmeyen;;17;13;30;
Toplam;;7.456;7.734;15.190;
Merkezefendi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;325;2.148;2.473;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.164;5.659;6.823;
Ýlkokul;;19.016;26.986;46.002;
Ýlköðretim;;17.236;14.456;31.692;
Ortaokul veya dengi okul;;10.339;8.149;18.488;
Lise veya dengi okul;;30.288;27.971;58.259;
Yüksekokul veya fakülte;;23.671;22.356;46.027;
Yüksek lisans;;2.137;1.738;3.875;
Doktora;;609;368;977;
Bilinmeyen;;543;601;1.144;
Toplam;;105.328;110.432;215.760;
Pamukkale;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;283;2.272;2.555;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.261;5.777;7.038;
Ýlkokul;;22.664;32.740;55.404;
Ýlköðretim;;22.983;19.076;42.059;
Ortaokul veya dengi okul;;11.947;9.443;21.390;
