TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Diyarbakýr;;;;;
Baðlar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;3.075;19.596;22.671;
Okuma yazma bilen fakat bir okul bitirmeyen;;8.085;21.297;29.382;
Ýlkokul;;16.553;18.741;35.294;
Ýlköðretim;;26.972;17.242;44.214;
Ortaokul veya dengi okul;;12.274;7.007;19.281;
Lise veya dengi okul;;29.391;20.626;50.017;
Yüksekokul veya fakülte;;17.142;12.201;29.343;
Yüksek lisans;;1.105;528;1.633;
Doktora;;133;55;188;
Bilinmeyen;;284;392;676;
Toplam;;115.014;117.685;232.699;
Bismil;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.295;5.812;7.107;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.098;8.217;11.315;
Ýlkokul;;6.599;5.864;12.463;
Ýlköðretim;;6.515;5.096;11.611;
Ortaokul veya dengi okul;;3.365;1.814;5.179;
Lise veya dengi okul;;8.138;5.189;13.327;
Yüksekokul veya fakülte;;3.595;2.091;5.686;
Yüksek lisans;;228;58;286;
Doktora;;12;8;20;
Bilinmeyen;;91;110;201;
Toplam;;32.936;34.259;67.195;
Çermik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;637;2.878;3.515;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.460;2.857;4.317;
Ýlkokul;;3.679;3.205;6.884;
Ýlköðretim;;3.613;2.545;6.158;
Ortaokul veya dengi okul;;1.549;878;2.427;
Lise veya dengi okul;;2.691;1.947;4.638;
Yüksekokul veya fakülte;;1.431;1.040;2.471;
Yüksek lisans;;91;27;118;
Doktora;;6;5;11;
Bilinmeyen;;22;33;55;
Toplam;;15.179;15.415;30.594;
Çýnar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;979;4.398;5.377;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.715;6.714;9.429;
Ýlkokul;;4.251;2.752;7.003;
Ýlköðretim;;5.093;3.091;8.184;
Ortaokul veya dengi okul;;1.518;677;2.195;
Lise veya dengi okul;;2.654;1.299;3.953;
Yüksekokul veya fakülte;;1.199;456;1.655;
Yüksek lisans;;61;17;78;
Doktora;;7;2;9;
Bilinmeyen;;27;54;81;
Toplam;;18.504;19.460;37.964;
Çüngüþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;227;1.010;1.237;
Okuma yazma bilen fakat bir okul bitirmeyen;;324;628;952;
Ýlkokul;;932;891;1.823;
Ýlköðretim;;792;606;1.398;
Ortaokul veya dengi okul;;431;263;694;
Lise veya dengi okul;;754;452;1.206;
Yüksekokul veya fakülte;;397;244;641;
Yüksek lisans;;16;8;24;
Doktora;;2;1;3;
Bilinmeyen;;2;6;8;
Toplam;;3.877;4.109;7.986;
Dicle;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;859;3.041;3.900;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.298;2.917;4.215;
Ýlkokul;;2.313;1.584;3.897;
Ýlköðretim;;2.725;1.686;4.411;
Ortaokul veya dengi okul;;998;544;1.542;
Lise veya dengi okul;;1.945;1.017;2.962;
Yüksekokul veya fakülte;;804;345;1.149;
Yüksek lisans;;27;3;30;
Doktora;;7;2;9;
Bilinmeyen;;95;184;279;
Toplam;;11.071;11.323;22.394;
Eðil;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;504;2.413;2.917;
Okuma yazma bilen fakat bir okul bitirmeyen;;759;1.761;2.520;
Ýlkokul;;1.414;846;2.260;
Ýlköðretim;;1.789;1.053;2.842;
Ortaokul veya dengi okul;;672;257;929;
Lise veya dengi okul;;1.102;551;1.653;
Yüksekokul veya fakülte;;599;238;837;
Yüksek lisans;;28;8;36;
Doktora;;3;-;3;
Bilinmeyen;;7;16;23;
Toplam;;6.877;7.143;14.020;
Ergani;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.828;7.814;9.642;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.131;7.456;10.587;
Ýlkokul;;7.108;7.436;14.544;
Ýlköðretim;;7.390;5.157;12.547;
Ortaokul veya dengi okul;;4.379;2.499;6.878;
Lise veya dengi okul;;10.287;6.056;16.343;
Yüksekokul veya fakülte;;5.289;3.199;8.488;
Yüksek lisans;;366;113;479;
Doktora;;18;15;33;
Bilinmeyen;;28;55;83;
Toplam;;39.824;39.800;79.624;
Hani;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;605;2.579;3.184;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.120;2.542;3.662;
Ýlkokul;;1.834;1.227;3.061;
Ýlköðretim;;2.323;1.348;3.671;
Ortaokul veya dengi okul;;1.016;346;1.362;
Lise veya dengi okul;;1.853;789;2.642;
Yüksekokul veya fakülte;;776;278;1.054;
Yüksek lisans;;41;13;54;
Doktora;;3;3;6;
Bilinmeyen;;8;19;27;
Toplam;;9.579;9.144;18.723;
Hazro;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;341;1.446;1.787;
Okuma yazma bilen fakat bir okul bitirmeyen;;618;1.253;1.871;
Ýlkokul;;1.156;692;1.848;
Ýlköðretim;;1.103;783;1.886;
Ortaokul veya dengi okul;;420;199;619;
Lise veya dengi okul;;796;327;1.123;
Yüksekokul veya fakülte;;313;131;444;
Yüksek lisans;;14;2;16;
Doktora;;2;-;2;
Bilinmeyen;;14;16;30;
Toplam;;4.777;4.849;9.626;
Kayapýnar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.739;12.009;13.748;
Okuma yazma bilen fakat bir okul bitirmeyen;;4.571;15.354;19.925;
Ýlkokul;;12.664;17.279;29.943;
Ýlköðretim;;17.985;13.400;31.385;
Ortaokul veya dengi okul;;10.136;6.731;16.867;
Lise veya dengi okul;;29.294;22.772;52.066;
Yüksekokul veya fakülte;;25.066;20.330;45.396;
Yüksek lisans;;3.118;1.485;4.603;
Doktora;;461;156;617;
Bilinmeyen;;148;261;409;
Toplam;;105.182;109.777;214.959;
Kocaköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;274;1.217;1.491;
Okuma yazma bilen fakat bir okul bitirmeyen;;534;1.136;1.670;
Ýlkokul;;1.086;661;1.747;
Ýlköðretim;;1.161;780;1.941;
Ortaokul veya dengi okul;;415;262;677;
Lise veya dengi okul;;907;559;1.466;
Yüksekokul veya fakülte;;457;238;695;
Yüksek lisans;;19;6;25;
Doktora;;0;0;0;
Bilinmeyen;;6;8;14;
Toplam;;4.859;4.867;9.726;
Kulp;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;784;2.621;3.405;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.557;3.059;4.616;
Ýlkokul;;2.344;1.673;4.017;
Ýlköðretim;;1.698;1.295;2.993;
Ortaokul veya dengi okul;;916;543;1.459;
Lise veya dengi okul;;2.155;1.289;3.444;
Yüksekokul veya fakülte;;926;519;1.445;
Yüksek lisans;;59;15;74;
Doktora;;3;2;5;
Bilinmeyen;;7;14;21;
Toplam;;10.449;11.030;21.479;
Lice;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;561;1.654;2.215;
Okuma yazma bilen fakat bir okul bitirmeyen;;982;2.224;3.206;
Ýlkokul;;1.712;1.127;2.839;
Ýlköðretim;;1.767;1.128;2.895;
Ortaokul veya dengi okul;;694;332;1.026;
Lise veya dengi okul;;1.590;905;2.495;
Yüksekokul veya fakülte;;724;381;1.105;
Yüksek lisans;;46;9;55;
Doktora;;1;1;2;
Bilinmeyen;;9;15;24;
Toplam;;8.086;7.776;15.862;
Silvan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;843;2.720;3.563;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.937;9.094;12.031;
Ýlkokul;;4.927;3.588;8.515;
Ýlköðretim;;4.968;3.408;8.376;
Ortaokul veya dengi okul;;2.684;1.413;4.097;
