TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Düzce;;;;;
Akçakoca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;101;843;944;
Okuma yazma bilen fakat bir okul bitirmeyen;;208;895;1.103;
Ýlkokul;;3.575;5.363;8.938;
Ýlköðretim;;1.859;1.340;3.199;
Ortaokul veya dengi okul;;1.452;1.142;2.594;
Lise veya dengi okul;;4.450;3.314;7.764;
Yüksekokul veya fakülte;;2.405;1.991;4.396;
Yüksek lisans;;162;109;271;
Doktora;;47;17;64;
Bilinmeyen;;121;108;229;
Toplam;;14.380;15.122;29.502;
Cumayeri;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;34;249;283;
Okuma yazma bilen fakat bir okul bitirmeyen;;177;485;662;
Ýlkokul;;1.372;1.896;3.268;
Ýlköðretim;;1.027;807;1.834;
Ortaokul veya dengi okul;;536;391;927;
Lise veya dengi okul;;1.457;882;2.339;
Yüksekokul veya fakülte;;579;425;1.004;
Yüksek lisans;;47;17;64;
Doktora;;6;4;10;
Bilinmeyen;;20;24;44;
Toplam;;5.255;5.180;10.435;
Çilimli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;53;380;433;
Okuma yazma bilen fakat bir okul bitirmeyen;;196;878;1.074;
Ýlkokul;;1.806;2.214;4.020;
Ýlköðretim;;1.448;1.103;2.551;
Ortaokul veya dengi okul;;644;427;1.071;
Lise veya dengi okul;;1.693;1.022;2.715;
Yüksekokul veya fakülte;;666;427;1.093;
Yüksek lisans;;44;14;58;
Doktora;;10;5;15;
Bilinmeyen;;35;25;60;
Toplam;;6.595;6.495;13.090;
Düzce Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;560;4.146;4.706;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.387;5.289;6.676;
Ýlkokul;;14.783;22.776;37.559;
Ýlköðretim;;15.878;12.713;28.591;
Ortaokul veya dengi okul;;7.558;6.093;13.651;
Lise veya dengi okul;;23.748;17.759;41.507;
Yüksekokul veya fakülte;;13.245;11.341;24.586;
Yüksek lisans;;1.187;909;2.096;
Doktora;;484;256;740;
Bilinmeyen;;381;431;812;
Toplam;;79.211;81.713;160.924;
Gölyaka;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;115;824;939;
Okuma yazma bilen fakat bir okul bitirmeyen;;307;936;1.243;
Ýlkokul;;2.068;2.364;4.432;
Ýlköðretim;;1.600;1.380;2.980;
Ortaokul veya dengi okul;;924;528;1.452;
Lise veya dengi okul;;1.971;1.163;3.134;
Yüksekokul veya fakülte;;694;536;1.230;
Yüksek lisans;;34;24;58;
Doktora;;-;4;4;
Bilinmeyen;;46;33;79;
Toplam;;7.759;7.792;15.551;
Gümüþova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;53;375;428;
Okuma yazma bilen fakat bir okul bitirmeyen;;179;549;728;
Ýlkokul;;1.508;2.082;3.590;
Ýlköðretim;;1.194;869;2.063;
Ortaokul veya dengi okul;;619;427;1.046;
Lise veya dengi okul;;1.592;979;2.571;
Yüksekokul veya fakülte;;555;467;1.022;
Yüksek lisans;;24;14;38;
Doktora;;5;3;8;
Bilinmeyen;;33;38;71;
Toplam;;5.762;5.803;11.565;
Kaynaþlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;63;641;704;
Okuma yazma bilen fakat bir okul bitirmeyen;;180;560;740;
Ýlkokul;;1.668;2.498;4.166;
Ýlköðretim;;1.716;1.329;3.045;
Ortaokul veya dengi okul;;827;576;1.403;
Lise veya dengi okul;;2.284;1.371;3.655;
Yüksekokul veya fakülte;;789;603;1.392;
Yüksek lisans;;36;13;49;
Doktora;;10;5;15;
Bilinmeyen;;52;53;105;
Toplam;;7.625;7.649;15.274;
Yýðýlca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;252;1.136;1.388;
Okuma yazma bilen fakat bir okul bitirmeyen;;249;483;732;
Ýlkokul;;1.755;2.113;3.868;
Ýlköðretim;;1.430;827;2.257;
Ortaokul veya dengi okul;;511;248;759;
Lise veya dengi okul;;1.060;545;1.605;
Yüksekokul veya fakülte;;364;188;552;
Yüksek lisans;;14;5;19;
Doktora;;3;5;8;
Bilinmeyen;;40;41;81;
Toplam;;5.678;5.591;11.269;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
