TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Edirne;;;;;
Edirne Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;408;1.943;2.351;
Okuma yazma bilen fakat bir okul bitirmeyen;;835;2.199;3.034;
Ýlkokul;;11.626;17.281;28.907;
Ýlköðretim;;7.850;6.755;14.605;
Ortaokul veya dengi okul;;6.101;5.027;11.128;
Lise veya dengi okul;;20.682;17.198;37.880;
Yüksekokul veya fakülte;;13.847;13.024;26.871;
Yüksek lisans;;1.517;1.456;2.973;
Doktora;;724;599;1.323;
Bilinmeyen;;278;315;593;
Toplam;;63.868;65.797;129.665;
Enez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;71;335;406;
Okuma yazma bilen fakat bir okul bitirmeyen;;218;439;657;
Ýlkokul;;1.904;2.106;4.010;
Ýlköðretim;;562;446;1.008;
Ortaokul veya dengi okul;;473;290;763;
Lise veya dengi okul;;918;609;1.527;
Yüksekokul veya fakülte;;481;357;838;
Yüksek lisans;;32;23;55;
Doktora;;2;1;3;
Bilinmeyen;;25;17;42;
Toplam;;4.686;4.623;9.309;
Havsa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;75;330;405;
Okuma yazma bilen fakat bir okul bitirmeyen;;272;671;943;
Ýlkokul;;3.027;3.763;6.790;
Ýlköðretim;;887;745;1.632;
Ortaokul veya dengi okul;;902;576;1.478;
Lise veya dengi okul;;1.881;1.256;3.137;
Yüksekokul veya fakülte;;699;587;1.286;
Yüksek lisans;;48;33;81;
Doktora;;5;3;8;
Bilinmeyen;;21;34;55;
Toplam;;7.817;7.998;15.815;
Ýpsala;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;151;589;740;
Okuma yazma bilen fakat bir okul bitirmeyen;;421;1.029;1.450;
Ýlkokul;;4.592;5.196;9.788;
Ýlköðretim;;1.468;1.216;2.684;
Ortaokul veya dengi okul;;1.304;784;2.088;
Lise veya dengi okul;;2.383;1.415;3.798;
Yüksekokul veya fakülte;;742;580;1.322;
Yüksek lisans;;43;20;63;
Doktora;;9;4;13;
Bilinmeyen;;24;14;38;
Toplam;;11.137;10.847;21.984;
Keþan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;476;1.953;2.429;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.253;2.290;3.543;
Ýlkokul;;8.648;11.236;19.884;
Ýlköðretim;;3.424;3.176;6.600;
Ortaokul veya dengi okul;;3.189;2.361;5.550;
Lise veya dengi okul;;8.352;6.268;14.620;
Yüksekokul veya fakülte;;4.851;4.040;8.891;
Yüksek lisans;;380;289;669;
Doktora;;64;39;103;
Bilinmeyen;;115;132;247;
Toplam;;30.752;31.784;62.536;
Lalapaþa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;26;111;137;
Okuma yazma bilen fakat bir okul bitirmeyen;;76;169;245;
Ýlkokul;;1.234;1.449;2.683;
Ýlköðretim;;397;314;711;
Ortaokul veya dengi okul;;332;140;472;
Lise veya dengi okul;;524;299;823;
Yüksekokul veya fakülte;;154;115;269;
Yüksek lisans;;9;5;14;
Doktora;;-;1;1;
Bilinmeyen;;8;10;18;
Toplam;;2.760;2.613;5.373;
Meriç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;202;651;853;
Okuma yazma bilen fakat bir okul bitirmeyen;;387;895;1.282;
Ýlkokul;;2.881;2.910;5.791;
Ýlköðretim;;506;360;866;
Ortaokul veya dengi okul;;616;281;897;
Lise veya dengi okul;;939;515;1.454;
Yüksekokul veya fakülte;;337;252;589;
Yüksek lisans;;16;12;28;
Doktora;;2;-;2;
Bilinmeyen;;13;13;26;
Toplam;;5.899;5.889;11.788;
Süloðlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;38;115;153;
Okuma yazma bilen fakat bir okul bitirmeyen;;74;191;265;
Ýlkokul;;1.033;1.222;2.255;
Ýlköðretim;;257;255;512;
Ortaokul veya dengi okul;;246;138;384;
Lise veya dengi okul;;640;315;955;
Yüksekokul veya fakülte;;212;157;369;
Yüksek lisans;;13;3;16;
Doktora;;2;2;4;
Bilinmeyen;;9;10;19;
Toplam;;2.524;2.408;4.932;
Uzunköprü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;493;1.553;2.046;
Okuma yazma bilen fakat bir okul bitirmeyen;;983;1.648;2.631;
Ýlkokul;;9.388;12.109;21.497;
Ýlköðretim;;3.283;2.005;5.288;
Ortaokul veya dengi okul;;2.339;1.611;3.950;
Lise veya dengi okul;;4.827;3.816;8.643;
Yüksekokul veya fakülte;;2.503;2.133;4.636;
Yüksek lisans;;167;134;301;
Doktora;;22;12;34;
Bilinmeyen;;102;84;186;
Toplam;;24.107;25.105;49.212;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
