TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Elazýð;;;;;
Aðýn;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;18;101;119;
Okuma yazma bilen fakat bir okul bitirmeyen;;32;188;220;
Ýlkokul;;252;514;766;
Ýlköðretim;;75;66;141;
Ortaokul veya dengi okul;;163;86;249;
Lise veya dengi okul;;310;151;461;
Yüksekokul veya fakülte;;207;95;302;
Yüksek lisans;;13;7;20;
Doktora;;1;1;2;
Bilinmeyen;;1;4;5;
Toplam;;1.072;1.213;2.285;
Alacakaya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;55;201;256;
Okuma yazma bilen fakat bir okul bitirmeyen;;96;320;416;
Ýlkokul;;447;973;1.420;
Ýlköðretim;;501;310;811;
Ortaokul veya dengi okul;;402;75;477;
Lise veya dengi okul;;678;266;944;
Yüksekokul veya fakülte;;227;121;348;
Yüksek lisans;;14;8;22;
Doktora;;-;1;1;
Bilinmeyen;;3;4;7;
Toplam;;2.423;2.279;4.702;
Arýcak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;128;556;684;
Okuma yazma bilen fakat bir okul bitirmeyen;;357;1.598;1.955;
Ýlkokul;;1.107;997;2.104;
Ýlköðretim;;1.163;664;1.827;
Ortaokul veya dengi okul;;537;198;735;
Lise veya dengi okul;;1.043;410;1.453;
Yüksekokul veya fakülte;;557;251;808;
Yüksek lisans;;28;8;36;
Doktora;;3;1;4;
Bilinmeyen;;10;6;16;
Toplam;;4.933;4.689;9.622;
Baskil;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;219;745;964;
Okuma yazma bilen fakat bir okul bitirmeyen;;230;997;1.227;
Ýlkokul;;1.219;1.428;2.647;
Ýlköðretim;;650;568;1.218;
Ortaokul veya dengi okul;;598;278;876;
Lise veya dengi okul;;1.304;744;2.048;
Yüksekokul veya fakülte;;607;376;983;
Yüksek lisans;;30;13;43;
Doktora;;9;3;12;
Bilinmeyen;;16;16;32;
Toplam;;4.882;5.168;10.050;
Elazýð Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2.245;11.403;13.648;
