TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Erzincan;;;;;
Çayýrlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;81;416;497;
Okuma yazma bilen fakat bir okul bitirmeyen;;126;417;543;
Ýlkokul;;1.116;1.256;2.372;
Ýlköðretim;;534;415;949;
Ortaokul veya dengi okul;;480;214;694;
Lise veya dengi okul;;792;417;1.209;
Yüksekokul veya fakülte;;297;205;502;
Yüksek lisans;;20;13;33;
Doktora;;4;1;5;
Bilinmeyen;;40;46;86;
Toplam;;3.490;3.400;6.890;
Erzincan Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;767;4.672;5.439;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.043;3.260;4.303;
Ýlkokul;;7.988;13.480;21.468;
Ýlköðretim;;7.022;6.701;13.723;
Ortaokul veya dengi okul;;5.625;4.620;10.245;
Lise veya dengi okul;;16.465;12.741;29.206;
Yüksekokul veya fakülte;;11.027;8.192;19.219;
Yüksek lisans;;1.147;649;1.796;
Doktora;;434;199;633;
Bilinmeyen;;400;458;858;
Toplam;;51.918;54.972;106.890;
Ýliç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;71;488;559;
Okuma yazma bilen fakat bir okul bitirmeyen;;145;394;539;
Ýlkokul;;1.056;1.105;2.161;
Ýlköðretim;;461;358;819;
Ortaokul veya dengi okul;;361;162;523;
Lise veya dengi okul;;668;321;989;
Yüksekokul veya fakülte;;419;245;664;
Yüksek lisans;;37;10;47;
Doktora;;7;1;8;
Bilinmeyen;;14;9;23;
Toplam;;3.239;3.093;6.332;
Kemah;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;82;474;556;
Okuma yazma bilen fakat bir okul bitirmeyen;;132;401;533;
Ýlkokul;;1.274;1.265;2.539;
Ýlköðretim;;312;295;607;
Ortaokul veya dengi okul;;282;110;392;
Lise veya dengi okul;;598;217;815;
Yüksekokul veya fakülte;;259;135;394;
Yüksek lisans;;20;8;28;
Doktora;;3;1;4;
Bilinmeyen;;29;37;66;
Toplam;;2.991;2.943;5.934;
Kemaliye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;29;240;269;
Okuma yazma bilen fakat bir okul bitirmeyen;;88;186;274;
Ýlkokul;;754;817;1.571;
Ýlköðretim;;151;142;293;
Ortaokul veya dengi okul;;239;116;355;
Lise veya dengi okul;;435;261;696;
Yüksekokul veya fakülte;;263;188;451;
Yüksek lisans;;24;13;37;
Doktora;;9;5;14;
Bilinmeyen;;23;27;50;
Toplam;;2.015;1.995;4.010;
Otlukbeli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;22;97;119;
Okuma yazma bilen fakat bir okul bitirmeyen;;51;156;207;
Ýlkokul;;276;329;605;
Ýlköðretim;;125;146;271;
Ortaokul veya dengi okul;;148;48;196;
Lise veya dengi okul;;243;79;322;
Yüksekokul veya fakülte;;91;53;144;
Yüksek lisans;;9;2;11;
Doktora;;0;0;0;
Bilinmeyen;;6;10;16;
Toplam;;971;920;1.891;
Refahiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;190;1.027;1.217;
Okuma yazma bilen fakat bir okul bitirmeyen;;267;569;836;
Ýlkokul;;1.676;1.479;3.155;
Ýlköðretim;;417;350;767;
Ortaokul veya dengi okul;;404;192;596;
Lise veya dengi okul;;981;416;1.397;
Yüksekokul veya fakülte;;464;258;722;
Yüksek lisans;;37;18;55;
Doktora;;7;3;10;
Bilinmeyen;;37;58;95;
Toplam;;4.480;4.370;8.850;
Tercan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;157;842;999;
Okuma yazma bilen fakat bir okul bitirmeyen;;219;626;845;
Ýlkokul;;1.538;1.896;3.434;
Ýlköðretim;;907;746;1.653;
Ortaokul veya dengi okul;;795;392;1.187;
Lise veya dengi okul;;1.700;843;2.543;
Yüksekokul veya fakülte;;712;402;1.114;
Yüksek lisans;;62;28;90;
Doktora;;10;2;12;
Bilinmeyen;;55;79;134;
Toplam;;6.155;5.856;12.011;
Üzümlü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;79;699;778;
Okuma yazma bilen fakat bir okul bitirmeyen;;110;379;489;
Ýlkokul;;950;1.323;2.273;
Ýlköðretim;;595;520;1.115;
Ortaokul veya dengi okul;;562;276;838;
Lise veya dengi okul;;1.291;681;1.972;
Yüksekokul veya fakülte;;529;290;819;
Yüksek lisans;;36;16;52;
Doktora;;7;-;7;
Bilinmeyen;;572;445;1.017;
Toplam;;4.731;4.629;9.360;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
