TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Erzurum;;;;;
Aþkale;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;118;971;1.089;
Okuma yazma bilen fakat bir okul bitirmeyen;;253;736;989;
Ýlkokul;;1.902;3.059;4.961;
Ýlköðretim;;1.372;1.315;2.687;
Ortaokul veya dengi okul;;1.078;471;1.549;
Lise veya dengi okul;;2.296;947;3.243;
Yüksekokul veya fakülte;;862;505;1.367;
Yüksek lisans;;48;34;82;
Doktora;;3;1;4;
Bilinmeyen;;31;50;81;
Toplam;;7.963;8.089;16.052;
Aziziye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;152;1.562;1.714;
Okuma yazma bilen fakat bir okul bitirmeyen;;325;1.332;1.657;
Ýlkokul;;3.000;6.202;9.202;
Ýlköðretim;;2.831;2.874;5.705;
Ortaokul veya dengi okul;;2.341;1.388;3.729;
Lise veya dengi okul;;5.971;3.650;9.621;
Yüksekokul veya fakülte;;3.449;2.260;5.709;
Yüksek lisans;;394;230;624;
Doktora;;114;58;172;
Bilinmeyen;;52;84;136;
Toplam;;18.629;19.640;38.269;
Çat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;297;1.160;1.457;
Okuma yazma bilen fakat bir okul bitirmeyen;;392;955;1.347;
Ýlkokul;;1.613;1.652;3.265;
Ýlköðretim;;1.352;817;2.169;
Ortaokul veya dengi okul;;705;174;879;
Lise veya dengi okul;;961;430;1.391;
Yüksekokul veya fakülte;;324;181;505;
Yüksek lisans;;20;6;26;
Doktora;;1;2;3;
Bilinmeyen;;38;40;78;
Toplam;;5.703;5.417;11.120;
Hýnýs;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;457;1.887;2.344;
Okuma yazma bilen fakat bir okul bitirmeyen;;692;1.475;2.167;
Ýlkokul;;2.154;2.005;4.159;
Ýlköðretim;;1.603;1.057;2.660;
Ortaokul veya dengi okul;;859;324;1.183;
Lise veya dengi okul;;1.583;706;2.289;
Yüksekokul veya fakülte;;702;486;1.188;
Yüksek lisans;;60;23;83;
Doktora;;4;1;5;
Bilinmeyen;;171;264;435;
Toplam;;8.285;8.228;16.513;
Horasan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;326;2.153;2.479;
Okuma yazma bilen fakat bir okul bitirmeyen;;818;2.066;2.884;
Ýlkokul;;3.251;3.441;6.692;
Ýlköðretim;;2.622;1.756;4.378;
Ortaokul veya dengi okul;;1.415;579;1.994;
Lise veya dengi okul;;2.404;1.156;3.560;
Yüksekokul veya fakülte;;902;593;1.495;
Yüksek lisans;;70;37;107;
Doktora;;12;4;16;
Bilinmeyen;;70;128;198;
Toplam;;11.890;11.913;23.803;
Ýspir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;253;1.552;1.805;
Okuma yazma bilen fakat bir okul bitirmeyen;;486;763;1.249;
Ýlkokul;;2.150;2.399;4.549;
Ýlköðretim;;582;537;1.119;
Ortaokul veya dengi okul;;551;308;859;
Lise veya dengi okul;;1.307;687;1.994;
Yüksekokul veya fakülte;;722;362;1.084;
Yüksek lisans;;51;21;72;
Doktora;;4;6;10;
Bilinmeyen;;52;125;177;
Toplam;;6.158;6.760;12.918;
Karaçoban;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;241;1.576;1.817;
Okuma yazma bilen fakat bir okul bitirmeyen;;765;1.847;2.612;
Ýlkokul;;1.708;1.156;2.864;
Ýlköðretim;;1.649;850;2.499;
Ortaokul veya dengi okul;;702;247;949;
Lise veya dengi okul;;781;375;1.156;
Yüksekokul veya fakülte;;388;248;636;
Yüksek lisans;;31;12;43;
Doktora;;1;1;2;
Bilinmeyen;;93;174;267;
Toplam;;6.359;6.486;12.845;
Karayazý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;473;2.422;2.895;
Okuma yazma bilen fakat bir okul bitirmeyen;;932;1.718;2.650;
Ýlkokul;;2.490;1.584;4.074;
Ýlköðretim;;1.818;970;2.788;
Ortaokul veya dengi okul;;783;327;1.110;
Lise veya dengi okul;;998;402;1.400;
Yüksekokul veya fakülte;;439;261;700;
Yüksek lisans;;31;20;51;
Doktora;;4;1;5;
Bilinmeyen;;251;326;577;
Toplam;;8.219;8.031;16.250;
Köprüköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;139;932;1.071;
Okuma yazma bilen fakat bir okul bitirmeyen;;335;914;1.249;
Ýlkokul;;1.433;1.440;2.873;
Ýlköðretim;;1.171;801;1.972;
Ortaokul veya dengi okul;;508;149;657;
Lise veya dengi okul;;880;299;1.179;
Yüksekokul veya fakülte;;253;102;355;
Yüksek lisans;;16;4;20;
Doktora;;5;3;8;
Bilinmeyen;;18;61;79;
Toplam;;4.758;4.705;9.463;
Narman;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;176;856;1.032;
Okuma yazma bilen fakat bir okul bitirmeyen;;233;398;631;
Ýlkokul;;1.191;1.679;2.870;
Ýlköðretim;;641;591;1.232;
Ortaokul veya dengi okul;;638;240;878;
Lise veya dengi okul;;1.243;673;1.916;
Yüksekokul veya fakülte;;496;313;809;
Yüksek lisans;;43;9;52;
Doktora;;4;3;7;
Bilinmeyen;;10;26;36;
Toplam;;4.675;4.788;9.463;
Oltu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;366;1.632;1.998;
Okuma yazma bilen fakat bir okul bitirmeyen;;385;558;943;
Ýlkokul;;2.142;3.533;5.675;
Ýlköðretim;;1.345;1.281;2.626;
Ortaokul veya dengi okul;;1.200;865;2.065;
Lise veya dengi okul;;3.449;2.122;5.571;
Yüksekokul veya fakülte;;1.826;1.174;3.000;
Yüksek lisans;;153;64;217;
Doktora;;19;17;36;
Bilinmeyen;;90;174;264;
Toplam;;10.975;11.420;22.395;
Olur;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;115;492;607;
Okuma yazma bilen fakat bir okul bitirmeyen;;136;264;400;
Ýlkokul;;888;1.335;2.223;
Ýlköðretim;;287;230;517;
Ortaokul veya dengi okul;;346;176;522;
Lise veya dengi okul;;644;242;886;
Yüksekokul veya fakülte;;269;149;418;
Yüksek lisans;;14;10;24;
Doktora;;1;2;3;
Bilinmeyen;;14;12;26;
Toplam;;2.714;2.912;5.626;
Palandöken;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;390;4.071;4.461;
Okuma yazma bilen fakat bir okul bitirmeyen;;735;3.356;4.091;
Ýlkokul;;5.766;15.097;20.863;
Ýlköðretim;;6.874;6.828;13.702;
Ortaokul veya dengi okul;;6.173;4.419;10.592;
Lise veya dengi okul;;19.507;13.085;32.592;
Yüksekokul veya fakülte;;13.558;9.278;22.836;
Yüksek lisans;;1.569;1.121;2.690;
Doktora;;459;281;740;
Bilinmeyen;;181;422;603;
