TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Eskiþehir;;;;;
Alpu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;87;519;606;
Okuma yazma bilen fakat bir okul bitirmeyen;;146;308;454;
Ýlkokul;;1.743;2.194;3.937;
Ýlköðretim;;743;448;1.191;
Ortaokul veya dengi okul;;547;238;785;
Lise veya dengi okul;;869;481;1.350;
Yüksekokul veya fakülte;;279;191;470;
Yüksek lisans;;23;10;33;
Doktora;;6;-;6;
Bilinmeyen;;8;24;32;
Toplam;;4.451;4.413;8.864;
Beylikova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;27;191;218;
Okuma yazma bilen fakat bir okul bitirmeyen;;64;206;270;
Ýlkokul;;895;1.201;2.096;
Ýlköðretim;;377;323;700;
Ortaokul veya dengi okul;;348;156;504;
Lise veya dengi okul;;577;305;882;
Yüksekokul veya fakülte;;232;141;373;
Yüksek lisans;;21;12;33;
Doktora;;0;0;0;
Bilinmeyen;;9;10;19;
Toplam;;2.550;2.545;5.095;
Çifteler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;66;460;526;
Okuma yazma bilen fakat bir okul bitirmeyen;;113;351;464;
Ýlkokul;;1.608;2.351;3.959;
Ýlköðretim;;712;730;1.442;
Ortaokul veya dengi okul;;677;326;1.003;
Lise veya dengi okul;;1.704;957;2.661;
Yüksekokul veya fakülte;;588;439;1.027;
Yüksek lisans;;34;26;60;
Doktora;;5;1;6;
Bilinmeyen;;173;163;336;
Toplam;;5.680;5.804;11.484;
Günyüzü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;27;253;280;
Okuma yazma bilen fakat bir okul bitirmeyen;;28;142;170;
Ýlkokul;;1.041;1.332;2.373;
Ýlköðretim;;277;294;571;
Ortaokul veya dengi okul;;276;121;397;
Lise veya dengi okul;;538;238;776;
Yüksekokul veya fakülte;;198;121;319;
Yüksek lisans;;12;4;16;
Doktora;;1;1;2;
