TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Gaziantep;;;;;
Araban;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;211;1.577;1.788;
Okuma yazma bilen fakat bir okul bitirmeyen;;559;1.105;1.664;
Ýlkokul;;2.770;3.504;6.274;
Ýlköðretim;;2.357;1.642;3.999;
Ortaokul veya dengi okul;;1.128;531;1.659;
Lise veya dengi okul;;1.964;1.238;3.202;
Yüksekokul veya fakülte;;878;629;1.507;
Yüksek lisans;;48;15;63;
Doktora;;9;1;10;
Bilinmeyen;;64;41;105;
Toplam;;9.988;10.283;20.271;
Ýslahiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;414;2.937;3.351;
Okuma yazma bilen fakat bir okul bitirmeyen;;790;1.896;2.686;
Ýlkokul;;4.065;6.052;10.117;
Ýlköðretim;;3.290;3.216;6.506;
Ortaokul veya dengi okul;;3.245;1.761;5.006;
Lise veya dengi okul;;6.595;3.989;10.584;
Yüksekokul veya fakülte;;2.773;1.826;4.599;
Yüksek lisans;;227;102;329;
Doktora;;18;7;25;
Bilinmeyen;;71;74;145;
Toplam;;21.488;21.860;43.348;
Karkamýþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;52;566;618;
Okuma yazma bilen fakat bir okul bitirmeyen;;116;386;502;
Ýlkokul;;716;917;1.633;
Ýlköðretim;;600;633;1.233;
Ortaokul veya dengi okul;;508;189;697;
Lise veya dengi okul;;939;409;1.348;
Yüksekokul veya fakülte;;401;206;607;
Yüksek lisans;;19;3;22;
Doktora;;-;1;1;
Bilinmeyen;;43;28;71;
Toplam;;3.394;3.338;6.732;
Nizip;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;890;6.473;7.363;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.033;5.031;7.064;
Ýlkokul;;10.278;12.229;22.507;
Ýlköðretim;;9.377;7.172;16.549;
Ortaokul veya dengi okul;;5.205;2.734;7.939;
Lise veya dengi okul;;9.246;6.711;15.957;
Yüksekokul veya fakülte;;5.190;3.869;9.059;
Yüksek lisans;;388;161;549;
Doktora;;50;27;77;
Bilinmeyen;;238;319;557;
Toplam;;42.895;44.726;87.621;
Nurdaðý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;264;1.664;1.928;
Okuma yazma bilen fakat bir okul bitirmeyen;;626;1.427;2.053;
Ýlkokul;;2.829;3.709;6.538;
Ýlköðretim;;2.809;2.159;4.968;
Ortaokul veya dengi okul;;1.675;984;2.659;
Lise veya dengi okul;;2.975;1.890;4.865;
Yüksekokul veya fakülte;;1.356;924;2.280;
Yüksek lisans;;116;37;153;
Doktora;;11;9;20;
Bilinmeyen;;89;82;171;
Toplam;;12.750;12.885;25.635;
Oðuzeli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;144;1.442;1.586;
Okuma yazma bilen fakat bir okul bitirmeyen;;265;957;1.222;
Ýlkokul;;2.436;3.167;5.603;
Ýlköðretim;;2.231;1.830;4.061;
Ortaokul veya dengi okul;;1.215;573;1.788;
Lise veya dengi okul;;2.193;1.158;3.351;
Yüksekokul veya fakülte;;1.084;603;1.687;
Yüksek lisans;;68;16;84;
Doktora;;7;5;12;
Bilinmeyen;;27;40;67;
Toplam;;9.670;9.791;19.461;
Þahinbey;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2.313;20.618;22.931;
Okuma yazma bilen fakat bir okul bitirmeyen;;7.816;21.616;29.432;
Ýlkokul;;48.181;77.727;125.908;
Ýlköðretim;;81.109;52.604;133.713;
Ortaokul veya dengi okul;;30.954;19.992;50.946;
Lise veya dengi okul;;61.973;49.994;111.967;
Yüksekokul veya fakülte;;35.564;28.544;64.108;
Yüksek lisans;;3.085;1.735;4.820;
Doktora;;534;343;877;
Bilinmeyen;;2.349;2.808;5.157;
Toplam;;273.878;275.981;549.859;
Þehitkamil;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2.089;16.959;19.048;
Okuma yazma bilen fakat bir okul bitirmeyen;;7.092;19.645;26.737;
Ýlkokul;;39.979;63.333;103.312;
Ýlköðretim;;62.975;40.578;103.553;
Ortaokul veya dengi okul;;23.229;15.015;38.244;
Lise veya dengi okul;;49.930;40.181;90.111;
Yüksekokul veya fakülte;;31.469;25.899;57.368;
Yüksek lisans;;3.599;2.325;5.924;
Doktora;;800;503;1.303;
Bilinmeyen;;1.419;1.717;3.136;
Toplam;;222.581;226.155;448.736;
Yavuzeli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;169;1.249;1.418;
Okuma yazma bilen fakat bir okul bitirmeyen;;533;1.013;1.546;
Ýlkokul;;1.988;1.953;3.941;
Ýlköðretim;;1.812;1.059;2.871;
Ortaokul veya dengi okul;;708;375;1.083;
Lise veya dengi okul;;784;465;1.249;
Yüksekokul veya fakülte;;378;276;654;
Yüksek lisans;;22;6;28;
Doktora;;2;-;2;
Bilinmeyen;;25;23;48;
Toplam;;6.421;6.419;12.840;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
