TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Giresun;;;;;
Alucra;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;144;681;825;
Okuma yazma bilen fakat bir okul bitirmeyen;;294;729;1.023;
Ýlkokul;;1.278;1.067;2.345;
Ýlköðretim;;355;225;580;
Ortaokul veya dengi okul;;363;192;555;
Lise veya dengi okul;;893;474;1.367;
Yüksekokul veya fakülte;;340;266;606;
Yüksek lisans;;28;15;43;
Doktora;;8;2;10;
Bilinmeyen;;17;22;39;
Toplam;;3.720;3.673;7.393;
Bulancak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;260;1.724;1.984;
Okuma yazma bilen fakat bir okul bitirmeyen;;917;3.364;4.281;
Ýlkokul;;6.457;7.228;13.685;
Ýlköðretim;;3.778;2.890;6.668;
Ortaokul veya dengi okul;;2.687;1.873;4.560;
Lise veya dengi okul;;6.358;5.073;11.431;
Yüksekokul veya fakülte;;3.631;3.100;6.731;
Yüksek lisans;;257;172;429;
Doktora;;52;32;84;
Bilinmeyen;;141;142;283;
Toplam;;24.538;25.598;50.136;
Çamoluk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;171;958;1.129;
Okuma yazma bilen fakat bir okul bitirmeyen;;278;539;817;
Ýlkokul;;1.325;793;2.118;
Ýlköðretim;;382;211;593;
Ortaokul veya dengi okul;;241;86;327;
Lise veya dengi okul;;325;183;508;
Yüksekokul veya fakülte;;133;93;226;
Yüksek lisans;;11;3;14;
Doktora;;2;-;2;
Bilinmeyen;;15;11;26;
Toplam;;2.883;2.877;5.760;
Çanakçý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;87;383;470;
Okuma yazma bilen fakat bir okul bitirmeyen;;127;554;681;
Ýlkokul;;673;676;1.349;
Ýlköðretim;;329;281;610;
Ortaokul veya dengi okul;;409;177;586;
Lise veya dengi okul;;555;293;848;
Yüksekokul veya fakülte;;224;114;338;
Yüksek lisans;;6;7;13;
Doktora;;2;2;4;
Bilinmeyen;;21;22;43;
Toplam;;2.433;2.509;4.942;
Dereli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;337;1.756;2.093;
Okuma yazma bilen fakat bir okul bitirmeyen;;580;1.608;2.188;
Ýlkokul;;2.842;2.042;4.884;
Ýlköðretim;;1.530;967;2.497;
Ortaokul veya dengi okul;;723;347;1.070;
Lise veya dengi okul;;1.423;783;2.206;
Yüksekokul veya fakülte;;647;340;987;
Yüksek lisans;;31;16;47;
Doktora;;7;4;11;
Bilinmeyen;;54;54;108;
Toplam;;8.174;7.917;16.091;
Doðankent;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;32;202;234;
Okuma yazma bilen fakat bir okul bitirmeyen;;152;528;680;
Ýlkokul;;421;627;1.048;
Ýlköðretim;;452;277;729;
Ortaokul veya dengi okul;;262;154;416;
Lise veya dengi okul;;808;414;1.222;
Yüksekokul veya fakülte;;313;199;512;
Yüksek lisans;;21;12;33;
Doktora;;2;2;4;
Bilinmeyen;;3;5;8;
Toplam;;2.466;2.420;4.886;
Espiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;200;1.011;1.211;
Okuma yazma bilen fakat bir okul bitirmeyen;;775;2.346;3.121;
Ýlkokul;;3.477;3.434;6.911;
Ýlköðretim;;1.848;1.458;3.306;
Ortaokul veya dengi okul;;1.398;987;2.385;
Lise veya dengi okul;;3.201;2.275;5.476;
Yüksekokul veya fakülte;;1.545;1.209;2.754;
Yüksek lisans;;107;64;171;
Doktora;;16;7;23;
Bilinmeyen;;82;76;158;
Toplam;;12.649;12.867;25.516;
Eynesil;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;95;700;795;
