TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Gümüþhane;;;;;
Gümüþhane Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;107;906;1.013;
Okuma yazma bilen fakat bir okul bitirmeyen;;226;877;1.103;
Ýlkokul;;2.481;4.774;7.255;
Ýlköðretim;;1.572;1.812;3.384;
Ortaokul veya dengi okul;;1.333;1.117;2.450;
Lise veya dengi okul;;7.393;5.034;12.427;
Yüksekokul veya fakülte;;4.337;2.869;7.206;
Yüksek lisans;;344;225;569;
Doktora;;205;79;284;
Bilinmeyen;;67;90;157;
Toplam;;18.065;17.783;35.848;
Kelkit;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;185;1.413;1.598;
Okuma yazma bilen fakat bir okul bitirmeyen;;767;1.550;2.317;
Ýlkokul;;3.310;4.248;7.558;
Ýlköðretim;;2.158;2.016;4.174;
Ortaokul veya dengi okul;;1.467;839;2.306;
Lise veya dengi okul;;3.329;1.963;5.292;
Yüksekokul veya fakülte;;1.618;881;2.499;
Yüksek lisans;;138;57;195;
Doktora;;24;19;43;
Bilinmeyen;;432;429;861;
Toplam;;13.428;13.415;26.843;
Köse;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;21;192;213;
Okuma yazma bilen fakat bir okul bitirmeyen;;115;363;478;
Ýlkokul;;742;880;1.622;
Ýlköðretim;;303;435;738;
Ortaokul veya dengi okul;;247;123;370;
Lise veya dengi okul;;669;364;1.033;
Yüksekokul veya fakülte;;246;143;389;
Yüksek lisans;;14;14;28;
Doktora;;5;-;5;
Bilinmeyen;;37;46;83;
Toplam;;2.399;2.560;4.959;
Kürtün;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;96;820;916;
Okuma yazma bilen fakat bir okul bitirmeyen;;232;638;870;
Ýlkokul;;957;1.143;2.100;
Ýlköðretim;;956;707;1.663;
Ortaokul veya dengi okul;;608;348;956;
Lise veya dengi okul;;1.467;589;2.056;
Yüksekokul veya fakülte;;583;329;912;
Yüksek lisans;;25;14;39;
Doktora;;4;1;5;
Bilinmeyen;;14;20;34;
Toplam;;4.942;4.609;9.551;
Þiran;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;183;1.074;1.257;
Okuma yazma bilen fakat bir okul bitirmeyen;;423;770;1.193;
Ýlkokul;;1.971;2.042;4.013;
Ýlköðretim;;805;784;1.589;
Ortaokul veya dengi okul;;884;514;1.398;
Lise veya dengi okul;;1.688;1.129;2.817;
Yüksekokul veya fakülte;;699;550;1.249;
Yüksek lisans;;50;29;79;
Doktora;;14;6;20;
Bilinmeyen;;590;524;1.114;
Toplam;;7.307;7.422;14.729;
Torul;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;60;378;438;
Okuma yazma bilen fakat bir okul bitirmeyen;;155;588;743;
Ýlkokul;;959;1.372;2.331;
Ýlköðretim;;622;556;1.178;
Ortaokul veya dengi okul;;452;264;716;
Lise veya dengi okul;;1.302;783;2.085;
Yüksekokul veya fakülte;;704;402;1.106;
Yüksek lisans;;43;23;66;
Doktora;;7;5;12;
Bilinmeyen;;34;36;70;
Toplam;;4.338;4.407;8.745;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
