TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Hakkari;;;;;
Çukurca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;98;426;524;
Okuma yazma bilen fakat bir okul bitirmeyen;;110;366;476;
Ýlkokul;;501;498;999;
Ýlköðretim;;2.014;696;2.710;
Ortaokul veya dengi okul;;352;280;632;
Lise veya dengi okul;;2.911;621;3.532;
Yüksekokul veya fakülte;;1.424;252;1.676;
Yüksek lisans;;56;7;63;
Doktora;;2;2;4;
Bilinmeyen;;57;56;113;
Toplam;;7.525;3.204;10.729;
Hakkari Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;478;2.767;3.245;
Okuma yazma bilen fakat bir okul bitirmeyen;;598;2.247;2.845;
Ýlkokul;;2.006;3.910;5.916;
Ýlköðretim;;3.731;3.788;7.519;
Ortaokul veya dengi okul;;2.556;1.934;4.490;
Lise veya dengi okul;;9.361;5.205;14.566;
Yüksekokul veya fakülte;;6.245;3.024;9.269;
Yüksek lisans;;304;84;388;
Doktora;;66;29;95;
Bilinmeyen;;128;222;350;
Toplam;;25.473;23.210;48.683;
Þemdinli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.194;4.142;5.336;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.059;4.238;6.297;
Ýlkokul;;2.817;2.317;5.134;
Ýlköðretim;;4.371;2.362;6.733;
Ortaokul veya dengi okul;;1.062;634;1.696;
Lise veya dengi okul;;5.666;1.669;7.335;
Yüksekokul veya fakülte;;2.286;616;2.902;
Yüksek lisans;;85;29;114;
Doktora;;2;4;6;
Bilinmeyen;;146;226;372;
Toplam;;19.688;16.237;35.925;
Yüksekova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.160;5.212;6.372;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.415;6.676;9.091;
Ýlkokul;;5.679;5.930;11.609;
Ýlköðretim;;7.574;5.908;13.482;
Ortaokul veya dengi okul;;3.428;2.091;5.519;
Lise veya dengi okul;;10.976;6.418;17.394;
Yüksekokul veya fakülte;;5.498;2.442;7.940;
Yüksek lisans;;281;70;351;
Doktora;;18;10;28;
Bilinmeyen;;420;715;1.135;
Toplam;;37.449;35.472;72.921;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
