TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Hatay;;;;;
Altýnözü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;423;1.123;1.546;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.127;4.455;5.582;
Ýlkokul;;6.272;6.220;12.492;
Ýlköðretim;;5.359;3.378;8.737;
Ortaokul veya dengi okul;;1.720;844;2.564;
Lise veya dengi okul;;2.153;1.283;3.436;
Yüksekokul veya fakülte;;756;420;1.176;
Yüksek lisans;;31;9;40;
Doktora;;5;9;14;
Bilinmeyen;;191;164;355;
Toplam;;18.037;17.905;35.942;
Antakya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.111;4.840;5.951;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.166;11.674;14.840;
Ýlkokul;;28.659;34.014;62.673;
Ýlköðretim;;24.147;19.953;44.100;
Ortaokul veya dengi okul;;11.422;8.187;19.609;
Lise veya dengi okul;;24.581;22.687;47.268;
Yüksekokul veya fakülte;;18.943;16.016;34.959;
Yüksek lisans;;1.613;1.060;2.673;
Doktora;;510;280;790;
Bilinmeyen;;1.847;1.664;3.511;
Toplam;;115.999;120.375;236.374;
Arsuz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;348;1.367;1.715;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.077;3.996;5.073;
Ýlkokul;;10.029;10.718;20.747;
Ýlköðretim;;5.580;4.353;9.933;
Ortaokul veya dengi okul;;2.979;1.956;4.935;
Lise veya dengi okul;;5.342;5.188;10.530;
Yüksekokul veya fakülte;;3.293;3.044;6.337;
Yüksek lisans;;291;195;486;
Doktora;;62;44;106;
Bilinmeyen;;622;343;965;
Toplam;;29.623;31.204;60.827;
Belen;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;69;258;327;
Okuma yazma bilen fakat bir okul bitirmeyen;;190;1.082;1.272;
Ýlkokul;;2.096;3.331;5.427;
Ýlköðretim;;1.635;1.476;3.111;
Ortaokul veya dengi okul;;1.307;1.043;2.350;
Lise veya dengi okul;;3.434;2.662;6.096;
Yüksekokul veya fakülte;;2.282;1.657;3.939;
Yüksek lisans;;161;109;270;
Doktora;;47;18;65;
Bilinmeyen;;85;76;161;
Toplam;;11.306;11.712;23.018;
Defne;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;544;2.359;2.903;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.592;5.139;6.731;
Ýlkokul;;17.074;16.374;33.448;
Ýlköðretim;;8.194;7.142;15.336;
Ortaokul veya dengi okul;;4.409;3.588;7.997;
Lise veya dengi okul;;9.069;10.211;19.280;
Yüksekokul veya fakülte;;7.628;8.084;15.712;
Yüksek lisans;;803;526;1.329;
Doktora;;153;83;236;
Bilinmeyen;;795;370;1.165;
Toplam;;50.261;53.876;104.137;
Dörtyol;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;290;1.822;2.112;
Okuma yazma bilen fakat bir okul bitirmeyen;;982;4.103;5.085;
Ýlkokul;;6.503;10.875;17.378;
Ýlköðretim;;6.228;5.055;11.283;
Ortaokul veya dengi okul;;5.182;3.639;8.821;
Lise veya dengi okul;;13.372;10.090;23.462;
Yüksekokul veya fakülte;;7.591;5.826;13.417;
Yüksek lisans;;466;277;743;
Doktora;;45;29;74;
Bilinmeyen;;133;181;314;
Toplam;;40.792;41.897;82.689;
Erzin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;127;600;727;
Okuma yazma bilen fakat bir okul bitirmeyen;;647;2.125;2.772;
Ýlkokul;;2.485;3.683;6.168;
Ýlköðretim;;2.167;1.594;3.761;
Ortaokul veya dengi okul;;1.790;1.278;3.068;
Lise veya dengi okul;;4.451;3.487;7.938;
Yüksekokul veya fakülte;;2.206;1.682;3.888;
Yüksek lisans;;102;72;174;
Doktora;;10;6;16;
Bilinmeyen;;38;55;93;
Toplam;;14.023;14.582;28.605;
Hassa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;277;980;1.257;
Okuma yazma bilen fakat bir okul bitirmeyen;;785;3.326;4.111;
Ýlkokul;;3.813;6.074;9.887;
Ýlköðretim;;3.308;2.774;6.082;
Ortaokul veya dengi okul;;2.645;1.239;3.884;
Lise veya dengi okul;;5.164;2.410;7.574;
Yüksekokul veya fakülte;;2.120;1.034;3.154;
Yüksek lisans;;108;29;137;
Doktora;;14;12;26;
Bilinmeyen;;55;64;119;
Toplam;;18.289;17.942;36.231;
Ýskenderun;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;642;3.005;3.647;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.860;7.461;9.321;
Ýlkokul;;14.177;21.568;35.745;
Ýlköðretim;;11.791;10.036;21.827;
Ortaokul veya dengi okul;;8.746;7.322;16.068;
Lise veya dengi okul;;26.277;22.553;48.830;
Yüksekokul veya fakülte;;17.603;13.816;31.419;
Yüksek lisans;;1.162;808;1.970;
Doktora;;174;97;271;
Bilinmeyen;;1.097;1.106;2.203;
Toplam;;83.529;87.772;171.301;
Kýrýkhan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;562;1.827;2.389;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.934;6.676;8.610;
Ýlkokul;;8.052;10.509;18.561;
Ýlköðretim;;6.801;5.229;12.030;
Ortaokul veya dengi okul;;4.555;2.966;7.521;
Lise veya dengi okul;;8.759;6.427;15.186;
Yüksekokul veya fakülte;;4.755;3.265;8.020;
Yüksek lisans;;293;149;442;
Doktora;;53;32;85;
Bilinmeyen;;357;374;731;
Toplam;;36.121;37.454;73.575;
Kumlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;73;220;293;
Okuma yazma bilen fakat bir okul bitirmeyen;;283;1.050;1.333;
Ýlkokul;;1.212;1.253;2.465;
Ýlköðretim;;853;704;1.557;
Ortaokul veya dengi okul;;428;232;660;
Lise veya dengi okul;;762;473;1.235;
Yüksekokul veya fakülte;;278;166;444;
Yüksek lisans;;13;2;15;
Doktora;;2;4;6;
Bilinmeyen;;40;42;82;
Toplam;;3.944;4.146;8.090;
Payas;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;66;417;483;
Okuma yazma bilen fakat bir okul bitirmeyen;;242;1.232;1.474;
Ýlkokul;;2.412;4.198;6.610;
Ýlköðretim;;2.318;1.916;4.234;
Ortaokul veya dengi okul;;1.885;1.282;3.167;
Lise veya dengi okul;;4.700;3.266;7.966;
Yüksekokul veya fakülte;;1.800;1.378;3.178;
Yüksek lisans;;73;55;128;
Doktora;;3;6;9;
Bilinmeyen;;44;62;106;
Toplam;;13.543;13.812;27.355;
Reyhanlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;422;1.658;2.080;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.685;6.429;8.114;
Ýlkokul;;6.585;7.413;13.998;
Ýlköðretim;;5.919;4.277;10.196;
Ortaokul veya dengi okul;;3.108;1.822;4.930;
Lise veya dengi okul;;5.527;3.726;9.253;
Yüksekokul veya fakülte;;2.456;1.757;4.213;
Yüksek lisans;;112;49;161;
Doktora;;13;13;26;
Bilinmeyen;;786;884;1.670;
Toplam;;26.613;28.028;54.641;
Samandað;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;636;2.331;2.967;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.357;4.978;6.335;
Ýlkokul;;15.355;13.363;28.718;
Ýlköðretim;;6.044;6.602;12.646;
