TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Ýstanbul;;;;;
Adalar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;43;186;229;
Okuma yazma bilen fakat bir okul bitirmeyen;;109;241;350;
Ýlkokul;;1.114;1.134;2.248;
Ýlköðretim;;423;280;703;
Ortaokul veya dengi okul;;664;529;1.193;
Lise veya dengi okul;;1.769;1.653;3.422;
Yüksekokul veya fakülte;;1.470;1.402;2.872;
Yüksek lisans;;224;241;465;
Doktora;;83;66;149;
Bilinmeyen;;165;171;336;
Toplam;;6.064;5.903;11.967;
Arnavutköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.067;5.704;6.771;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.230;7.116;10.346;
Ýlkokul;;20.863;27.357;48.220;
Ýlköðretim;;24.802;16.749;41.551;
Ortaokul veya dengi okul;;9.647;5.437;15.084;
Lise veya dengi okul;;17.911;12.308;30.219;
Yüksekokul veya fakülte;;8.285;6.274;14.559;
Yüksek lisans;;611;322;933;
Doktora;;82;42;124;
Bilinmeyen;;595;584;1.179;
Toplam;;87.093;81.893;168.986;
Ataþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.009;6.462;7.471;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.169;5.741;7.910;
Ýlkokul;;23.080;31.872;54.952;
Ýlköðretim;;19.935;14.453;34.388;
Ortaokul veya dengi okul;;14.732;11.453;26.185;
Lise veya dengi okul;;41.567;38.497;80.064;
Yüksekokul veya fakülte;;37.970;39.673;77.643;
Yüksek lisans;;6.745;6.133;12.878;
Doktora;;1.370;1.098;2.468;
Bilinmeyen;;1.248;1.239;2.487;
Toplam;;149.825;156.621;306.446;
Avcýlar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;787;5.754;6.541;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.478;7.524;10.002;
Ýlkokul;;24.491;36.351;60.842;
Ýlköðretim;;26.472;19.612;46.084;
Ortaokul veya dengi okul;;16.597;12.998;29.595;
Lise veya dengi okul;;46.623;38.920;85.543;
Yüksekokul veya fakülte;;27.715;27.327;55.042;
Yüksek lisans;;2.543;2.211;4.754;
Doktora;;392;274;666;
Bilinmeyen;;1.635;1.582;3.217;
Toplam;;149.733;152.553;302.286;
Baðcýlar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2.051;13.676;15.727;
Okuma yazma bilen fakat bir okul bitirmeyen;;7.105;16.976;24.081;
Ýlkokul;;52.320;73.067;125.387;
Ýlköðretim;;64.040;45.351;109.391;
Ortaokul veya dengi okul;;31.217;20.850;52.067;
Lise veya dengi okul;;65.067;48.959;114.026;
Yüksekokul veya fakülte;;29.945;27.588;57.533;
Yüksek lisans;;2.358;1.586;3.944;
Doktora;;304;249;553;
Bilinmeyen;;1.709;1.673;3.382;
Toplam;;256.116;249.975;506.091;
Bahçelievler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.347;9.267;10.614;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.712;10.223;13.935;
Ýlkokul;;36.191;52.222;88.413;
Ýlköðretim;;35.257;26.267;61.524;
Ortaokul veya dengi okul;;23.293;17.917;41.210;
Lise veya dengi okul;;63.107;52.779;115.886;
Yüksekokul veya fakülte;;42.177;40.737;82.914;
Yüksek lisans;;4.465;3.767;8.232;
Doktora;;676;555;1.231;
Bilinmeyen;;1.818;1.580;3.398;
Toplam;;212.043;215.314;427.357;
Bakýrköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;216;1.314;1.530;
Okuma yazma bilen fakat bir okul bitirmeyen;;608;1.687;2.295;
Ýlkokul;;8.216;13.275;21.491;
Ýlköðretim;;3.499;2.827;6.326;
Ortaokul veya dengi okul;;6.165;7.116;13.281;
Lise veya dengi okul;;22.456;27.565;50.021;
Yüksekokul veya fakülte;;27.584;29.943;57.527;
Yüksek lisans;;5.137;5.263;10.400;
Doktora;;1.545;1.343;2.888;
Bilinmeyen;;1.239;1.452;2.691;
Toplam;;76.665;91.785;168.450;
Baþakþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;784;4.749;5.533;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.441;6.010;8.451;
Ýlkokul;;18.104;27.147;45.251;
Ýlköðretim;;20.240;15.714;35.954;
Ortaokul veya dengi okul;;12.313;9.709;22.022;
Lise veya dengi okul;;36.239;32.417;68.656;
Yüksekokul veya fakülte;;29.243;26.949;56.192;
Yüksek lisans;;4.570;2.963;7.533;
Doktora;;873;456;1.329;
Bilinmeyen;;1.454;1.517;2.971;
Toplam;;126.261;127.631;253.892;
Bayrampaþa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;527;3.502;4.029;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.503;3.765;5.268;
Ýlkokul;;20.734;30.352;51.086;
Ýlköðretim;;16.785;12.002;28.787;
Ortaokul veya dengi okul;;12.238;9.021;21.259;
Lise veya dengi okul;;29.003;23.449;52.452;
Yüksekokul veya fakülte;;16.190;16.024;32.214;
Yüksek lisans;;1.503;1.188;2.691;
Doktora;;169;131;300;
Bilinmeyen;;658;604;1.262;
Toplam;;99.310;100.038;199.348;
Beþiktaþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;135;1.003;1.138;
Okuma yazma bilen fakat bir okul bitirmeyen;;486;1.195;1.681;
Ýlkokul;;5.244;8.304;13.548;
Ýlköðretim;;2.530;1.860;4.390;
Ortaokul veya dengi okul;;3.645;4.598;8.243;
Lise veya dengi okul;;16.529;20.624;37.153;
Yüksekokul veya fakülte;;25.466;30.185;55.651;
Yüksek lisans;;6.467;6.812;13.279;
Doktora;;1.949;1.808;3.757;
Bilinmeyen;;887;1.027;1.914;
Toplam;;63.338;77.416;140.754;
Beykoz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;597;4.356;4.953;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.002;3.377;4.379;
Ýlkokul;;16.196;24.284;40.480;
Ýlköðretim;;12.957;10.375;23.332;
Ortaokul veya dengi okul;;10.452;7.665;18.117;
Lise veya dengi okul;;28.835;23.070;51.905;
Yüksekokul veya fakülte;;17.465;17.114;34.579;
Yüksek lisans;;2.311;1.893;4.204;
Doktora;;532;449;981;
Bilinmeyen;;637;667;1.304;
Toplam;;90.984;93.250;184.234;
Beylikdüzü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;342;2.306;2.648;
Okuma yazma bilen fakat bir okul bitirmeyen;;991;3.070;4.061;
Ýlkokul;;11.868;20.209;32.077;
Ýlköðretim;;10.746;9.904;20.650;
Ortaokul veya dengi okul;;9.840;9.282;19.122;
Lise veya dengi okul;;36.256;35.175;71.431;
Yüksekokul veya fakülte;;30.586;29.837;60.423;
Yüksek lisans;;3.897;3.171;7.068;
Doktora;;600;391;991;
Bilinmeyen;;1.055;1.185;2.240;
Toplam;;106.181;114.530;220.711;
Beyoðlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;886;5.045;5.931;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.284;5.070;7.354;
Ýlkokul;;18.632;23.157;41.789;
Ýlköðretim;;16.040;10.229;26.269;
Ortaokul veya dengi okul;;9.828;6.809;16.637;
Lise veya dengi okul;;23.211;17.997;41.208;
Yüksekokul veya fakülte;;13.572;12.491;26.063;
Yüksek lisans;;1.477;1.199;2.676;
Doktora;;341;312;653;
Bilinmeyen;;1.183;1.016;2.199;
Toplam;;87.454;83.325;170.779;
Büyükçekmece;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;391;2.536;2.927;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.025;2.857;3.882;
Ýlkokul;;12.728;20.012;32.740;
Ýlköðretim;;12.587;9.894;22.481;
Ortaokul veya dengi okul;;8.654;7.473;16.127;
