TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Ýzmir;;;;;
Aliaða;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;68;544;612;
Okuma yazma bilen fakat bir okul bitirmeyen;;422;1.470;1.892;
Ýlkokul;;5.506;8.843;14.349;
Ýlköðretim;;4.708;3.574;8.282;
Ortaokul veya dengi okul;;3.082;2.307;5.389;
Lise veya dengi okul;;11.058;7.881;18.939;
Yüksekokul veya fakülte;;7.508;5.946;13.454;
Yüksek lisans;;476;393;869;
Doktora;;37;36;73;
Bilinmeyen;;105;117;222;
Toplam;;32.970;31.111;64.081;
Balçova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;66;493;559;
Okuma yazma bilen fakat bir okul bitirmeyen;;278;1.188;1.466;
Ýlkokul;;4.144;7.147;11.291;
Ýlköðretim;;2.156;1.585;3.741;
Ortaokul veya dengi okul;;2.646;2.593;5.239;
Lise veya dengi okul;;10.050;9.392;19.442;
Yüksekokul veya fakülte;;8.057;8.388;16.445;
Yüksek lisans;;866;913;1.779;
Doktora;;229;245;474;
Bilinmeyen;;182;182;364;
Toplam;;28.674;32.126;60.800;
Bayýndýr;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;213;855;1.068;
Okuma yazma bilen fakat bir okul bitirmeyen;;877;2.502;3.379;
Ýlkokul;;6.418;7.248;13.666;
Ýlköðretim;;2.825;1.786;4.611;
Ortaokul veya dengi okul;;1.232;721;1.953;
Lise veya dengi okul;;2.384;1.774;4.158;
Yüksekokul veya fakülte;;1.148;982;2.130;
Yüksek lisans;;72;38;110;
Doktora;;11;6;17;
Bilinmeyen;;40;53;93;
Toplam;;15.220;15.965;31.185;
Bayraklý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;539;3.875;4.414;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.763;6.571;8.334;
Ýlkokul;;20.812;32.105;52.917;
Ýlköðretim;;19.670;13.323;32.993;
Ortaokul veya dengi okul;;12.272;9.482;21.754;
Lise veya dengi okul;;33.486;27.857;61.343;
Yüksekokul veya fakülte;;23.647;23.791;47.438;
Yüksek lisans;;2.418;2.612;5.030;
Doktora;;642;508;1.150;
Bilinmeyen;;419;435;854;
Toplam;;115.668;120.559;236.227;
Bergama;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;361;1.400;1.761;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.356;3.143;4.499;
Ýlkokul;;12.889;17.640;30.529;
Ýlköðretim;;6.701;4.817;11.518;
Ortaokul veya dengi okul;;3.604;2.737;6.341;
Lise veya dengi okul;;8.446;6.717;15.163;
