TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kahramanmaraþ;;;;;
Afþin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;536;3.700;4.236;
Okuma yazma bilen fakat bir okul bitirmeyen;;740;1.764;2.504;
Ýlkokul;;5.064;7.737;12.801;
Ýlköðretim;;4.633;4.021;8.654;
Ortaokul veya dengi okul;;4.035;2.299;6.334;
Lise veya dengi okul;;8.923;4.858;13.781;
Yüksekokul veya fakülte;;3.007;2.136;5.143;
Yüksek lisans;;217;103;320;
Doktora;;25;30;55;
Bilinmeyen;;202;203;405;
Toplam;;27.382;26.851;54.233;
Andýrýn;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;242;1.035;1.277;
Okuma yazma bilen fakat bir okul bitirmeyen;;674;2.103;2.777;
Ýlkokul;;3.015;3.959;6.974;
Ýlköðretim;;1.443;1.098;2.541;
Ortaokul veya dengi okul;;1.747;1.007;2.754;
Lise veya dengi okul;;3.692;2.251;5.943;
Yüksekokul veya fakülte;;1.581;1.050;2.631;
Yüksek lisans;;80;32;112;
Doktora;;12;4;16;
Bilinmeyen;;27;45;72;
Toplam;;12.513;12.584;25.097;
Çaðlayancerit;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;336;1.322;1.658;
Okuma yazma bilen fakat bir okul bitirmeyen;;677;1.238;1.915;
Ýlkokul;;2.769;2.338;5.107;
Ýlköðretim;;1.581;1.138;2.719;
Ortaokul veya dengi okul;;813;433;1.246;
Lise veya dengi okul;;1.131;848;1.979;
Yüksekokul veya fakülte;;598;438;1.036;
Yüksek lisans;;34;20;54;
Doktora;;4;3;7;
Bilinmeyen;;111;83;194;
Toplam;;8.054;7.861;15.915;
Dulkadiroðlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.699;8.681;10.380;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.073;6.090;8.163;
Ýlkokul;;14.764;19.216;33.980;
Ýlköðretim;;18.586;13.647;32.233;
Ortaokul veya dengi okul;;8.453;5.429;13.882;
Lise veya dengi okul;;16.428;10.975;27.403;
Yüksekokul veya fakülte;;7.231;4.936;12.167;
Yüksek lisans;;478;225;703;
Doktora;;80;59;139;
Bilinmeyen;;713;715;1.428;
Toplam;;70.505;69.973;140.478;
Ekinözü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;121;372;493;
Okuma yazma bilen fakat bir okul bitirmeyen;;221;595;816;
Ýlkokul;;1.137;1.481;2.618;
Ýlköðretim;;855;488;1.343;
Ortaokul veya dengi okul;;567;266;833;
Lise veya dengi okul;;1.067;492;1.559;
Yüksekokul veya fakülte;;339;183;522;
Yüksek lisans;;17;5;22;
Doktora;;3;-;3;
Bilinmeyen;;44;51;95;
Toplam;;4.371;3.933;8.304;
Elbistan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;769;4.217;4.986;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.122;2.822;3.944;
Ýlkokul;;9.321;14.432;23.753;
Ýlköðretim;;8.905;7.183;16.088;
Ortaokul veya dengi okul;;6.557;4.034;10.591;
Lise veya dengi okul;;13.451;9.303;22.754;
Yüksekokul veya fakülte;;6.583;4.991;11.574;
Yüksek lisans;;661;297;958;
Doktora;;72;36;108;
Bilinmeyen;;490;478;968;
Toplam;;47.931;47.793;95.724;
Göksun;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;474;2.239;2.713;
Okuma yazma bilen fakat bir okul bitirmeyen;;583;1.350;1.933;
Ýlkokul;;4.414;6.129;10.543;
Ýlköðretim;;2.719;2.608;5.327;
Ortaokul veya dengi okul;;2.285;1.346;3.631;
Lise veya dengi okul;;5.017;2.896;7.913;
Yüksekokul veya fakülte;;2.451;1.420;3.871;
Yüksek lisans;;158;66;224;
Doktora;;18;14;32;
Bilinmeyen;;190;180;370;
Toplam;;18.309;18.248;36.557;
Nurhak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;168;625;793;
Okuma yazma bilen fakat bir okul bitirmeyen;;405;809;1.214;
Ýlkokul;;1.289;1.254;2.543;
Ýlköðretim;;1.063;543;1.606;
Ortaokul veya dengi okul;;494;290;784;
Lise veya dengi okul;;705;576;1.281;
Yüksekokul veya fakülte;;375;294;669;
Yüksek lisans;;26;6;32;
Doktora;;7;1;8;
Bilinmeyen;;79;59;138;
Toplam;;4.611;4.457;9.068;
