TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Karabük;;;;;
Eflani;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;143;943;1.086;
Okuma yazma bilen fakat bir okul bitirmeyen;;195;476;671;
Ýlkokul;;1.447;1.341;2.788;
Ýlköðretim;;502;318;820;
Ortaokul veya dengi okul;;295;131;426;
Lise veya dengi okul;;471;256;727;
Yüksekokul veya fakülte;;253;159;412;
Yüksek lisans;;12;5;17;
Doktora;;2;2;4;
Bilinmeyen;;4;12;16;
Toplam;;3.324;3.643;6.967;
Eskipazar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;113;846;959;
Okuma yazma bilen fakat bir okul bitirmeyen;;167;587;754;
Ýlkokul;;1.489;1.723;3.212;
Ýlköðretim;;594;534;1.128;
Ortaokul veya dengi okul;;712;333;1.045;
Lise veya dengi okul;;1.188;633;1.821;
Yüksekokul veya fakülte;;611;355;966;
Yüksek lisans;;37;19;56;
Doktora;;6;1;7;
Bilinmeyen;;7;11;18;
Toplam;;4.924;5.042;9.966;
Karabük Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;357;2.894;3.251;
Okuma yazma bilen fakat bir okul bitirmeyen;;594;2.376;2.970;
Ýlkokul;;8.034;13.584;21.618;
Ýlköðretim;;6.737;5.911;12.648;
Ortaokul veya dengi okul;;4.844;3.935;8.779;
Lise veya dengi okul;;14.603;10.571;25.174;
Yüksekokul veya fakülte;;8.465;6.675;15.140;
Yüksek lisans;;649;440;1.089;
Doktora;;228;74;302;
Bilinmeyen;;82;140;222;
Toplam;;44.593;46.600;91.193;
Ovacýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;88;404;492;
Okuma yazma bilen fakat bir okul bitirmeyen;;78;188;266;
Ýlkokul;;616;554;1.170;
Ýlköðretim;;163;96;259;
Ortaokul veya dengi okul;;164;54;218;
Lise veya dengi okul;;268;102;370;
Yüksekokul veya fakülte;;139;61;200;
Yüksek lisans;;7;5;12;
Doktora;;1;-;1;
Bilinmeyen;;2;1;3;
Toplam;;1.526;1.465;2.991;
Safranbolu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;222;1.551;1.773;
Okuma yazma bilen fakat bir okul bitirmeyen;;295;1.179;1.474;
Ýlkokul;;4.507;6.962;11.469;
Ýlköðretim;;2.390;2.304;4.694;
Ortaokul veya dengi okul;;2.061;1.591;3.652;
Lise veya dengi okul;;7.250;4.839;12.089;
Yüksekokul veya fakülte;;6.892;4.278;11.170;
Yüksek lisans;;555;383;938;
Doktora;;263;120;383;
Bilinmeyen;;55;56;111;
Toplam;;24.490;23.263;47.753;
Yenice;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;312;1.782;2.094;
Okuma yazma bilen fakat bir okul bitirmeyen;;357;961;1.318;
Ýlkokul;;2.449;2.667;5.116;
Ýlköðretim;;1.192;769;1.961;
Ortaokul veya dengi okul;;1.148;731;1.879;
Lise veya dengi okul;;1.749;1.022;2.771;
Yüksekokul veya fakülte;;761;571;1.332;
Yüksek lisans;;55;27;82;
Doktora;;3;3;6;
Bilinmeyen;;37;34;71;
Toplam;;8.063;8.567;16.630;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
