TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Karaman;;;;;
Ayrancý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;26;131;157;
Okuma yazma bilen fakat bir okul bitirmeyen;;85;329;414;
Ýlkokul;;1.430;1.747;3.177;
Ýlköðretim;;493;369;862;
Ortaokul veya dengi okul;;286;192;478;
Lise veya dengi okul;;562;380;942;
Yüksekokul veya fakülte;;262;154;416;
Yüksek lisans;;17;6;23;
Doktora;;2;1;3;
Bilinmeyen;;5;7;12;
Toplam;;3.168;3.316;6.484;
Baþyayla;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;22;76;98;
Okuma yazma bilen fakat bir okul bitirmeyen;;39;78;117;
Ýlkokul;;429;659;1.088;
Ýlköðretim;;271;228;499;
Ortaokul veya dengi okul;;175;95;270;
Lise veya dengi okul;;280;169;449;
Yüksekokul veya fakülte;;127;87;214;
Yüksek lisans;;10;6;16;
Doktora;;1;-;1;
Bilinmeyen;;2;2;4;
Toplam;;1.356;1.400;2.756;
Ermenek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;144;718;862;
Okuma yazma bilen fakat bir okul bitirmeyen;;325;824;1.149;
Ýlkokul;;3.370;4.527;7.897;
Ýlköðretim;;1.845;1.385;3.230;
Ortaokul veya dengi okul;;1.074;784;1.858;
Lise veya dengi okul;;2.318;1.529;3.847;
Yüksekokul veya fakülte;;1.289;864;2.153;
Yüksek lisans;;112;53;165;
Doktora;;15;14;29;
Bilinmeyen;;8;10;18;
Toplam;;10.500;10.708;21.208;
Karaman Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;430;2.937;3.367;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.235;2.889;4.124;
Ýlkokul;;13.944;21.198;35.142;
Ýlköðretim;;14.114;12.122;26.236;
Ortaokul veya dengi okul;;6.090;5.613;11.703;
Lise veya dengi okul;;15.253;12.432;27.685;
Yüksekokul veya fakülte;;11.156;8.661;19.817;
Yüksek lisans;;961;569;1.530;
Doktora;;237;132;369;
Bilinmeyen;;739;715;1.454;
Toplam;;64.159;67.268;131.427;
Kazýmkarabekir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;14;113;127;
Okuma yazma bilen fakat bir okul bitirmeyen;;39;98;137;
Ýlkokul;;420;641;1.061;
Ýlköðretim;;212;210;422;
Ortaokul veya dengi okul;;183;107;290;
Lise veya dengi okul;;423;230;653;
Yüksekokul veya fakülte;;177;102;279;
Yüksek lisans;;10;2;12;
Doktora;;1;-;1;
Bilinmeyen;;17;17;34;
Toplam;;1.496;1.520;3.016;
Sarýveliler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;12;109;121;
Okuma yazma bilen fakat bir okul bitirmeyen;;146;374;520;
Ýlkokul;;1.423;2.072;3.495;
Ýlköðretim;;884;601;1.485;
Ortaokul veya dengi okul;;486;240;726;
Lise veya dengi okul;;945;507;1.452;
Yüksekokul veya fakülte;;439;290;729;
Yüksek lisans;;30;11;41;
Doktora;;3;-;3;
Bilinmeyen;;20;17;37;
Toplam;;4.388;4.221;8.609;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
