TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kars;;;;;
Akyaka;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;90;524;614;
Okuma yazma bilen fakat bir okul bitirmeyen;;163;288;451;
Ýlkokul;;1.050;1.237;2.287;
Ýlköðretim;;939;522;1.461;
Ortaokul veya dengi okul;;562;273;835;
Lise veya dengi okul;;755;407;1.162;
Yüksekokul veya fakülte;;233;181;414;
Yüksek lisans;;20;4;24;
Doktora;;4;2;6;
Bilinmeyen;;80;49;129;
Toplam;;3.896;3.487;7.383;
Arpaçay;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;196;1.005;1.201;
Okuma yazma bilen fakat bir okul bitirmeyen;;388;589;977;
Ýlkokul;;1.747;2.066;3.813;
Ýlköðretim;;1.162;775;1.937;
Ortaokul veya dengi okul;;909;453;1.362;
Lise veya dengi okul;;1.250;558;1.808;
Yüksekokul veya fakülte;;381;307;688;
Yüksek lisans;;26;10;36;
Doktora;;3;4;7;
Bilinmeyen;;112;222;334;
Toplam;;6.174;5.989;12.163;
Digor;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;280;1.407;1.687;
Okuma yazma bilen fakat bir okul bitirmeyen;;589;1.062;1.651;
Ýlkokul;;2.223;1.740;3.963;
Ýlköðretim;;1.786;1.032;2.818;
Ortaokul veya dengi okul;;780;397;1.177;
Lise veya dengi okul;;913;614;1.527;
Yüksekokul veya fakülte;;325;306;631;
Yüksek lisans;;27;13;40;
Doktora;;6;3;9;
Bilinmeyen;;125;103;228;
Toplam;;7.054;6.677;13.731;
Kaðýzman;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;478;2.326;2.804;
Okuma yazma bilen fakat bir okul bitirmeyen;;992;1.695;2.687;
Ýlkokul;;3.415;3.591;7.006;
Ýlköðretim;;3.612;2.268;5.880;
Ortaokul veya dengi okul;;1.564;982;2.546;
Lise veya dengi okul;;2.840;1.751;4.591;
Yüksekokul veya fakülte;;1.261;973;2.234;
Yüksek lisans;;89;47;136;
Doktora;;13;10;23;
Bilinmeyen;;216;260;476;
Toplam;;14.480;13.903;28.383;
Kars Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;564;3.701;4.265;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.009;2.218;3.227;
Ýlkokul;;5.260;7.953;13.213;
Ýlköðretim;;6.751;4.795;11.546;
Ortaokul veya dengi okul;;3.962;2.877;6.839;
Lise veya dengi okul;;10.446;7.590;18.036;
Yüksekokul veya fakülte;;6.988;5.576;12.564;
Yüksek lisans;;674;445;1.119;
Doktora;;309;178;487;
Bilinmeyen;;290;318;608;
Toplam;;36.253;35.651;71.904;
Sarýkamýþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;341;2.406;2.747;
Okuma yazma bilen fakat bir okul bitirmeyen;;699;1.529;2.228;
Ýlkokul;;3.430;3.491;6.921;
Ýlköðretim;;2.962;1.853;4.815;
Ortaokul veya dengi okul;;1.466;717;2.183;
Lise veya dengi okul;;2.636;1.356;3.992;
Yüksekokul veya fakülte;;1.369;990;2.359;
Yüksek lisans;;94;61;155;
Doktora;;15;10;25;
Bilinmeyen;;230;302;532;
Toplam;;13.242;12.715;25.957;
Selim;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;121;968;1.089;
Okuma yazma bilen fakat bir okul bitirmeyen;;292;757;1.049;
Ýlkokul;;2.462;2.818;5.280;
Ýlköðretim;;1.640;1.071;2.711;
Ortaokul veya dengi okul;;1.054;437;1.491;
Lise veya dengi okul;;1.523;861;2.384;
Yüksekokul veya fakülte;;531;385;916;
Yüksek lisans;;25;11;36;
Doktora;;4;3;7;
Bilinmeyen;;100;131;231;
Toplam;;7.752;7.442;15.194;
Susuz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;149;607;756;
Okuma yazma bilen fakat bir okul bitirmeyen;;236;343;579;
Ýlkokul;;1.002;1.099;2.101;
Ýlköðretim;;662;496;1.158;
Ortaokul veya dengi okul;;416;238;654;
Lise veya dengi okul;;832;429;1.261;
Yüksekokul veya fakülte;;238;186;424;
Yüksek lisans;;18;5;23;
Doktora;;2;3;5;
Bilinmeyen;;40;60;100;
Toplam;;3.595;3.466;7.061;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
