TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kastamonu;;;;;
Abana;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;18;61;79;
Okuma yazma bilen fakat bir okul bitirmeyen;;55;174;229;
Ýlkokul;;637;767;1.404;
Ýlköðretim;;205;126;331;
Ortaokul veya dengi okul;;155;105;260;
Lise veya dengi okul;;301;248;549;
Yüksekokul veya fakülte;;221;155;376;
Yüksek lisans;;9;15;24;
Doktora;;5;3;8;
Bilinmeyen;;21;12;33;
Toplam;;1.627;1.666;3.293;
Aðlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;19;157;176;
Okuma yazma bilen fakat bir okul bitirmeyen;;46;247;293;
Ýlkokul;;463;525;988;
Ýlköðretim;;162;127;289;
Ortaokul veya dengi okul;;124;32;156;
Lise veya dengi okul;;210;94;304;
Yüksekokul veya fakülte;;113;63;176;
Yüksek lisans;;5;1;6;
Doktora;;-;1;1;
Bilinmeyen;;6;-;6;
Toplam;;1.148;1.247;2.395;
Araç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;168;869;1.037;
Okuma yazma bilen fakat bir okul bitirmeyen;;370;1.114;1.484;
Ýlkokul;;2.842;3.363;6.205;
Ýlköðretim;;1.042;790;1.832;
Ortaokul veya dengi okul;;867;335;1.202;
Lise veya dengi okul;;1.296;759;2.055;
Yüksekokul veya fakülte;;683;435;1.118;
Yüksek lisans;;43;18;61;
Doktora;;5;13;18;
Bilinmeyen;;25;41;66;
Toplam;;7.341;7.737;15.078;
Azdavay;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;134;771;905;
Okuma yazma bilen fakat bir okul bitirmeyen;;199;460;659;
Ýlkokul;;1.141;928;2.069;
Ýlköðretim;;346;284;630;
Ortaokul veya dengi okul;;345;150;495;
Lise veya dengi okul;;567;270;837;
Yüksekokul veya fakülte;;283;174;457;
Yüksek lisans;;12;11;23;
Doktora;;4;2;6;
Bilinmeyen;;13;18;31;
Toplam;;3.044;3.068;6.112;
Bozkurt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;88;420;508;
Okuma yazma bilen fakat bir okul bitirmeyen;;209;551;760;
Ýlkokul;;1.657;1.711;3.368;
Ýlköðretim;;505;370;875;
Ortaokul veya dengi okul;;364;213;577;
Lise veya dengi okul;;637;459;1.096;
Yüksekokul veya fakülte;;363;242;605;
Yüksek lisans;;15;16;31;
Doktora;;4;7;11;
Bilinmeyen;;19;29;48;
Toplam;;3.861;4.018;7.879;
Cide;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;371;1.645;2.016;
Okuma yazma bilen fakat bir okul bitirmeyen;;810;1.451;2.261;
Ýlkokul;;3.618;3.119;6.737;
Ýlköðretim;;1.275;869;2.144;
Ortaokul veya dengi okul;;718;352;1.070;
Lise veya dengi okul;;1.410;940;2.350;
Yüksekokul veya fakülte;;712;468;1.180;
Yüksek lisans;;48;23;71;
Doktora;;12;5;17;
Bilinmeyen;;93;108;201;
Toplam;;9.067;8.980;18.047;
Çatalzeytin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;55;267;322;
Okuma yazma bilen fakat bir okul bitirmeyen;;200;603;803;
Ýlkokul;;1.088;1.069;2.157;
Ýlköðretim;;297;206;503;
Ortaokul veya dengi okul;;352;134;486;
Lise veya dengi okul;;421;286;707;
Yüksekokul veya fakülte;;269;169;438;
Yüksek lisans;;17;13;30;
Doktora;;3;2;5;
Bilinmeyen;;37;42;79;
Toplam;;2.739;2.791;5.530;
Daday;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;64;456;520;
Okuma yazma bilen fakat bir okul bitirmeyen;;118;522;640;
Ýlkokul;;978;1.393;2.371;
Ýlköðretim;;444;350;794;
Ortaokul veya dengi okul;;461;215;676;
Lise veya dengi okul;;862;451;1.313;
Yüksekokul veya fakülte;;439;225;664;
Yüksek lisans;;24;19;43;
Doktora;;3;2;5;
Bilinmeyen;;9;6;15;
Toplam;;3.402;3.639;7.041;
Devrekani;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;63;406;469;
Okuma yazma bilen fakat bir okul bitirmeyen;;174;614;788;
Ýlkokul;;1.759;2.390;4.149;
Ýlköðretim;;644;536;1.180;
Ortaokul veya dengi okul;;549;275;824;
Lise veya dengi okul;;1.075;478;1.553;
Yüksekokul veya fakülte;;525;319;844;
Yüksek lisans;;32;10;42;
Doktora;;4;1;5;
Bilinmeyen;;19;23;42;
Toplam;;4.844;5.052;9.896;
Doðanyurt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;165;603;768;
Okuma yazma bilen fakat bir okul bitirmeyen;;151;227;378;
Ýlkokul;;843;805;1.648;
Ýlköðretim;;576;390;966;
Ortaokul veya dengi okul;;168;49;217;
Lise veya dengi okul;;235;165;400;
Yüksekokul veya fakülte;;125;92;217;
Yüksek lisans;;9;5;14;
Doktora;;1;2;3;
Bilinmeyen;;14;10;24;
Toplam;;2.287;2.348;4.635;
Hanönü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;41;237;278;
Okuma yazma bilen fakat bir okul bitirmeyen;;74;245;319;
Ýlkokul;;660;671;1.331;
Ýlköðretim;;255;153;408;
Ortaokul veya dengi okul;;160;68;228;
Lise veya dengi okul;;243;161;404;
Yüksekokul veya fakülte;;204;106;310;
Yüksek lisans;;8;5;13;
Doktora;;1;1;2;
Bilinmeyen;;1;11;12;
Toplam;;1.647;1.658;3.305;
Ýhsangazi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;56;333;389;
Okuma yazma bilen fakat bir okul bitirmeyen;;110;295;405;
Ýlkokul;;644;865;1.509;
Ýlköðretim;;277;228;505;
Ortaokul veya dengi okul;;276;126;402;
Lise veya dengi okul;;495;228;723;
Yüksekokul veya fakülte;;209;104;313;
Yüksek lisans;;14;5;19;
Doktora;;2;2;4;
Bilinmeyen;;2;2;4;
Toplam;;2.085;2.188;4.273;
Ýnebolu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;257;1.201;1.458;
Okuma yazma bilen fakat bir okul bitirmeyen;;406;688;1.094;
Ýlkokul;;2.619;3.102;5.721;
Ýlköðretim;;1.193;973;2.166;
Ortaokul veya dengi okul;;669;442;1.111;
Lise veya dengi okul;;1.558;1.060;2.618;
Yüksekokul veya fakülte;;821;701;1.522;
Yüksek lisans;;67;46;113;
Doktora;;7;7;14;
Bilinmeyen;;36;43;79;
Toplam;;7.633;8.263;15.896;
Kastamonu Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;575;4.172;4.747;
Okuma yazma bilen fakat bir okul bitirmeyen;;754;2.758;3.512;
Ýlkokul;;9.095;14.257;23.352;
Ýlköðretim;;6.888;7.155;14.043;
Ortaokul veya dengi okul;;4.772;3.789;8.561;
Lise veya dengi okul;;15.919;10.290;26.209;
Yüksekokul veya fakülte;;11.534;8.527;20.061;
Yüksek lisans;;967;708;1.675;
Doktora;;343;188;531;
Bilinmeyen;;63;93;156;
Toplam;;50.910;51.937;102.847;
Küre;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;49;171;220;
Okuma yazma bilen fakat bir okul bitirmeyen;;207;522;729;
Ýlkokul;;655;751;1.406;
Ýlköðretim;;450;302;752;
Ortaokul veya dengi okul;;234;128;362;
Lise veya dengi okul;;464;240;704;
Yüksekokul veya fakülte;;167;137;304;
Yüksek lisans;;8;4;12;
Doktora;;-;1;1;
Bilinmeyen;;3;1;4;
Toplam;;2.237;2.257;4.494;
Pýnarbaþý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;217;702;919;
Okuma yazma bilen fakat bir okul bitirmeyen;;238;425;663;
Ýlkokul;;1.046;715;1.761;
Ýlköðretim;;291;156;447;
Ortaokul veya dengi okul;;217;80;297;
Lise veya dengi okul;;277;119;396;
Yüksekokul veya fakülte;;155;85;240;
Yüksek lisans;;10;6;16;
Doktora;;-;1;1;
Bilinmeyen;;13;13;26;
Toplam;;2.464;2.302;4.766;
Seydiler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;11;141;152;
Okuma yazma bilen fakat bir okul bitirmeyen;;38;163;201;
Ýlkokul;;583;722;1.305;
Ýlköðretim;;226;212;438;
Ortaokul veya dengi okul;;181;89;270;
Lise veya dengi okul;;342;179;521;
Yüksekokul veya fakülte;;171;106;277;
Yüksek lisans;;17;4;21;
Doktora;;-;1;1;
Bilinmeyen;;7;2;9;
Toplam;;1.576;1.619;3.195;
Þenpazar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;96;386;482;
Okuma yazma bilen fakat bir okul bitirmeyen;;122;298;420;
Ýlkokul;;871;631;1.502;
Ýlköðretim;;310;238;548;
Ortaokul veya dengi okul;;166;68;234;
Lise veya dengi okul;;270;157;427;
Yüksekokul veya fakülte;;127;84;211;
Yüksek lisans;;6;9;15;
Doktora;;1;-;1;
Bilinmeyen;;5;14;19;
Toplam;;1.974;1.885;3.859;
Taþköprü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;354;2.263;2.617;
Okuma yazma bilen fakat bir okul bitirmeyen;;554;1.620;2.174;
Ýlkokul;;5.228;6.763;11.991;
Ýlköðretim;;2.144;1.711;3.855;
Ortaokul veya dengi okul;;1.545;775;2.320;
Lise veya dengi okul;;3.269;1.689;4.958;
Yüksekokul veya fakülte;;1.474;962;2.436;
Yüksek lisans;;87;38;125;
Doktora;;12;12;24;
Bilinmeyen;;27;52;79;
Toplam;;14.694;15.885;30.579;
Tosya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;282;1.265;1.547;
Okuma yazma bilen fakat bir okul bitirmeyen;;539;1.850;2.389;
Ýlkokul;;5.202;7.624;12.826;
Ýlköðretim;;2.019;1.893;3.912;
Ortaokul veya dengi okul;;1.619;924;2.543;
Lise veya dengi okul;;3.586;2.034;5.620;
Yüksekokul veya fakülte;;2.057;1.313;3.370;
Yüksek lisans;;128;62;190;
Doktora;;16;13;29;
Bilinmeyen;;38;49;87;
Toplam;;15.486;17.027;32.513;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
