TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kayseri;;;;;
Akkýþla;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;31;371;402;
Okuma yazma bilen fakat bir okul bitirmeyen;;111;339;450;
Ýlkokul;;908;1.041;1.949;
Ýlköðretim;;447;229;676;
Ortaokul veya dengi okul;;280;115;395;
Lise veya dengi okul;;506;312;818;
Yüksekokul veya fakülte;;181;115;296;
Yüksek lisans;;9;1;10;
Doktora;;2;2;4;
Bilinmeyen;;31;32;63;
Toplam;;2.506;2.557;5.063;
Bünyan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;124;1.147;1.271;
Okuma yazma bilen fakat bir okul bitirmeyen;;216;841;1.057;
Ýlkokul;;3.019;3.830;6.849;
Ýlköðretim;;1.578;1.150;2.728;
Ortaokul veya dengi okul;;1.272;597;1.869;
Lise veya dengi okul;;2.398;1.405;3.803;
Yüksekokul veya fakülte;;947;592;1.539;
Yüksek lisans;;64;26;90;
Doktora;;5;5;10;
Bilinmeyen;;54;92;146;
Toplam;;9.677;9.685;19.362;
Develi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;389;2.741;3.130;
Okuma yazma bilen fakat bir okul bitirmeyen;;597;1.563;2.160;
Ýlkokul;;7.343;8.762;16.105;
Ýlköðretim;;4.323;3.340;7.663;
Ortaokul veya dengi okul;;2.354;1.442;3.796;
Lise veya dengi okul;;5.005;3.458;8.463;
Yüksekokul veya fakülte;;2.556;1.731;4.287;
Yüksek lisans;;148;81;229;
Doktora;;14;14;28;
Bilinmeyen;;233;237;470;
Toplam;;22.962;23.369;46.331;
Felahiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;38;319;357;
Okuma yazma bilen fakat bir okul bitirmeyen;;152;321;473;
Ýlkokul;;623;753;1.376;
Ýlköðretim;;336;247;583;
Ortaokul veya dengi okul;;269;116;385;
Lise veya dengi okul;;452;220;672;
Yüksekokul veya fakülte;;137;69;206;
Yüksek lisans;;5;-;5;
Doktora;;2;-;2;
Bilinmeyen;;252;308;560;
Toplam;;2.266;2.353;4.619;
Hacýlar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;34;215;249;
Okuma yazma bilen fakat bir okul bitirmeyen;;114;634;748;
Ýlkokul;;1.078;1.286;2.364;
Ýlköðretim;;899;668;1.567;
Ortaokul veya dengi okul;;517;374;891;
Lise veya dengi okul;;1.137;866;2.003;
Yüksekokul veya fakülte;;558;404;962;
Yüksek lisans;;47;23;70;
Doktora;;-;11;11;
Bilinmeyen;;21;18;39;
Toplam;;4.405;4.499;8.904;
Ýncesu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;125;1.062;1.187;
Okuma yazma bilen fakat bir okul bitirmeyen;;255;830;1.085;
Ýlkokul;;2.378;3.213;5.591;
Ýlköðretim;;2.032;1.364;3.396;
Ortaokul veya dengi okul;;1.072;545;1.617;
Lise veya dengi okul;;2.204;1.328;3.532;
Yüksekokul veya fakülte;;878;554;1.432;
Yüksek lisans;;39;31;70;
Doktora;;9;8;17;
Bilinmeyen;;48;53;101;
Toplam;;9.040;8.988;18.028;
Kocasinan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;765;7.098;7.863;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.113;8.702;10.815;
Ýlkokul;;24.215;41.782;65.997;
Ýlköðretim;;25.781;18.054;43.835;
Ortaokul veya dengi okul;;14.940;10.839;25.779;
Lise veya dengi okul;;38.717;30.842;69.559;
Yüksekokul veya fakülte;;22.870;18.594;41.464;
Yüksek lisans;;1.998;1.477;3.475;
Doktora;;320;228;548;
Bilinmeyen;;1.000;1.242;2.242;
Toplam;;132.719;138.858;271.577;
Melikgazi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;794;6.945;7.739;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.138;9.827;11.965;
Ýlkokul;;29.815;54.570;84.385;
Ýlköðretim;;33.436;26.268;59.704;
Ortaokul veya dengi okul;;20.484;15.131;35.615;
Lise veya dengi okul;;58.985;48.020;107.005;
Yüksekokul veya fakülte;;35.561;28.538;64.099;
Yüksek lisans;;3.267;2.531;5.798;
Doktora;;896;526;1.422;
Bilinmeyen;;1.191;1.583;2.774;
Toplam;;186.567;193.939;380.506;
Özvatan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;19;227;246;
Okuma yazma bilen fakat bir okul bitirmeyen;;71;209;280;
Ýlkokul;;522;668;1.190;
Ýlköðretim;;193;122;315;
Ortaokul veya dengi okul;;215;96;311;
Lise veya dengi okul;;391;215;606;
Yüksekokul veya fakülte;;177;117;294;
Yüksek lisans;;12;6;18;
Doktora;;-;1;1;
Bilinmeyen;;59;62;121;
Toplam;;1.659;1.723;3.382;
Pýnarbaþý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;110;949;1.059;
Okuma yazma bilen fakat bir okul bitirmeyen;;287;906;1.193;
Ýlkokul;;2.861;3.404;6.265;
Ýlköðretim;;1.475;908;2.383;
Ortaokul veya dengi okul;;904;420;1.324;
Lise veya dengi okul;;2.021;1.072;3.093;
Yüksekokul veya fakülte;;892;561;1.453;
Yüksek lisans;;47;17;64;
Doktora;;5;6;11;
Bilinmeyen;;75;122;197;
Toplam;;8.677;8.365;17.042;
Sarýoðlan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;85;750;835;
Okuma yazma bilen fakat bir okul bitirmeyen;;231;751;982;
Ýlkokul;;1.436;1.737;3.173;
Ýlköðretim;;887;623;1.510;
Ortaokul veya dengi okul;;738;342;1.080;
Lise veya dengi okul;;1.273;702;1.975;
Yüksekokul veya fakülte;;426;251;677;
Yüksek lisans;;19;15;34;
Doktora;;2;1;3;
Bilinmeyen;;291;293;584;
Toplam;;5.388;5.465;10.853;
Sarýz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;113;626;739;
Okuma yazma bilen fakat bir okul bitirmeyen;;167;487;654;
Ýlkokul;;1.225;1.333;2.558;
Ýlköðretim;;560;376;936;
Ortaokul veya dengi okul;;475;220;695;
Lise veya dengi okul;;963;485;1.448;
Yüksekokul veya fakülte;;323;219;542;
Yüksek lisans;;21;8;29;
Doktora;;6;1;7;
Bilinmeyen;;108;129;237;
Toplam;;3.961;3.884;7.845;
Talas;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;135;1.680;1.815;
