TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kilis;;;;;
Elbeyli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;35;91;126;
Okuma yazma bilen fakat bir okul bitirmeyen;;68;248;316;
Ýlkokul;;469;454;923;
Ýlköðretim;;480;533;1.013;
Ortaokul veya dengi okul;;266;165;431;
Lise veya dengi okul;;612;223;835;
Yüksekokul veya fakülte;;274;114;388;
Yüksek lisans;;13;-;13;
Doktora;;0;0;0;
Bilinmeyen;;4;13;17;
Toplam;;2.221;1.841;4.062;
Kilis Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;645;2.759;3.404;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.066;2.945;4.011;
Ýlkokul;;5.664;7.689;13.353;
Ýlköðretim;;7.426;7.185;14.611;
Ortaokul veya dengi okul;;4.006;3.012;7.018;
Lise veya dengi okul;;8.371;6.380;14.751;
Yüksekokul veya fakülte;;6.314;4.213;10.527;
Yüksek lisans;;478;243;721;
Doktora;;152;69;221;
Bilinmeyen;;721;807;1.528;
Toplam;;34.843;35.302;70.145;
Musabeyli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;157;693;850;
Okuma yazma bilen fakat bir okul bitirmeyen;;276;485;761;
Ýlkokul;;1.278;1.292;2.570;
Ýlköðretim;;1.037;1.007;2.044;
Ortaokul veya dengi okul;;558;254;812;
Lise veya dengi okul;;554;253;807;
Yüksekokul veya fakülte;;182;75;257;
Yüksek lisans;;1;1;2;
Doktora;;-;2;2;
Bilinmeyen;;5;4;9;
Toplam;;4.048;4.066;8.114;
Polateli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;41;158;199;
Okuma yazma bilen fakat bir okul bitirmeyen;;75;159;234;
Ýlkokul;;506;589;1.095;
Ýlköðretim;;421;361;782;
Ortaokul veya dengi okul;;260;173;433;
Lise veya dengi okul;;287;124;411;
Yüksekokul veya fakülte;;78;55;133;
Yüksek lisans;;3;1;4;
Doktora;;-;1;1;
Bilinmeyen;;2;1;3;
Toplam;;1.673;1.622;3.295;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
