TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kocaeli;;;;;
Baþiskele;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;149;1.386;1.535;
Okuma yazma bilen fakat bir okul bitirmeyen;;342;1.385;1.727;
Ýlkokul;;4.727;7.392;12.119;
Ýlköðretim;;4.776;4.713;9.489;
Ortaokul veya dengi okul;;3.577;3.402;6.979;
Lise veya dengi okul;;10.924;7.976;18.900;
Yüksekokul veya fakülte;;7.328;6.280;13.608;
Yüksek lisans;;889;617;1.506;
Doktora;;189;118;307;
Bilinmeyen;;159;170;329;
Toplam;;33.060;33.439;66.499;
Çayýrova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;237;1.936;2.173;
Okuma yazma bilen fakat bir okul bitirmeyen;;531;1.736;2.267;
Ýlkokul;;6.841;11.852;18.693;
Ýlköðretim;;10.819;8.638;19.457;
Ortaokul veya dengi okul;;5.062;3.702;8.764;
Lise veya dengi okul;;14.011;9.373;23.384;
Yüksekokul veya fakülte;;6.410;5.593;12.003;
Yüksek lisans;;521;340;861;
Doktora;;81;52;133;
Bilinmeyen;;227;254;481;
Toplam;;44.740;43.476;88.216;
Darýca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;428;3.297;3.725;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.041;3.189;4.230;
Ýlkokul;;10.511;18.660;29.171;
Ýlköðretim;;14.280;11.312;25.592;
Ortaokul veya dengi okul;;7.853;5.826;13.679;
Lise veya dengi okul;;22.604;15.541;38.145;
Yüksekokul veya fakülte;;11.378;9.744;21.122;
Yüksek lisans;;985;668;1.653;
Doktora;;170;84;254;
Bilinmeyen;;434;462;896;
Toplam;;69.684;68.783;138.467;
Derince;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;345;2.278;2.623;
Okuma yazma bilen fakat bir okul bitirmeyen;;660;2.293;2.953;
Ýlkokul;;7.042;13.504;20.546;
Ýlköðretim;;7.392;6.537;13.929;
Ortaokul veya dengi okul;;5.474;4.815;10.289;
Lise veya dengi okul;;17.690;12.824;30.514;
Yüksekokul veya fakülte;;11.016;9.090;20.106;
Yüksek lisans;;776;661;1.437;
Doktora;;92;62;154;
Bilinmeyen;;254;269;523;
Toplam;;50.741;52.333;103.074;
Dilovasý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;159;1.231;1.390;
Okuma yazma bilen fakat bir okul bitirmeyen;;363;1.340;1.703;
Ýlkokul;;3.042;4.800;7.842;
Ýlköðretim;;5.268;3.441;8.709;
Ortaokul veya dengi okul;;1.952;1.129;3.081;
Lise veya dengi okul;;3.865;2.220;6.085;
Yüksekokul veya fakülte;;1.312;778;2.090;
Yüksek lisans;;56;18;74;
Doktora;;4;6;10;
Bilinmeyen;;57;68;125;
Toplam;;16.078;15.031;31.109;
Gebze;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;673;5.141;5.814;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.699;5.252;6.951;
Ýlkokul;;18.860;33.068;51.928;
Ýlköðretim;;29.531;23.928;53.459;
Ortaokul veya dengi okul;;14.523;10.906;25.429;
Lise veya dengi okul;;42.378;29.554;71.932;
Yüksekokul veya fakülte;;21.089;18.658;39.747;
Yüksek lisans;;1.653;1.100;2.753;
Doktora;;236;133;369;
Bilinmeyen;;616;790;1.406;
Toplam;;131.258;128.530;259.788;
Gölcük;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;216;1.986;2.202;
Okuma yazma bilen fakat bir okul bitirmeyen;;441;2.093;2.534;
Ýlkokul;;7.285;14.704;21.989;
Ýlköðretim;;6.505;6.152;12.657;
Ortaokul veya dengi okul;;6.075;5.447;11.522;
Lise veya dengi okul;;22.252;16.416;38.668;
Yüksekokul veya fakülte;;13.372;10.845;24.217;
Yüksek lisans;;1.079;812;1.891;
Doktora;;182;95;277;
Bilinmeyen;;316;327;643;
Toplam;;57.723;58.877;116.600;
Ýzmit;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;724;4.783;5.507;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.649;5.407;7.056;
Ýlkokul;;18.461;31.656;50.117;
Ýlköðretim;;18.660;15.834;34.494;
Ortaokul veya dengi okul;;12.974;11.177;24.151;
Lise veya dengi okul;;40.752;32.483;73.235;
Yüksekokul veya fakülte;;27.804;25.149;52.953;
Yüksek lisans;;3.192;2.713;5.905;
Doktora;;857;658;1.515;
Bilinmeyen;;394;451;845;
Toplam;;125.467;130.311;255.778;
Kandýra;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;488;2.143;2.631;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.072;2.033;3.105;
Ýlkokul;;5.996;6.509;12.505;
Ýlköðretim;;2.977;2.094;5.071;
Ortaokul veya dengi okul;;1.925;991;2.916;
Lise veya dengi okul;;3.330;2.133;5.463;
Yüksekokul veya fakülte;;2.008;1.401;3.409;
Yüksek lisans;;159;73;232;
Doktora;;23;14;37;
Bilinmeyen;;77;100;177;
Toplam;;18.055;17.491;35.546;
Karamürsel;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;143;984;1.127;
Okuma yazma bilen fakat bir okul bitirmeyen;;284;931;1.215;
Ýlkokul;;4.227;6.617;10.844;
Ýlköðretim;;2.457;2.388;4.845;
Ortaokul veya dengi okul;;2.341;1.908;4.249;
Lise veya dengi okul;;7.097;5.356;12.453;
Yüksekokul veya fakülte;;4.017;3.206;7.223;
Yüksek lisans;;221;179;400;
Doktora;;36;19;55;
Bilinmeyen;;156;178;334;
Toplam;;20.979;21.766;42.745;
Kartepe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;229;1.952;2.181;
Okuma yazma bilen fakat bir okul bitirmeyen;;478;1.872;2.350;
Ýlkokul;;7.108;11.547;18.655;
Ýlköðretim;;6.768;6.205;12.973;
Ortaokul veya dengi okul;;5.016;3.560;8.576;
Lise veya dengi okul;;13.611;9.062;22.673;
Yüksekokul veya fakülte;;6.823;6.039;12.862;
Yüksek lisans;;629;402;1.031;
Doktora;;137;94;231;
Bilinmeyen;;165;225;390;
Toplam;;40.964;40.958;81.922;
Körfez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;466;3.247;3.713;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.013;3.254;4.267;
Ýlkokul;;8.953;15.171;24.124;
Ýlköðretim;;9.661;8.256;17.917;
Ortaokul veya dengi okul;;6.455;5.032;11.487;
Lise veya dengi okul;;18.986;13.021;32.007;
Yüksekokul veya fakülte;;10.412;8.676;19.088;
Yüksek lisans;;786;540;1.326;
Doktora;;73;54;127;
Bilinmeyen;;278;324;602;
Toplam;;57.083;57.575;114.658;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
