TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Konya;;;;;
Ahýrlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;19;140;159;
Okuma yazma bilen fakat bir okul bitirmeyen;;43;350;393;
Ýlkokul;;661;852;1.513;
Ýlköðretim;;315;187;502;
Ortaokul veya dengi okul;;179;84;263;
Lise veya dengi okul;;344;159;503;
Yüksekokul veya fakülte;;151;89;240;
Yüksek lisans;;6;3;9;
Doktora;;-;1;1;
Bilinmeyen;;3;6;9;
Toplam;;1.721;1.871;3.592;
Akören;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;34;181;215;
Okuma yazma bilen fakat bir okul bitirmeyen;;62;282;344;
Ýlkokul;;627;943;1.570;
Ýlköðretim;;446;287;733;
Ortaokul veya dengi okul;;250;120;370;
Lise veya dengi okul;;435;248;683;
Yüksekokul veya fakülte;;217;122;339;
Yüksek lisans;;14;6;20;
Doktora;;2;1;3;
Bilinmeyen;;12;11;23;
Toplam;;2.099;2.201;4.300;
Akþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;302;2.397;2.699;
Okuma yazma bilen fakat bir okul bitirmeyen;;467;2.370;2.837;
Ýlkokul;;9.401;15.418;24.819;
Ýlköðretim;;3.541;3.929;7.470;
Ortaokul veya dengi okul;;3.236;2.213;5.449;
Lise veya dengi okul;;10.135;6.533;16.668;
Yüksekokul veya fakülte;;5.307;3.596;8.903;
Yüksek lisans;;474;266;740;
Doktora;;51;36;87;
Bilinmeyen;;165;167;332;
Toplam;;33.079;36.925;70.004;
Altýnekin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;15;240;255;
Okuma yazma bilen fakat bir okul bitirmeyen;;95;424;519;
Ýlkokul;;2.177;2.589;4.766;
Ýlköðretim;;1.294;965;2.259;
Ortaokul veya dengi okul;;400;171;571;
Lise veya dengi okul;;534;347;881;
Yüksekokul veya fakülte;;243;155;398;
Yüksek lisans;;14;6;20;
Doktora;;9;15;24;
Bilinmeyen;;4;10;14;
Toplam;;4.785;4.922;9.707;
Beyþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;281;1.507;1.788;
Okuma yazma bilen fakat bir okul bitirmeyen;;580;2.242;2.822;
Ýlkokul;;6.800;10.358;17.158;
Ýlköðretim;;4.035;3.973;8.008;
Ortaokul veya dengi okul;;3.178;1.895;5.073;
Lise veya dengi okul;;6.693;4.463;11.156;
Yüksekokul veya fakülte;;3.850;2.466;6.316;
Yüksek lisans;;351;147;498;
Doktora;;48;12;60;
Bilinmeyen;;126;125;251;
Toplam;;25.942;27.188;53.130;
Bozkýr;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;139;647;786;
Okuma yazma bilen fakat bir okul bitirmeyen;;487;1.715;2.202;
Ýlkokul;;3.858;4.528;8.386;
Ýlköðretim;;1.685;1.225;2.910;
Ortaokul veya dengi okul;;854;471;1.325;
Lise veya dengi okul;;1.421;913;2.334;
Yüksekokul veya fakülte;;855;534;1.389;
Yüksek lisans;;83;35;118;
Doktora;;7;6;13;
Bilinmeyen;;43;34;77;
Toplam;;9.432;10.108;19.540;
Cihanbeyli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;171;1.643;1.814;
Okuma yazma bilen fakat bir okul bitirmeyen;;645;2.170;2.815;
Ýlkokul;;5.945;7.343;13.288;
Ýlköðretim;;3.599;2.846;6.445;
Ortaokul veya dengi okul;;2.056;1.011;3.067;
Lise veya dengi okul;;3.571;2.433;6.004;
Yüksekokul veya fakülte;;1.381;1.092;2.473;
Yüksek lisans;;99;60;159;
Doktora;;9;8;17;
Bilinmeyen;;327;296;623;
Toplam;;17.803;18.902;36.705;
Çeltik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;79;391;470;
Okuma yazma bilen fakat bir okul bitirmeyen;;99;433;532;
Ýlkokul;;1.144;1.464;2.608;
Ýlköðretim;;480;392;872;
Ortaokul veya dengi okul;;455;230;685;
Lise veya dengi okul;;880;431;1.311;
Yüksekokul veya fakülte;;276;201;477;
Yüksek lisans;;24;13;37;
Doktora;;-;1;1;
Bilinmeyen;;76;62;138;
Toplam;;3.513;3.618;7.131;
Çumra;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;180;1.049;1.229;
Okuma yazma bilen fakat bir okul bitirmeyen;;340;1.756;2.096;
