TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kütahya;;;;;
Altýntaþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;47;188;235;
Okuma yazma bilen fakat bir okul bitirmeyen;;262;700;962;
Ýlkokul;;2.495;3.417;5.912;
Ýlköðretim;;1.075;775;1.850;
Ortaokul veya dengi okul;;731;347;1.078;
Lise veya dengi okul;;1.109;537;1.646;
Yüksekokul veya fakülte;;396;261;657;
Yüksek lisans;;28;15;43;
Doktora;;4;3;7;
Bilinmeyen;;23;34;57;
Toplam;;6.170;6.277;12.447;
Aslanapa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;38;275;313;
Okuma yazma bilen fakat bir okul bitirmeyen;;235;542;777;
Ýlkokul;;1.614;2.104;3.718;
Ýlköðretim;;667;443;1.110;
Ortaokul veya dengi okul;;382;170;552;
Lise veya dengi okul;;563;236;799;
Yüksekokul veya fakülte;;144;59;203;
Yüksek lisans;;5;2;7;
Doktora;;-;2;2;
Bilinmeyen;;8;12;20;
Toplam;;3.656;3.845;7.501;
Çavdarhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;26;314;340;
Okuma yazma bilen fakat bir okul bitirmeyen;;223;596;819;
Ýlkokul;;895;1.199;2.094;
Ýlköðretim;;370;263;633;
Ortaokul veya dengi okul;;278;163;441;
Lise veya dengi okul;;502;227;729;
Yüksekokul veya fakülte;;219;127;346;
Yüksek lisans;;18;5;23;
Doktora;;1;-;1;
Bilinmeyen;;19;15;34;
Toplam;;2.551;2.909;5.460;
Domaniç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;48;277;325;
Okuma yazma bilen fakat bir okul bitirmeyen;;288;759;1.047;
Ýlkokul;;2.013;3.151;5.164;
Ýlköðretim;;866;642;1.508;
Ortaokul veya dengi okul;;611;355;966;
Lise veya dengi okul;;1.328;621;1.949;
Yüksekokul veya fakülte;;541;344;885;
Yüksek lisans;;25;11;36;
Doktora;;2;6;8;
Bilinmeyen;;30;27;57;
Toplam;;5.752;6.193;11.945;
Dumlupýnar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;6;95;101;
Okuma yazma bilen fakat bir okul bitirmeyen;;68;176;244;
Ýlkokul;;484;527;1.011;
Ýlköðretim;;129;153;282;
Ortaokul veya dengi okul;;138;52;190;
Lise veya dengi okul;;233;117;350;
Yüksekokul veya fakülte;;129;65;194;
Yüksek lisans;;9;6;15;
Doktora;;0;0;0;
Bilinmeyen;;20;12;32;
Toplam;;1.216;1.203;2.419;
Emet;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;42;306;348;
Okuma yazma bilen fakat bir okul bitirmeyen;;478;1.370;1.848;
Ýlkokul;;1.951;3.716;5.667;
Ýlköðretim;;1.015;1.013;2.028;
Ortaokul veya dengi okul;;868;498;1.366;
Lise veya dengi okul;;2.027;876;2.903;
Yüksekokul veya fakülte;;974;573;1.547;
Yüksek lisans;;61;33;94;
Doktora;;16;3;19;
Bilinmeyen;;36;32;68;
Toplam;;7.468;8.420;15.888;
Gediz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;190;944;1.134;
Okuma yazma bilen fakat bir okul bitirmeyen;;809;2.203;3.012;
Ýlkokul;;5.954;8.515;14.469;
Ýlköðretim;;3.047;2.786;5.833;
Ortaokul veya dengi okul;;1.874;1.102;2.976;
Lise veya dengi okul;;3.984;2.430;6.414;
Yüksekokul veya fakülte;;2.337;1.534;3.871;
Yüksek lisans;;175;88;263;
Doktora;;31;21;52;
Bilinmeyen;;89;89;178;
Toplam;;18.490;19.712;38.202;
Hisarcýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;56;237;293;
Okuma yazma bilen fakat bir okul bitirmeyen;;180;453;633;
Ýlkokul;;1.465;2.660;4.125;
Ýlköðretim;;853;687;1.540;
Ortaokul veya dengi okul;;560;279;839;
Lise veya dengi okul;;1.057;506;1.563;
Yüksekokul veya fakülte;;454;254;708;
Yüksek lisans;;28;15;43;
Doktora;;10;3;13;
Bilinmeyen;;25;26;51;
Toplam;;4.688;5.120;9.808;
