TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kýrklareli;;;;;
Babaeski;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;161;779;940;
Okuma yazma bilen fakat bir okul bitirmeyen;;325;824;1.149;
Ýlkokul;;5.776;7.918;13.694;
Ýlköðretim;;2.496;1.935;4.431;
Ortaokul veya dengi okul;;2.050;1.604;3.654;
Lise veya dengi okul;;5.572;4.073;9.645;
Yüksekokul veya fakülte;;2.511;2.149;4.660;
Yüksek lisans;;158;117;275;
Doktora;;18;10;28;
Bilinmeyen;;99;112;211;
Toplam;;19.166;19.521;38.687;
Demirköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;40;222;262;
Okuma yazma bilen fakat bir okul bitirmeyen;;95;215;310;
Ýlkokul;;1.351;1.361;2.712;
Ýlköðretim;;547;406;953;
Ortaokul veya dengi okul;;365;230;595;
Lise veya dengi okul;;739;451;1.190;
Yüksekokul veya fakülte;;344;239;583;
Yüksek lisans;;16;10;26;
Doktora;;-;2;2;
Bilinmeyen;;23;12;35;
Toplam;;3.520;3.148;6.668;
Kýrklareli Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;291;1.324;1.615;
Okuma yazma bilen fakat bir okul bitirmeyen;;673;1.375;2.048;
Ýlkokul;;8.334;11.294;19.628;
Ýlköðretim;;5.418;4.727;10.145;
Ortaokul veya dengi okul;;3.234;2.657;5.891;
Lise veya dengi okul;;9.986;7.994;17.980;
Yüksekokul veya fakülte;;6.775;5.699;12.474;
Yüksek lisans;;606;490;1.096;
Doktora;;211;125;336;
Bilinmeyen;;145;155;300;
Toplam;;35.673;35.840;71.513;
Kofçaz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;23;82;105;
Okuma yazma bilen fakat bir okul bitirmeyen;;91;141;232;
Ýlkokul;;486;501;987;
Ýlköðretim;;111;83;194;
Ortaokul veya dengi okul;;101;38;139;
Lise veya dengi okul;;186;83;269;
Yüksekokul veya fakülte;;66;38;104;
Yüksek lisans;;5;2;7;
Doktora;;0;0;0;
Bilinmeyen;;5;8;13;
Toplam;;1.074;976;2.050;
Lüleburgaz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;272;1.598;1.870;
Okuma yazma bilen fakat bir okul bitirmeyen;;813;2.004;2.817;
Ýlkokul;;11.599;17.829;29.428;
Ýlköðretim;;8.076;6.568;14.644;
Ortaokul veya dengi okul;;5.932;5.025;10.957;
Lise veya dengi okul;;18.801;14.512;33.313;
Yüksekokul veya fakülte;;9.745;8.723;18.468;
Yüksek lisans;;766;597;1.363;
Doktora;;110;78;188;
Bilinmeyen;;178;227;405;
Toplam;;56.292;57.161;113.453;
Pehlivanköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;26;135;161;
Okuma yazma bilen fakat bir okul bitirmeyen;;51;135;186;
Ýlkokul;;650;746;1.396;
Ýlköðretim;;186;156;342;
Ortaokul veya dengi okul;;188;113;301;
Lise veya dengi okul;;334;199;533;
Yüksekokul veya fakülte;;148;94;242;
Yüksek lisans;;9;5;14;
Doktora;;-;1;1;
Bilinmeyen;;8;5;13;
Toplam;;1.600;1.589;3.189;
Pýnarhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;66;405;471;
Okuma yazma bilen fakat bir okul bitirmeyen;;120;292;412;
Ýlkokul;;2.369;3.054;5.423;
Ýlköðretim;;859;838;1.697;
Ortaokul veya dengi okul;;806;553;1.359;
Lise veya dengi okul;;2.093;1.448;3.541;
Yüksekokul veya fakülte;;918;712;1.630;
Yüksek lisans;;47;31;78;
Doktora;;8;3;11;
Bilinmeyen;;37;30;67;
Toplam;;7.323;7.366;14.689;
Vize;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;124;535;659;
Okuma yazma bilen fakat bir okul bitirmeyen;;275;582;857;
Ýlkokul;;4.049;4.723;8.772;
Ýlköðretim;;1.596;1.721;3.317;
Ortaokul veya dengi okul;;1.060;701;1.761;
Lise veya dengi okul;;2.828;1.786;4.614;
Yüksekokul veya fakülte;;1.205;1.001;2.206;
Yüksek lisans;;85;42;127;
Doktora;;9;8;17;
Bilinmeyen;;41;54;95;
Toplam;;11.272;11.153;22.425;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
