TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kýrýkkale;;;;;
Bahþili;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;46;206;252;
Okuma yazma bilen fakat bir okul bitirmeyen;;54;186;240;
Ýlkokul;;453;692;1.145;
Ýlköðretim;;431;533;964;
Ortaokul veya dengi okul;;337;258;595;
Lise veya dengi okul;;872;523;1.395;
Yüksekokul veya fakülte;;348;224;572;
Yüksek lisans;;40;11;51;
Doktora;;7;3;10;
Bilinmeyen;;5;6;11;
Toplam;;2.593;2.642;5.235;
Balýþeyh;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;25;275;300;
Okuma yazma bilen fakat bir okul bitirmeyen;;53;245;298;
Ýlkokul;;697;813;1.510;
Ýlköðretim;;365;307;672;
Ortaokul veya dengi okul;;333;186;519;
Lise veya dengi okul;;597;256;853;
Yüksekokul veya fakülte;;178;91;269;
Yüksek lisans;;7;1;8;
Doktora;;2;-;2;
Bilinmeyen;;7;4;11;
Toplam;;2.264;2.178;4.442;
Çelebi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;22;142;164;
Okuma yazma bilen fakat bir okul bitirmeyen;;54;152;206;
Ýlkokul;;259;299;558;
Ýlköðretim;;91;94;185;
Ortaokul veya dengi okul;;131;54;185;
Lise veya dengi okul;;267;100;367;
Yüksekokul veya fakülte;;87;49;136;
Yüksek lisans;;8;5;13;
Doktora;;0;0;0;
Bilinmeyen;;5;5;10;
Toplam;;924;900;1.824;
Delice;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;104;657;761;
Okuma yazma bilen fakat bir okul bitirmeyen;;217;591;808;
Ýlkokul;;1.072;1.234;2.306;
Ýlköðretim;;321;280;601;
Ortaokul veya dengi okul;;511;246;757;
Lise veya dengi okul;;749;327;1.076;
Yüksekokul veya fakülte;;254;116;370;
Yüksek lisans;;15;7;22;
Doktora;;1;1;2;
Bilinmeyen;;25;37;62;
Toplam;;3.269;3.496;6.765;
Karakeçili;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;26;226;252;
Okuma yazma bilen fakat bir okul bitirmeyen;;38;134;172;
Ýlkokul;;252;307;559;
Ýlköðretim;;149;167;316;
Ortaokul veya dengi okul;;213;120;333;
Lise veya dengi okul;;383;182;565;
Yüksekokul veya fakülte;;105;59;164;
Yüksek lisans;;4;-;4;
Doktora;;-;1;1;
Bilinmeyen;;4;6;10;
Toplam;;1.174;1.202;2.376;
Keskin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;156;1.130;1.286;
Okuma yazma bilen fakat bir okul bitirmeyen;;225;485;710;
Ýlkokul;;1.502;1.997;3.499;
Ýlköðretim;;960;770;1.730;
Ortaokul veya dengi okul;;932;492;1.424;
Lise veya dengi okul;;1.841;812;2.653;
Yüksekokul veya fakülte;;524;319;843;
Yüksek lisans;;40;6;46;
Doktora;;4;5;9;
Bilinmeyen;;15;23;38;
Toplam;;6.199;6.039;12.238;
Kýrýkkale Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;300;3.964;4.264;
Okuma yazma bilen fakat bir okul bitirmeyen;;753;3.819;4.572;
Ýlkokul;;9.402;21.491;30.893;
Ýlköðretim;;8.503;9.395;17.898;
Ortaokul veya dengi okul;;9.057;7.947;17.004;
Lise veya dengi okul;;27.884;17.908;45.792;
Yüksekokul veya fakülte;;13.811;9.683;23.494;
Yüksek lisans;;1.148;600;1.748;
Doktora;;218;96;314;
Bilinmeyen;;214;286;500;
Toplam;;71.290;75.189;146.479;
Sulakyurt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;71;546;617;
Okuma yazma bilen fakat bir okul bitirmeyen;;120;338;458;
Ýlkokul;;993;1.108;2.101;
Ýlköðretim;;392;276;668;
Ortaokul veya dengi okul;;381;151;532;
Lise veya dengi okul;;508;221;729;
Yüksekokul veya fakülte;;170;101;271;
Yüksek lisans;;10;4;14;
Doktora;;1;-;1;
Bilinmeyen;;13;10;23;
Toplam;;2.659;2.755;5.414;
Yahþihan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;20;261;281;
Okuma yazma bilen fakat bir okul bitirmeyen;;51;265;316;
Ýlkokul;;745;1.482;2.227;
Ýlköðretim;;630;683;1.313;
Ortaokul veya dengi okul;;711;556;1.267;
Lise veya dengi okul;;2.796;1.819;4.615;
Yüksekokul veya fakülte;;1.767;1.194;2.961;
Yüksek lisans;;266;202;468;
Doktora;;109;41;150;
Bilinmeyen;;14;11;25;
Toplam;;7.109;6.514;13.623;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
