TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kýrþehir;;;;;
Akçakent;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;53;341;394;
Okuma yazma bilen fakat bir okul bitirmeyen;;123;275;398;
Ýlkokul;;505;578;1.083;
Ýlköðretim;;227;121;348;
Ortaokul veya dengi okul;;183;126;309;
Lise veya dengi okul;;293;155;448;
Yüksekokul veya fakülte;;118;48;166;
Yüksek lisans;;7;1;8;
Doktora;;1;-;1;
Bilinmeyen;;7;9;16;
Toplam;;1.517;1.654;3.171;
Akpýnar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;29;396;425;
Okuma yazma bilen fakat bir okul bitirmeyen;;122;421;543;
Ýlkokul;;1.006;1.259;2.265;
Ýlköðretim;;418;279;697;
Ortaokul veya dengi okul;;446;208;654;
Lise veya dengi okul;;648;322;970;
Yüksekokul veya fakülte;;210;120;330;
Yüksek lisans;;15;8;23;
Doktora;;1;-;1;
Bilinmeyen;;26;21;47;
Toplam;;2.921;3.034;5.955;
Boztepe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;12;294;306;
Okuma yazma bilen fakat bir okul bitirmeyen;;65;289;354;
Ýlkokul;;603;759;1.362;
Ýlköðretim;;324;218;542;
Ortaokul veya dengi okul;;262;184;446;
Lise veya dengi okul;;679;327;1.006;
Yüksekokul veya fakülte;;210;115;325;
Yüksek lisans;;7;1;8;
Doktora;;0;0;0;
Bilinmeyen;;9;9;18;
Toplam;;2.171;2.196;4.367;
Çiçekdaðý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;76;513;589;
Okuma yazma bilen fakat bir okul bitirmeyen;;313;1.094;1.407;
Ýlkokul;;1.533;2.010;3.543;
Ýlköðretim;;768;643;1.411;
Ortaokul veya dengi okul;;738;422;1.160;
Lise veya dengi okul;;1.387;734;2.121;
Yüksekokul veya fakülte;;514;297;811;
Yüksek lisans;;35;19;54;
Doktora;;2;3;5;
Bilinmeyen;;22;23;45;
Toplam;;5.388;5.758;11.146;
Kaman;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;120;1.434;1.554;
Okuma yazma bilen fakat bir okul bitirmeyen;;392;1.109;1.501;
Ýlkokul;;3.799;4.986;8.785;
Ýlköðretim;;1.839;1.651;3.490;
Ortaokul veya dengi okul;;1.831;1.220;3.051;
Lise veya dengi okul;;3.507;2.457;5.964;
Yüksekokul veya fakülte;;1.599;1.008;2.607;
Yüksek lisans;;107;61;168;
Doktora;;25;11;36;
Bilinmeyen;;132;149;281;
Toplam;;13.351;14.086;27.437;
Kýrþehir Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;329;2.956;3.285;
Okuma yazma bilen fakat bir okul bitirmeyen;;662;2.365;3.027;
Ýlkokul;;7.900;14.394;22.294;
Ýlköðretim;;7.056;5.467;12.523;
Ortaokul veya dengi okul;;4.816;4.355;9.171;
Lise veya dengi okul;;15.223;12.080;27.303;
Yüksekokul veya fakülte;;10.482;8.182;18.664;
Yüksek lisans;;940;580;1.520;
Doktora;;369;181;550;
Bilinmeyen;;451;430;881;
Toplam;;48.228;50.990;99.218;
Mucur;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;33;321;354;
Okuma yazma bilen fakat bir okul bitirmeyen;;147;540;687;
Ýlkokul;;1.741;2.908;4.649;
Ýlköðretim;;904;853;1.757;
Ortaokul veya dengi okul;;928;618;1.546;
Lise veya dengi okul;;2.227;1.356;3.583;
Yüksekokul veya fakülte;;900;562;1.462;
Yüksek lisans;;44;29;73;
Doktora;;6;5;11;
Bilinmeyen;;43;33;76;
Toplam;;6.973;7.225;14.198;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
