TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Malatya;;;;;
Akçadað;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;309;1.821;2.130;
Okuma yazma bilen fakat bir okul bitirmeyen;;434;1.016;1.450;
Ýlkokul;;2.527;3.062;5.589;
Ýlköðretim;;1.531;1.004;2.535;
Ortaokul veya dengi okul;;1.422;731;2.153;
Lise veya dengi okul;;3.150;1.706;4.856;
Yüksekokul veya fakülte;;1.075;695;1.770;
Yüksek lisans;;48;18;66;
Doktora;;4;1;5;
Bilinmeyen;;120;130;250;
Toplam;;10.620;10.184;20.804;
Arapgir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;186;818;1.004;
Okuma yazma bilen fakat bir okul bitirmeyen;;194;336;530;
Ýlkokul;;1.452;1.441;2.893;
Ýlköðretim;;466;403;869;
Ortaokul veya dengi okul;;425;297;722;
Lise veya dengi okul;;851;545;1.396;
Yüksekokul veya fakülte;;439;287;726;
Yüksek lisans;;42;17;59;
Doktora;;10;2;12;
Bilinmeyen;;17;34;51;
Toplam;;4.082;4.180;8.262;
Arguvan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;178;875;1.053;
Okuma yazma bilen fakat bir okul bitirmeyen;;157;301;458;
Ýlkokul;;1.093;1.009;2.102;
Ýlköðretim;;387;209;596;
Ortaokul veya dengi okul;;420;245;665;
Lise veya dengi okul;;673;386;1.059;
Yüksekokul veya fakülte;;230;165;395;
Yüksek lisans;;14;4;18;
Doktora;;2;2;4;
Bilinmeyen;;16;17;33;
Toplam;;3.170;3.213;6.383;
Battalgazi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.755;11.031;12.786;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.230;6.556;8.786;
Ýlkokul;;14.511;26.242;40.753;
Ýlköðretim;;17.400;12.587;29.987;
Ortaokul veya dengi okul;;12.553;8.726;21.279;
