TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Manisa;;;;;
Ahmetli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;56;233;289;
Okuma yazma bilen fakat bir okul bitirmeyen;;325;885;1.210;
Ýlkokul;;2.174;2.815;4.989;
Ýlköðretim;;1.190;717;1.907;
Ortaokul veya dengi okul;;631;366;997;
Lise veya dengi okul;;1.266;891;2.157;
Yüksekokul veya fakülte;;598;465;1.063;
Yüksek lisans;;19;14;33;
Doktora;;4;3;7;
Bilinmeyen;;9;17;26;
Toplam;;6.272;6.406;12.678;
Akhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;396;2.634;3.030;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.286;6.113;8.399;
Ýlkokul;;21.214;25.761;46.975;
Ýlköðretim;;10.150;7.147;17.297;
Ortaokul veya dengi okul;;6.498;4.873;11.371;
Lise veya dengi okul;;13.227;11.922;25.149;
Yüksekokul veya fakülte;;9.034;7.428;16.462;
Yüksek lisans;;553;420;973;
Doktora;;87;53;140;
Bilinmeyen;;137;149;286;
Toplam;;63.582;66.500;130.082;
Alaþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;450;2.750;3.200;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.307;3.216;4.523;
Ýlkokul;;14.039;16.053;30.092;
Ýlköðretim;;5.409;4.575;9.984;
Ortaokul veya dengi okul;;3.750;2.298;6.048;
Lise veya dengi okul;;7.794;6.107;13.901;
Yüksekokul veya fakülte;;4.339;3.198;7.537;
Yüksek lisans;;240;152;392;
Doktora;;18;22;40;
Bilinmeyen;;53;57;110;
Toplam;;37.399;38.428;75.827;
Demirci;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;127;824;951;
Okuma yazma bilen fakat bir okul bitirmeyen;;564;1.485;2.049;
Ýlkokul;;5.892;7.167;13.059;
Ýlköðretim;;1.790;2.127;3.917;
Ortaokul veya dengi okul;;1.544;706;2.250;
Lise veya dengi okul;;2.850;2.016;4.866;
Yüksekokul veya fakülte;;1.635;1.297;2.932;
Yüksek lisans;;103;63;166;
Doktora;;37;17;54;
Bilinmeyen;;8;14;22;
Toplam;;14.550;15.716;30.266;
Gölmarmara;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;106;540;646;
Okuma yazma bilen fakat bir okul bitirmeyen;;266;690;956;
Ýlkokul;;2.346;2.336;4.682;
Ýlköðretim;;1.075;754;1.829;
Ortaokul veya dengi okul;;532;304;836;
Lise veya dengi okul;;827;735;1.562;
Yüksekokul veya fakülte;;421;352;773;
Yüksek lisans;;17;15;32;
Doktora;;3;2;5;
Bilinmeyen;;8;4;12;
Toplam;;5.601;5.732;11.333;
Gördes;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;110;441;551;
Okuma yazma bilen fakat bir okul bitirmeyen;;651;1.830;2.481;
Ýlkokul;;4.711;5.672;10.383;
Ýlköðretim;;1.468;1.254;2.722;
Ortaokul veya dengi okul;;1.006;571;1.577;
Lise veya dengi okul;;1.827;1.271;3.098;
Yüksekokul veya fakülte;;1.070;715;1.785;
Yüksek lisans;;74;52;126;
Doktora;;10;5;15;
Bilinmeyen;;13;8;21;
Toplam;;10.940;11.819;22.759;
Kýrkaðaç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;150;794;944;
Okuma yazma bilen fakat bir okul bitirmeyen;;527;1.152;1.679;
Ýlkokul;;5.466;7.621;13.087;
Ýlköðretim;;2.552;1.757;4.309;
Ortaokul veya dengi okul;;1.287;794;2.081;
Lise veya dengi okul;;2.762;1.806;4.568;
Yüksekokul veya fakülte;;1.419;1.003;2.422;
Yüksek lisans;;71;52;123;
Doktora;;9;7;16;
Bilinmeyen;;12;15;27;
Toplam;;14.255;15.001;29.256;
Köprübaþý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;44;369;413;
Okuma yazma bilen fakat bir okul bitirmeyen;;242;693;935;
Ýlkokul;;2.158;2.793;4.951;
Ýlköðretim;;653;376;1.029;
Ortaokul veya dengi okul;;580;287;867;
Lise veya dengi okul;;1.007;663;1.670;
Yüksekokul veya fakülte;;562;375;937;
Yüksek lisans;;35;16;51;
Doktora;;1;6;7;
Bilinmeyen;;3;4;7;
Toplam;;5.285;5.582;10.867;
Kula;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;163;904;1.067;
Okuma yazma bilen fakat bir okul bitirmeyen;;609;1.739;2.348;
Ýlkokul;;6.933;7.799;14.732;
Ýlköðretim;;2.706;2.359;5.065;
Ortaokul veya dengi okul;;1.447;932;2.379;
Lise veya dengi okul;;3.096;2.498;5.594;
Yüksekokul veya fakülte;;1.749;1.451;3.200;
Yüksek lisans;;126;82;208;
Doktora;;26;15;41;
Bilinmeyen;;30;39;69;
Toplam;;16.885;17.818;34.703;
Salihli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;510;3.190;3.700;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.651;4.742;6.393;
Ýlkokul;;19.939;24.924;44.863;
Ýlköðretim;;9.443;7.163;16.606;
Ortaokul veya dengi okul;;5.700;4.391;10.091;
Lise veya dengi okul;;13.184;11.152;24.336;
Yüksekokul veya fakülte;;8.882;7.419;16.301;
Yüksek lisans;;642;437;1.079;
Doktora;;108;60;168;
Bilinmeyen;;186;178;364;
Toplam;;60.245;63.656;123.901;
Sarýgöl;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;60;268;328;
Okuma yazma bilen fakat bir okul bitirmeyen;;495;1.707;2.202;
Ýlkokul;;5.916;6.820;12.736;
Ýlköðretim;;2.083;1.981;4.064;
Ortaokul veya dengi okul;;1.392;810;2.202;
Lise veya dengi okul;;2.554;1.886;4.440;
Yüksekokul veya fakülte;;1.288;966;2.254;
Yüksek lisans;;63;40;103;
Doktora;;6;5;11;
Bilinmeyen;;29;25;54;
Toplam;;13.886;14.508;28.394;
Saruhanlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;167;1.010;1.177;
Okuma yazma bilen fakat bir okul bitirmeyen;;608;1.829;2.437;
Ýlkokul;;8.023;10.300;18.323;
Ýlköðretim;;3.934;2.896;6.830;
Ortaokul veya dengi okul;;2.188;1.257;3.445;
Lise veya dengi okul;;3.849;2.546;6.395;
Yüksekokul veya fakülte;;1.759;1.302;3.061;
Yüksek lisans;;92;56;148;
Doktora;;13;9;22;
Bilinmeyen;;33;33;66;
Toplam;;20.666;21.238;41.904;
Selendi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;70;453;523;
Okuma yazma bilen fakat bir okul bitirmeyen;;433;1.218;1.651;
Ýlkokul;;3.173;3.728;6.901;
Ýlköðretim;;1.136;1.003;2.139;
Ortaokul veya dengi okul;;693;312;1.005;
Lise veya dengi okul;;1.569;896;2.465;
Yüksekokul veya fakülte;;690;540;1.230;
Yüksek lisans;;62;21;83;
Doktora;;4;8;12;
Bilinmeyen;;7;9;16;
Toplam;;7.837;8.188;16.025;
Soma;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;187;1.133;1.320;
Okuma yazma bilen fakat bir okul bitirmeyen;;831;2.017;2.848;
Ýlkokul;;8.670;16.027;24.697;
Ýlköðretim;;8.542;5.802;14.344;
Ortaokul veya dengi okul;;4.188;3.058;7.246;
Lise veya dengi okul;;10.800;7.534;18.334;
Yüksekokul veya fakülte;;5.800;4.537;10.337;
Yüksek lisans;;303;208;511;
Doktora;;29;29;58;
Bilinmeyen;;70;85;155;
Toplam;;39.420;40.430;79.850;
Þehzadeler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;360;2.784;3.144;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.044;3.375;4.419;
Ýlkokul;;12.243;18.958;31.201;
Ýlköðretim;;12.099;9.025;21.124;
Ortaokul veya dengi okul;;5.889;4.639;10.528;
Lise veya dengi okul;;16.432;13.372;29.804;
Yüksekokul veya fakülte;;10.023;8.326;18.349;
Yüksek lisans;;647;491;1.138;
Doktora;;170;89;259;
Bilinmeyen;;126;147;273;
Toplam;;59.033;61.206;120.239;
Turgutlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;391;2.334;2.725;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.565;4.733;6.298;
Ýlkokul;;16.333;20.653;36.986;
Ýlköðretim;;11.373;9.069;20.442;
Ortaokul veya dengi okul;;5.284;3.707;8.991;
Lise veya dengi okul;;14.200;11.485;25.685;
Yüksekokul veya fakülte;;8.027;6.501;14.528;
Yüksek lisans;;489;352;841;
Doktora;;84;38;122;
Bilinmeyen;;107;97;204;
Toplam;;57.853;58.969;116.822;
Yunusemre;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;584;3.696;4.280;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.572;3.905;5.477;
Ýlkokul;;14.649;22.173;36.822;
Ýlköðretim;;15.204;12.017;27.221;
Ortaokul veya dengi okul;;7.181;5.586;12.767;
Lise veya dengi okul;;22.342;18.112;40.454;
Yüksekokul veya fakülte;;15.729;13.422;29.151;
Yüksek lisans;;1.387;1.179;2.566;
Doktora;;424;233;657;
Bilinmeyen;;159;168;327;
Toplam;;79.231;80.491;159.722;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
