TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Mardin;;;;;
Artuklu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.162;6.633;7.795;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.502;5.369;6.871;
Ýlkokul;;6.117;8.232;14.349;
Ýlköðretim;;10.001;8.783;18.784;
Ortaokul veya dengi okul;;5.104;3.315;8.419;
Lise veya dengi okul;;13.799;10.313;24.112;
Yüksekokul veya fakülte;;10.350;6.969;17.319;
Yüksek lisans;;1.071;486;1.557;
Doktora;;192;69;261;
Bilinmeyen;;394;592;986;
Toplam;;49.692;50.761;100.453;
Dargeçit;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;527;2.356;2.883;
Okuma yazma bilen fakat bir okul bitirmeyen;;517;1.299;1.816;
Ýlkokul;;1.181;955;2.136;
Ýlköðretim;;1.546;1.183;2.729;
Ortaokul veya dengi okul;;756;357;1.113;
Lise veya dengi okul;;1.710;1.285;2.995;
Yüksekokul veya fakülte;;1.044;704;1.748;
Yüksek lisans;;53;23;76;
Doktora;;2;1;3;
Bilinmeyen;;69;122;191;
Toplam;;7.405;8.285;15.690;
Derik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;840;4.637;5.477;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.674;3.814;5.488;
Ýlkokul;;3.809;2.866;6.675;
Ýlköðretim;;4.049;2.817;6.866;
Ortaokul veya dengi okul;;1.604;831;2.435;
Lise veya dengi okul;;3.104;1.611;4.715;
Yüksekokul veya fakülte;;1.393;722;2.115;
Yüksek lisans;;96;31;127;
Doktora;;2;4;6;
Bilinmeyen;;107;207;314;
Toplam;;16.678;17.540;34.218;
Kýzýltepe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2.144;14.311;16.455;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.472;10.796;14.268;
Ýlkokul;;13.493;14.809;28.302;
Ýlköðretim;;15.483;12.092;27.575;
Ortaokul veya dengi okul;;7.614;3.588;11.202;
Lise veya dengi okul;;16.750;9.472;26.222;
Yüksekokul veya fakülte;;9.457;4.993;14.450;
Yüksek lisans;;629;177;806;
Doktora;;32;20;52;
Bilinmeyen;;709;1.187;1.896;
Toplam;;69.783;71.445;141.228;
Mazýdaðý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;444;2.482;2.926;
Okuma yazma bilen fakat bir okul bitirmeyen;;676;2.120;2.796;
Ýlkokul;;1.690;1.856;3.546;
Ýlköðretim;;2.810;1.309;4.119;
Ortaokul veya dengi okul;;883;458;1.341;
Lise veya dengi okul;;2.166;1.065;3.231;
Yüksekokul veya fakülte;;1.139;585;1.724;
Yüksek lisans;;52;16;68;
Doktora;;4;3;7;
Bilinmeyen;;31;65;96;
Toplam;;9.895;9.959;19.854;
Midyat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.390;6.237;7.627;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.965;4.781;6.746;
Ýlkokul;;5.380;6.314;11.694;
Ýlköðretim;;5.883;5.112;10.995;
Ortaokul veya dengi okul;;2.971;1.860;4.831;
Lise veya dengi okul;;8.632;5.650;14.282;
Yüksekokul veya fakülte;;4.561;2.549;7.110;
Yüksek lisans;;284;105;389;
Doktora;;27;14;41;
Bilinmeyen;;715;959;1.674;
Toplam;;31.808;33.581;65.389;
Nusaybin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.588;7.268;8.856;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.799;3.972;5.771;
Ýlkokul;;4.644;4.787;9.431;
Ýlköðretim;;5.518;5.031;10.549;
Ortaokul veya dengi okul;;3.335;1.723;5.058;
Lise veya dengi okul;;7.935;5.648;13.583;
Yüksekokul veya fakülte;;3.483;2.418;5.901;
Yüksek lisans;;258;83;341;
Doktora;;13;3;16;
Bilinmeyen;;524;758;1.282;
Toplam;;29.097;31.691;60.788;
Ömerli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;272;982;1.254;
Okuma yazma bilen fakat bir okul bitirmeyen;;258;595;853;
Ýlkokul;;939;834;1.773;
Ýlköðretim;;950;711;1.661;
Ortaokul veya dengi okul;;411;221;632;
Lise veya dengi okul;;1.028;571;1.599;
Yüksekokul veya fakülte;;410;221;631;
Yüksek lisans;;24;10;34;
Doktora;;-;2;2;
Bilinmeyen;;99;99;198;
Toplam;;4.391;4.246;8.637;
Savur;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;550;2.155;2.705;
Okuma yazma bilen fakat bir okul bitirmeyen;;806;1.577;2.383;
Ýlkokul;;1.969;1.628;3.597;
Ýlköðretim;;1.728;1.198;2.926;
Ortaokul veya dengi okul;;741;430;1.171;
Lise veya dengi okul;;1.235;673;1.908;
Yüksekokul veya fakülte;;537;293;830;
Yüksek lisans;;22;8;30;
Doktora;;5;2;7;
Bilinmeyen;;142;145;287;
Toplam;;7.735;8.109;15.844;
Yeþilli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;149;899;1.048;
Okuma yazma bilen fakat bir okul bitirmeyen;;159;519;678;
Ýlkokul;;876;849;1.725;
Ýlköðretim;;1.149;904;2.053;
Ortaokul veya dengi okul;;578;249;827;
Lise veya dengi okul;;975;475;1.450;
Yüksekokul veya fakülte;;420;168;588;
Yüksek lisans;;13;6;19;
Doktora;;2;-;2;
Bilinmeyen;;36;18;54;
Toplam;;4.357;4.087;8.444;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
