TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Mersin;;;;;
Akdeniz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.352;7.293;8.645;
Okuma yazma bilen fakat bir okul bitirmeyen;;5.035;13.953;18.988;
Ýlkokul;;19.918;24.716;44.634;
Ýlköðretim;;21.384;13.898;35.282;
Ortaokul veya dengi okul;;9.930;6.696;16.626;
Lise veya dengi okul;;20.338;15.354;35.692;
Yüksekokul veya fakülte;;7.724;6.380;14.104;
Yüksek lisans;;339;219;558;
Doktora;;66;48;114;
Bilinmeyen;;645;719;1.364;
Toplam;;86.731;89.276;176.007;
Anamur;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;121;380;501;
Okuma yazma bilen fakat bir okul bitirmeyen;;853;2.706;3.559;
Ýlkokul;;6.865;8.362;15.227;
Ýlköðretim;;3.232;2.408;5.640;
Ortaokul veya dengi okul;;2.497;1.876;4.373;
Lise veya dengi okul;;6.381;5.732;12.113;
Yüksekokul veya fakülte;;4.447;3.823;8.270;
Yüksek lisans;;312;223;535;
Doktora;;37;30;67;
Bilinmeyen;;67;55;122;
Toplam;;24.812;25.595;50.407;
Aydýncýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;23;121;144;
Okuma yazma bilen fakat bir okul bitirmeyen;;174;530;704;
Ýlkokul;;1.057;1.490;2.547;
Ýlköðretim;;627;509;1.136;
Ortaokul veya dengi okul;;579;345;924;
Lise veya dengi okul;;1.083;785;1.868;
Yüksekokul veya fakülte;;630;417;1.047;
Yüksek lisans;;43;19;62;
Doktora;;4;5;9;
Bilinmeyen;;3;8;11;
Toplam;;4.223;4.229;8.452;
Bozyazý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;36;180;216;
Okuma yazma bilen fakat bir okul bitirmeyen;;393;1.330;1.723;
Ýlkokul;;3.517;3.926;7.443;
Ýlköðretim;;1.305;926;2.231;
Ortaokul veya dengi okul;;898;651;1.549;
Lise veya dengi okul;;2.389;1.993;4.382;
Yüksekokul veya fakülte;;1.407;1.161;2.568;
Yüksek lisans;;81;50;131;
Doktora;;7;3;10;
Bilinmeyen;;23;29;52;
Toplam;;10.056;10.249;20.305;
Çamlýyayla;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;64;211;275;
Okuma yazma bilen fakat bir okul bitirmeyen;;123;421;544;
Ýlkokul;;1.389;1.400;2.789;
Ýlköðretim;;525;382;907;
Ortaokul veya dengi okul;;301;196;497;
Lise veya dengi okul;;652;406;1.058;
Yüksekokul veya fakülte;;331;209;540;
Yüksek lisans;;10;10;20;
Doktora;;1;2;3;
Bilinmeyen;;-;6;6;
Toplam;;3.396;3.243;6.639;
Erdemli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;238;1.594;1.832;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.234;3.589;4.823;
Ýlkokul;;13.636;17.811;31.447;
Ýlköðretim;;7.496;6.105;13.601;
Ortaokul veya dengi okul;;5.081;3.878;8.959;
Lise veya dengi okul;;13.313;10.996;24.309;
Yüksekokul veya fakülte;;7.614;6.477;14.091;
Yüksek lisans;;451;285;736;
Doktora;;78;54;132;
Bilinmeyen;;243;272;515;
Toplam;;49.384;51.061;100.445;
Gülnar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;51;290;341;
Okuma yazma bilen fakat bir okul bitirmeyen;;429;1.284;1.713;
Ýlkokul;;2.959;4.084;7.043;
Ýlköðretim;;1.332;1.159;2.491;
Ortaokul veya dengi okul;;1.171;777;1.948;
Lise veya dengi okul;;2.498;1.582;4.080;
Yüksekokul veya fakülte;;1.183;753;1.936;
Yüksek lisans;;69;24;93;
Doktora;;11;2;13;
Bilinmeyen;;13;17;30;
Toplam;;9.716;9.972;19.688;
Mezitli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;219;1.491;1.710;
Okuma yazma bilen fakat bir okul bitirmeyen;;777;2.646;3.423;
Ýlkokul;;8.451;13.845;22.296;
Ýlköðretim;;6.060;5.347;11.407;
Ortaokul veya dengi okul;;5.394;5.614;11.008;
Lise veya dengi okul;;20.948;21.178;42.126;
Yüksekokul veya fakülte;;18.791;17.398;36.189;
Yüksek lisans;;1.676;1.440;3.116;
Doktora;;438;339;777;
Bilinmeyen;;1.074;1.086;2.160;
Toplam;;63.828;70.384;134.212;
Mut;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;60;341;401;
Okuma yazma bilen fakat bir okul bitirmeyen;;816;2.353;3.169;
Ýlkokul;;7.975;9.752;17.727;
Ýlköðretim;;3.899;3.362;7.261;
Ortaokul veya dengi okul;;2.416;1.816;4.232;
Lise veya dengi okul;;4.717;3.696;8.413;
Yüksekokul veya fakülte;;2.742;2.092;4.834;
Yüksek lisans;;176;85;261;
Doktora;;13;12;25;
Bilinmeyen;;39;41;80;
Toplam;;22.853;23.550;46.403;
Silifke;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;140;857;997;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.026;3.363;4.389;
Ýlkokul;;12.809;17.215;30.024;
Ýlköðretim;;6.306;5.120;11.426;
Ortaokul veya dengi okul;;4.614;3.354;7.968;
Lise veya dengi okul;;11.155;9.182;20.337;
Yüksekokul veya fakülte;;7.798;6.367;14.165;
Yüksek lisans;;500;327;827;
Doktora;;86;53;139;
Bilinmeyen;;231;237;468;
Toplam;;44.665;46.075;90.740;
Tarsus;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.258;6.812;8.070;
Okuma yazma bilen fakat bir okul bitirmeyen;;4.637;13.677;18.314;
