TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Muðla;;;;;
Bodrum;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;230;1.326;1.556;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.085;2.006;3.091;
Ýlkokul;;12.306;14.425;26.731;
Ýlköðretim;;8.712;5.459;14.171;
Ortaokul veya dengi okul;;6.517;4.712;11.229;
Lise veya dengi okul;;19.501;18.128;37.629;
Yüksekokul veya fakülte;;14.987;15.530;30.517;
Yüksek lisans;;1.418;1.337;2.755;
Doktora;;339;225;564;
Bilinmeyen;;1.316;1.413;2.729;
Toplam;;66.411;64.561;130.972;
Dalaman;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;57;407;464;
Okuma yazma bilen fakat bir okul bitirmeyen;;200;679;879;
Ýlkokul;;3.144;4.479;7.623;
Ýlköðretim;;2.137;1.468;3.605;
Ortaokul veya dengi okul;;1.367;1.207;2.574;
Lise veya dengi okul;;4.128;3.410;7.538;
Yüksekokul veya fakülte;;3.008;2.426;5.434;
Yüksek lisans;;161;120;281;
Doktora;;16;12;28;
Bilinmeyen;;49;68;117;
Toplam;;14.267;14.276;28.543;
Datça;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;30;167;197;
Okuma yazma bilen fakat bir okul bitirmeyen;;144;318;462;
Ýlkokul;;2.127;2.476;4.603;
Ýlköðretim;;838;635;1.473;
Ortaokul veya dengi okul;;796;641;1.437;
Lise veya dengi okul;;2.420;2.393;4.813;
Yüksekokul veya fakülte;;2.417;2.142;4.559;
Yüksek lisans;;205;177;382;
Doktora;;61;39;100;
Bilinmeyen;;216;179;395;
Toplam;;9.254;9.167;18.421;
Fethiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;183;1.318;1.501;
Okuma yazma bilen fakat bir okul bitirmeyen;;472;1.389;1.861;
Ýlkokul;;12.800;17.559;30.359;
Ýlköðretim;;8.122;5.936;14.058;
Ortaokul veya dengi okul;;5.778;4.400;10.178;
Lise veya dengi okul;;15.922;13.832;29.754;
Yüksekokul veya fakülte;;11.983;11.339;23.322;
Yüksek lisans;;861;683;1.544;
Doktora;;157;130;287;
Bilinmeyen;;560;610;1.170;
Toplam;;56.838;57.196;114.034;
Kavaklýdere;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;30;241;271;
Okuma yazma bilen fakat bir okul bitirmeyen;;96;271;367;
Ýlkokul;;1.615;1.787;3.402;
Ýlköðretim;;936;736;1.672;
Ortaokul veya dengi okul;;379;351;730;
