TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Muþ;;;;;
Bulanýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;905;5.722;6.627;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.829;5.190;8.019;
Ýlkokul;;6.036;4.165;10.201;
Ýlköðretim;;4.799;2.449;7.248;
Ortaokul veya dengi okul;;2.347;1.146;3.493;
Lise veya dengi okul;;3.418;1.802;5.220;
Yüksekokul veya fakülte;;1.655;1.120;2.775;
Yüksek lisans;;108;53;161;
Doktora;;13;5;18;
Bilinmeyen;;122;358;480;
Toplam;;22.232;22.010;44.242;
Hasköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;216;1.292;1.508;
Okuma yazma bilen fakat bir okul bitirmeyen;;304;1.288;1.592;
Ýlkokul;;1.099;1.272;2.371;
Ýlköðretim;;1.988;1.590;3.578;
Ortaokul veya dengi okul;;954;535;1.489;
Lise veya dengi okul;;1.743;835;2.578;
Yüksekokul veya fakülte;;630;289;919;
Yüksek lisans;;23;10;33;
Doktora;;1;1;2;
Bilinmeyen;;16;72;88;
Toplam;;6.974;7.184;14.158;
Korkut;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;318;1.647;1.965;
Okuma yazma bilen fakat bir okul bitirmeyen;;875;1.817;2.692;
Ýlkokul;;1.314;1.053;2.367;
Ýlköðretim;;1.812;1.260;3.072;
Ortaokul veya dengi okul;;952;385;1.337;
Lise veya dengi okul;;1.242;522;1.764;
Yüksekokul veya fakülte;;476;173;649;
Yüksek lisans;;27;8;35;
Doktora;;4;3;7;
Bilinmeyen;;17;59;76;
Toplam;;7.037;6.927;13.964;
Malazgirt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;504;2.952;3.456;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.670;3.164;4.834;
Ýlkokul;;3.695;3.059;6.754;
Ýlköðretim;;3.009;1.857;4.866;
Ortaokul veya dengi okul;;1.463;736;2.199;
Lise veya dengi okul;;2.433;1.136;3.569;
Yüksekokul veya fakülte;;1.155;634;1.789;
Yüksek lisans;;74;26;100;
Doktora;;3;3;6;
Bilinmeyen;;98;195;293;
Toplam;;14.104;13.762;27.866;
Muþ Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.581;8.502;10.083;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.676;10.675;14.351;
Ýlkokul;;7.050;8.972;16.022;
Ýlköðretim;;11.720;9.088;20.808;
Ortaokul veya dengi okul;;6.006;3.251;9.257;
Lise veya dengi okul;;14.680;7.194;21.874;
Yüksekokul veya fakülte;;9.098;4.621;13.719;
Yüksek lisans;;709;275;984;
Doktora;;243;58;301;
Bilinmeyen;;208;554;762;
Toplam;;54.971;53.190;108.161;
Varto;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;563;2.185;2.748;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.012;1.992;3.004;
Ýlkokul;;2.292;1.980;4.272;
Ýlköðretim;;1.967;1.825;3.792;
Ortaokul veya dengi okul;;1.029;528;1.557;
Lise veya dengi okul;;1.976;963;2.939;
Yüksekokul veya fakülte;;917;517;1.434;
Yüksek lisans;;64;22;86;
Doktora;;4;3;7;
Bilinmeyen;;153;155;308;
Toplam;;9.977;10.170;20.147;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
