TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Nevþehir;;;;;
Acýgöl;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;96;962;1.058;
Okuma yazma bilen fakat bir okul bitirmeyen;;192;465;657;
Ýlkokul;;2.510;2.734;5.244;
Ýlköðretim;;1.919;1.307;3.226;
Ortaokul veya dengi okul;;721;408;1.129;
Lise veya dengi okul;;1.036;668;1.704;
Yüksekokul veya fakülte;;312;201;513;
Yüksek lisans;;12;3;15;
Doktora;;2;5;7;
Bilinmeyen;;17;21;38;
Toplam;;6.817;6.774;13.591;
Avanos;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;98;789;887;
Okuma yazma bilen fakat bir okul bitirmeyen;;224;1.022;1.246;
Ýlkokul;;3.104;4.650;7.754;
Ýlköðretim;;1.960;1.581;3.541;
Ortaokul veya dengi okul;;1.616;1.090;2.706;
Lise veya dengi okul;;3.330;2.266;5.596;
Yüksekokul veya fakülte;;1.483;1.180;2.663;
Yüksek lisans;;80;60;140;
Doktora;;19;20;39;
Bilinmeyen;;133;130;263;
Toplam;;12.047;12.788;24.835;
Derinkuyu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;53;737;790;
Okuma yazma bilen fakat bir okul bitirmeyen;;168;560;728;
Ýlkokul;;2.604;2.969;5.573;
Ýlköðretim;;1.780;1.493;3.273;
Ortaokul veya dengi okul;;704;477;1.181;
Lise veya dengi okul;;1.358;913;2.271;
Yüksekokul veya fakülte;;405;308;713;
Yüksek lisans;;36;13;49;
Doktora;;7;2;9;
Bilinmeyen;;18;19;37;
Toplam;;7.133;7.491;14.624;
Gülþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;61;671;732;
Okuma yazma bilen fakat bir okul bitirmeyen;;208;696;904;
Ýlkokul;;2.224;3.478;5.702;
Ýlköðretim;;1.358;1.217;2.575;
Ortaokul veya dengi okul;;1.041;653;1.694;
Lise veya dengi okul;;1.903;1.190;3.093;
Yüksekokul veya fakülte;;790;588;1.378;
Yüksek lisans;;47;28;75;
Doktora;;8;3;11;
Bilinmeyen;;162;128;290;
Toplam;;7.802;8.652;16.454;
Hacýbektaþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;40;411;451;
Okuma yazma bilen fakat bir okul bitirmeyen;;98;342;440;
Ýlkokul;;1.428;2.068;3.496;
Ýlköðretim;;492;400;892;
Ortaokul veya dengi okul;;540;291;831;
Lise veya dengi okul;;1.233;776;2.009;
Yüksekokul veya fakülte;;489;354;843;
Yüksek lisans;;25;17;42;
Doktora;;8;10;18;
Bilinmeyen;;71;75;146;
Toplam;;4.424;4.744;9.168;
Kozaklý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;46;423;469;
Okuma yazma bilen fakat bir okul bitirmeyen;;93;420;513;
Ýlkokul;;1.676;2.517;4.193;
Ýlköðretim;;693;635;1.328;
Ortaokul veya dengi okul;;627;369;996;
Lise veya dengi okul;;1.401;729;2.130;
Yüksekokul veya fakülte;;554;397;951;
Yüksek lisans;;45;20;65;
Doktora;;7;6;13;
Bilinmeyen;;65;73;138;
Toplam;;5.207;5.589;10.796;
Nevþehir Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;212;2.367;2.579;
Okuma yazma bilen fakat bir okul bitirmeyen;;557;1.935;2.492;
Ýlkokul;;8.352;13.457;21.809;
Ýlköðretim;;8.238;7.012;15.250;
Ortaokul veya dengi okul;;4.828;4.135;8.963;
Lise veya dengi okul;;13.533;11.131;24.664;
Yüksekokul veya fakülte;;8.890;7.399;16.289;
Yüksek lisans;;867;582;1.449;
Doktora;;272;185;457;
Bilinmeyen;;207;243;450;
Toplam;;45.956;48.446;94.402;
Ürgüp;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;42;564;606;
Okuma yazma bilen fakat bir okul bitirmeyen;;221;979;1.200;
Ýlkokul;;3.500;5.161;8.661;
Ýlköðretim;;1.789;1.509;3.298;
Ortaokul veya dengi okul;;1.496;944;2.440;
Lise veya dengi okul;;3.725;2.727;6.452;
Yüksekokul veya fakülte;;1.844;1.647;3.491;
Yüksek lisans;;115;99;214;
Doktora;;40;37;77;
Bilinmeyen;;104;107;211;
Toplam;;12.876;13.774;26.650;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
