TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Niðde;;;;;
Altunhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;99;810;909;
Okuma yazma bilen fakat bir okul bitirmeyen;;174;601;775;
Ýlkokul;;1.485;1.615;3.100;
Ýlköðretim;;965;744;1.709;
Ortaokul veya dengi okul;;537;310;847;
Lise veya dengi okul;;629;400;1.029;
Yüksekokul veya fakülte;;209;163;372;
Yüksek lisans;;15;5;20;
Doktora;;1;1;2;
Bilinmeyen;;19;15;34;
Toplam;;4.133;4.664;8.797;
Bor;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;158;1.565;1.723;
Okuma yazma bilen fakat bir okul bitirmeyen;;379;1.374;1.753;
Ýlkokul;;4.636;6.668;11.304;
Ýlköðretim;;4.181;3.847;8.028;
Ortaokul veya dengi okul;;2.478;1.922;4.400;
Lise veya dengi okul;;5.780;4.637;10.417;
Yüksekokul veya fakülte;;2.984;2.388;5.372;
Yüksek lisans;;206;112;318;
Doktora;;64;24;88;
Bilinmeyen;;56;46;102;
Toplam;;20.922;22.583;43.505;
Çamardý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;98;665;763;
Okuma yazma bilen fakat bir okul bitirmeyen;;162;409;571;
Ýlkokul;;1.598;2.007;3.605;
Ýlköðretim;;724;680;1.404;
Ortaokul veya dengi okul;;567;347;914;
Lise veya dengi okul;;905;549;1.454;
Yüksekokul veya fakülte;;400;236;636;
Yüksek lisans;;29;10;39;
Doktora;;4;3;7;
Bilinmeyen;;8;7;15;
Toplam;;4.495;4.913;9.408;
Çiftlik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;85;882;967;
Okuma yazma bilen fakat bir okul bitirmeyen;;360;995;1.355;
Ýlkokul;;2.869;3.284;6.153;
Ýlköðretim;;2.593;1.971;4.564;
Ortaokul veya dengi okul;;998;458;1.456;
Lise veya dengi okul;;1.351;671;2.022;
Yüksekokul veya fakülte;;373;266;639;
Yüksek lisans;;33;7;40;
Doktora;;8;4;12;
Bilinmeyen;;26;27;53;
Toplam;;8.696;8.565;17.261;
Niðde Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;402;5.142;5.544;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.244;3.992;5.236;
Ýlkokul;;17.041;23.232;40.273;
Ýlköðretim;;14.638;11.000;25.638;
Ortaokul veya dengi okul;;7.642;5.619;13.261;
Lise veya dengi okul;;17.329;13.807;31.136;
Yüksekokul veya fakülte;;11.052;9.909;20.961;
Yüksek lisans;;1.182;794;1.976;
Doktora;;438;267;705;
Bilinmeyen;;184;186;370;
Toplam;;71.152;73.948;145.100;
Ulukýþla;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;65;560;625;
Okuma yazma bilen fakat bir okul bitirmeyen;;211;762;973;
Ýlkokul;;2.467;3.568;6.035;
Ýlköðretim;;1.070;802;1.872;
Ortaokul veya dengi okul;;1.017;656;1.673;
Lise veya dengi okul;;2.143;1.205;3.348;
Yüksekokul veya fakülte;;826;535;1.361;
Yüksek lisans;;38;20;58;
Doktora;;3;3;6;
Bilinmeyen;;37;42;79;
Toplam;;7.877;8.153;16.030;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
