TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Ordu;;;;;
Akkuþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;517;2.158;2.675;
Okuma yazma bilen fakat bir okul bitirmeyen;;847;1.874;2.721;
Ýlkokul;;3.537;2.380;5.917;
Ýlköðretim;;1.519;861;2.380;
Ortaokul veya dengi okul;;739;321;1.060;
Lise veya dengi okul;;1.191;659;1.850;
Yüksekokul veya fakülte;;563;323;886;
Yüksek lisans;;31;16;47;
Doktora;;4;3;7;
Bilinmeyen;;28;38;66;
Toplam;;8.976;8.633;17.609;
Altýnordu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;732;5.968;6.700;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.372;4.226;5.598;
Ýlkokul;;12.897;17.545;30.442;
Ýlköðretim;;9.443;8.582;18.025;
Ortaokul veya dengi okul;;8.081;6.795;14.876;
Lise veya dengi okul;;25.814;22.337;48.151;
Yüksekokul veya fakülte;;15.547;13.941;29.488;
Yüksek lisans;;1.329;963;2.292;
Doktora;;399;231;630;
Bilinmeyen;;490;514;1.004;
Toplam;;76.104;81.102;157.206;
Aybastý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;321;1.047;1.368;
Okuma yazma bilen fakat bir okul bitirmeyen;;559;1.528;2.087;
Ýlkokul;;2.621;2.501;5.122;
Ýlköðretim;;1.087;981;2.068;
Ortaokul veya dengi okul;;735;454;1.189;
Lise veya dengi okul;;1.764;1.196;2.960;
Yüksekokul veya fakülte;;807;600;1.407;
Yüksek lisans;;61;34;95;
Doktora;;9;-;9;
Bilinmeyen;;280;257;537;
Toplam;;8.244;8.598;16.842;
Çamaþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;112;626;738;
Okuma yazma bilen fakat bir okul bitirmeyen;;283;694;977;
Ýlkokul;;1.339;1.107;2.446;
Ýlköðretim;;476;377;853;
Ortaokul veya dengi okul;;318;149;467;
Lise veya dengi okul;;631;348;979;
Yüksekokul veya fakülte;;252;107;359;
Yüksek lisans;;12;2;14;
Doktora;;4;5;9;
Bilinmeyen;;13;13;26;
Toplam;;3.440;3.428;6.868;
Çatalpýnar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;123;731;854;
Okuma yazma bilen fakat bir okul bitirmeyen;;282;762;1.044;
Ýlkokul;;1.743;1.668;3.411;
Ýlköðretim;;1.027;775;1.802;
Ortaokul veya dengi okul;;574;300;874;
Lise veya dengi okul;;885;509;1.394;
Yüksekokul veya fakülte;;286;191;477;
Yüksek lisans;;12;3;15;
Doktora;;3;1;4;
Bilinmeyen;;10;10;20;
Toplam;;4.945;4.950;9.895;
Çaybaþý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;149;717;866;
Okuma yazma bilen fakat bir okul bitirmeyen;;421;1.041;1.462;
Ýlkokul;;1.644;1.453;3.097;
Ýlköðretim;;930;653;1.583;
Ortaokul veya dengi okul;;493;202;695;
Lise veya dengi okul;;838;474;1.312;
Yüksekokul veya fakülte;;313;175;488;
Yüksek lisans;;12;3;15;
Doktora;;1;2;3;
Bilinmeyen;;6;10;16;
Toplam;;4.807;4.730;9.537;
Fatsa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;863;3.526;4.389;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.428;4.517;5.945;
Ýlkokul;;9.914;11.264;21.178;
Ýlköðretim;;7.071;6.451;13.522;
Ortaokul veya dengi okul;;5.148;3.502;8.650;
Lise veya dengi okul;;10.833;8.625;19.458;
Yüksekokul veya fakülte;;5.892;5.398;11.290;
Yüksek lisans;;475;306;781;
Doktora;;75;42;117;
Bilinmeyen;;165;166;331;
Toplam;;41.864;43.797;85.661;
Gölköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;415;2.089;2.504;
Okuma yazma bilen fakat bir okul bitirmeyen;;700;1.751;2.451;
Ýlkokul;;3.046;3.149;6.195;
Ýlköðretim;;1.454;1.266;2.720;
Ortaokul veya dengi okul;;1.432;772;2.204;
Lise veya dengi okul;;3.120;1.523;4.643;
Yüksekokul veya fakülte;;777;576;1.353;
Yüksek lisans;;61;37;98;
Doktora;;8;7;15;
Bilinmeyen;;13;28;41;
Toplam;;11.026;11.198;22.224;
Gülyalý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;49;284;333;
Okuma yazma bilen fakat bir okul bitirmeyen;;116;683;799;
Ýlkokul;;1.084;994;2.078;
Ýlköðretim;;412;320;732;
Ortaokul veya dengi okul;;335;248;583;
Lise veya dengi okul;;914;638;1.552;
Yüksekokul veya fakülte;;373;248;621;
Yüksek lisans;;18;10;28;
Doktora;;5;1;6;
Bilinmeyen;;20;9;29;
Toplam;;3.326;3.435;6.761;
Gürgentepe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;216;1.101;1.317;
Okuma yazma bilen fakat bir okul bitirmeyen;;426;1.232;1.658;
Ýlkokul;;1.908;1.624;3.532;
Ýlköðretim;;917;609;1.526;
Ortaokul veya dengi okul;;631;318;949;
Lise veya dengi okul;;1.090;455;1.545;
Yüksekokul veya fakülte;;302;190;492;
Yüksek lisans;;17;3;20;
Doktora;;2;4;6;
Bilinmeyen;;4;9;13;
Toplam;;5.513;5.545;11.058;
Ýkizce;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;165;528;693;
Okuma yazma bilen fakat bir okul bitirmeyen;;505;1.502;2.007;
Ýlkokul;;1.888;1.617;3.505;
Ýlköðretim;;958;632;1.590;
Ortaokul veya dengi okul;;594;270;864;
Lise veya dengi okul;;996;526;1.522;
Yüksekokul veya fakülte;;360;213;573;
Yüksek lisans;;9;9;18;
Doktora;;2;4;6;
Bilinmeyen;;18;10;28;
Toplam;;5.495;5.311;10.806;
Kabadüz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;67;345;412;
Okuma yazma bilen fakat bir okul bitirmeyen;;206;616;822;
Ýlkokul;;982;878;1.860;
Ýlköðretim;;474;282;756;
Ortaokul veya dengi okul;;461;218;679;
Lise veya dengi okul;;777;407;1.184;
Yüksekokul veya fakülte;;295;149;444;
Yüksek lisans;;9;7;16;
Doktora;;1;-;1;
Bilinmeyen;;17;13;30;
Toplam;;3.289;2.915;6.204;
Kabataþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;170;515;685;
Okuma yazma bilen fakat bir okul bitirmeyen;;374;986;1.360;
Ýlkokul;;1.398;1.246;2.644;
Ýlköðretim;;543;430;973;
Ortaokul veya dengi okul;;369;238;607;
Lise veya dengi okul;;758;499;1.257;
Yüksekokul veya fakülte;;374;295;669;
Yüksek lisans;;25;11;36;
Doktora;;4;2;6;
Bilinmeyen;;9;8;17;
Toplam;;4.024;4.230;8.254;
Korgan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;585;2.296;2.881;
Okuma yazma bilen fakat bir okul bitirmeyen;;763;1.527;2.290;
Ýlkokul;;3.304;2.985;6.289;
Ýlköðretim;;1.910;1.403;3.313;
Ortaokul veya dengi okul;;1.069;521;1.590;
Lise veya dengi okul;;2.129;1.246;3.375;
Yüksekokul veya fakülte;;774;520;1.294;
Yüksek lisans;;50;21;71;
Doktora;;3;2;5;
Bilinmeyen;;39;49;88;
Toplam;;10.626;10.570;21.196;
Kumru;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;372;1.446;1.818;
Okuma yazma bilen fakat bir okul bitirmeyen;;967;2.281;3.248;
Ýlkokul;;3.471;3.447;6.918;
Ýlköðretim;;1.956;1.576;3.532;
Ortaokul veya dengi okul;;1.241;573;1.814;
Lise veya dengi okul;;2.214;1.267;3.481;
Yüksekokul veya fakülte;;803;556;1.359;
Yüksek lisans;;32;23;55;
Doktora;;5;8;13;
Bilinmeyen;;21;38;59;
Toplam;;11.082;11.215;22.297;
Mesudiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;225;1.438;1.663;
Okuma yazma bilen fakat bir okul bitirmeyen;;366;752;1.118;
Ýlkokul;;2.850;2.666;5.516;
