TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Osmaniye;;;;;
Bahçe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;161;883;1.044;
Okuma yazma bilen fakat bir okul bitirmeyen;;95;302;397;
Ýlkokul;;1.278;2.322;3.600;
Ýlköðretim;;1.200;1.179;2.379;
Ortaokul veya dengi okul;;1.037;648;1.685;
Lise veya dengi okul;;2.510;1.513;4.023;
Yüksekokul veya fakülte;;1.125;697;1.822;
Yüksek lisans;;71;34;105;
Doktora;;9;5;14;
Bilinmeyen;;24;33;57;
Toplam;;7.510;7.616;15.126;
Düziçi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;613;3.140;3.753;
Okuma yazma bilen fakat bir okul bitirmeyen;;615;1.477;2.092;
Ýlkokul;;4.211;8.352;12.563;
Ýlköðretim;;5.688;4.101;9.789;
Ortaokul veya dengi okul;;3.936;2.644;6.580;
Lise veya dengi okul;;8.027;5.373;13.400;
Yüksekokul veya fakülte;;3.948;2.800;6.748;
Yüksek lisans;;229;134;363;
Doktora;;15;19;34;
Bilinmeyen;;78;145;223;
Toplam;;27.360;28.185;55.545;
Hasanbeyli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;28;148;176;
Okuma yazma bilen fakat bir okul bitirmeyen;;43;159;202;
Ýlkokul;;391;548;939;
Ýlköðretim;;326;224;550;
Ortaokul veya dengi okul;;179;138;317;
Lise veya dengi okul;;493;270;763;
Yüksekokul veya fakülte;;187;102;289;
Yüksek lisans;;6;5;11;
Doktora;;-;3;3;
Bilinmeyen;;5;6;11;
Toplam;;1.658;1.603;3.261;
Kadirli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;912;5.328;6.240;
Okuma yazma bilen fakat bir okul bitirmeyen;;922;1.906;2.828;
Ýlkokul;;8.902;11.384;20.286;
Ýlköðretim;;5.546;4.490;10.036;
Ortaokul veya dengi okul;;5.946;4.031;9.977;
Lise veya dengi okul;;13.461;11.376;24.837;
Yüksekokul veya fakülte;;7.071;6.385;13.456;
Yüksek lisans;;449;268;717;
Doktora;;40;27;67;
Bilinmeyen;;342;344;686;
Toplam;;43.591;45.539;89.130;
Osmaniye Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.370;7.987;9.357;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.908;5.098;7.006;
Ýlkokul;;13.199;20.621;33.820;
Ýlköðretim;;14.531;11.000;25.531;
Ortaokul veya dengi okul;;10.430;6.982;17.412;
Lise veya dengi okul;;25.023;22.356;47.379;
Yüksekokul veya fakülte;;16.247;12.201;28.448;
Yüksek lisans;;1.220;648;1.868;
Doktora;;195;100;295;
Bilinmeyen;;768;1.000;1.768;
Toplam;;84.891;87.993;172.884;
Sumbas;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;152;1.025;1.177;
Okuma yazma bilen fakat bir okul bitirmeyen;;131;248;379;
Ýlkokul;;1.642;1.833;3.475;
Ýlköðretim;;1.064;587;1.651;
Ortaokul veya dengi okul;;730;452;1.182;
Lise veya dengi okul;;1.240;933;2.173;
Yüksekokul veya fakülte;;327;256;583;
Yüksek lisans;;12;8;20;
Doktora;;2;7;9;
Bilinmeyen;;10;19;29;
Toplam;;5.310;5.368;10.678;
Toprakkale;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;72;501;573;
Okuma yazma bilen fakat bir okul bitirmeyen;;158;360;518;
Ýlkokul;;827;1.441;2.268;
Ýlköðretim;;1.009;788;1.797;
Ortaokul veya dengi okul;;698;467;1.165;
Lise veya dengi okul;;1.657;1.163;2.820;
Yüksekokul veya fakülte;;840;623;1.463;
Yüksek lisans;;92;64;156;
Doktora;;24;7;31;
Bilinmeyen;;29;41;70;
Toplam;;5.406;5.455;10.861;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
