TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Rize;;;;;
Ardeþen;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;73;458;531;
Okuma yazma bilen fakat bir okul bitirmeyen;;182;726;908;
Ýlkokul;;3.004;4.688;7.692;
Ýlköðretim;;2.450;1.735;4.185;
Ortaokul veya dengi okul;;1.696;1.676;3.372;
Lise veya dengi okul;;4.836;3.806;8.642;
Yüksekokul veya fakülte;;2.537;2.280;4.817;
Yüksek lisans;;209;112;321;
Doktora;;19;17;36;
Bilinmeyen;;71;86;157;
Toplam;;15.077;15.584;30.661;
Çamlýhemþin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;30;327;357;
Okuma yazma bilen fakat bir okul bitirmeyen;;62;295;357;
Ýlkokul;;858;986;1.844;
Ýlköðretim;;369;350;719;
Ortaokul veya dengi okul;;309;168;477;
Lise veya dengi okul;;634;391;1.025;
Yüksekokul veya fakülte;;277;202;479;
Yüksek lisans;;20;9;29;
Doktora;;2;-;2;
Bilinmeyen;;19;12;31;
Toplam;;2.580;2.740;5.320;
Çayeli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;129;1.588;1.717;
Okuma yazma bilen fakat bir okul bitirmeyen;;252;2.078;2.330;
Ýlkokul;;4.061;4.699;8.760;
Ýlköðretim;;2.627;1.761;4.388;
Ortaokul veya dengi okul;;1.926;1.563;3.489;
Lise veya dengi okul;;4.698;3.127;7.825;
Yüksekokul veya fakülte;;2.223;1.836;4.059;
Yüksek lisans;;166;106;272;
Doktora;;42;25;67;
Bilinmeyen;;57;74;131;
Toplam;;16.181;16.857;33.038;
Derepazarý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;22;268;290;
Okuma yazma bilen fakat bir okul bitirmeyen;;40;321;361;
Ýlkokul;;767;1.056;1.823;
Ýlköðretim;;341;321;662;
Ortaokul veya dengi okul;;286;219;505;
Lise veya dengi okul;;979;451;1.430;
Yüksekokul veya fakülte;;339;226;565;
Yüksek lisans;;13;12;25;
Doktora;;5;1;6;
Bilinmeyen;;16;15;31;
Toplam;;2.808;2.890;5.698;
Fýndýklý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;39;206;245;
Okuma yazma bilen fakat bir okul bitirmeyen;;83;578;661;
Ýlkokul;;1.252;1.782;3.034;
Ýlköðretim;;752;536;1.288;
Ortaokul veya dengi okul;;770;619;1.389;
Lise veya dengi okul;;2.138;1.755;3.893;
Yüksekokul veya fakülte;;1.061;928;1.989;
Yüksek lisans;;59;49;108;
Doktora;;9;6;15;
Bilinmeyen;;31;44;75;
Toplam;;6.194;6.503;12.697;
Güneysu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;49;744;793;
Okuma yazma bilen fakat bir okul bitirmeyen;;95;836;931;
Ýlkokul;;1.384;1.480;2.864;
Ýlköðretim;;1.036;622;1.658;
Ortaokul veya dengi okul;;557;474;1.031;
Lise veya dengi okul;;1.404;839;2.243;
Yüksekokul veya fakülte;;590;421;1.011;
Yüksek lisans;;29;19;48;
Doktora;;4;3;7;
Bilinmeyen;;20;21;41;
Toplam;;5.168;5.459;10.627;
Hemþin;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;8;115;123;
Okuma yazma bilen fakat bir okul bitirmeyen;;28;175;203;
Ýlkokul;;374;469;843;
Ýlköðretim;;108;70;178;
Ortaokul veya dengi okul;;111;65;176;
Lise veya dengi okul;;234;149;383;
Yüksekokul veya fakülte;;145;92;237;
Yüksek lisans;;13;4;17;
Doktora;;1;-;1;
Bilinmeyen;;6;6;12;
Toplam;;1.028;1.145;2.173;
Ýkizdere;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;62;500;562;
Okuma yazma bilen fakat bir okul bitirmeyen;;98;407;505;
Ýlkokul;;919;771;1.690;
Ýlköðretim;;329;187;516;
Ortaokul veya dengi okul;;297;173;470;
Lise veya dengi okul;;589;283;872;
Yüksekokul veya fakülte;;256;133;389;
Yüksek lisans;;17;8;25;
Doktora;;3;-;3;
Bilinmeyen;;13;16;29;
Toplam;;2.583;2.478;5.061;
Ýyidere;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;16;307;323;
Okuma yazma bilen fakat bir okul bitirmeyen;;77;431;508;
Ýlkokul;;852;1.080;1.932;
Ýlköðretim;;424;335;759;
Ortaokul veya dengi okul;;395;351;746;
Lise veya dengi okul;;1.077;603;1.680;
Yüksekokul veya fakülte;;414;281;695;
Yüksek lisans;;19;17;36;
Doktora;;4;1;5;
Bilinmeyen;;4;10;14;
Toplam;;3.282;3.416;6.698;
Kalkandere;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;58;731;789;
Okuma yazma bilen fakat bir okul bitirmeyen;;89;675;764;
Ýlkokul;;1.315;1.439;2.754;
Ýlköðretim;;783;509;1.292;
Ortaokul veya dengi okul;;589;352;941;
Lise veya dengi okul;;1.081;563;1.644;
Yüksekokul veya fakülte;;530;259;789;
Yüksek lisans;;21;9;30;
Doktora;;1;2;3;
Bilinmeyen;;11;16;27;
Toplam;;4.478;4.555;9.033;
Pazar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;105;1.101;1.206;
Okuma yazma bilen fakat bir okul bitirmeyen;;233;1.527;1.760;
Ýlkokul;;2.994;3.449;6.443;
Ýlköðretim;;1.744;1.189;2.933;
Ortaokul veya dengi okul;;1.319;1.246;2.565;
Lise veya dengi okul;;3.668;2.643;6.311;
Yüksekokul veya fakülte;;1.717;1.370;3.087;
Yüksek lisans;;104;101;205;
Doktora;;16;15;31;
Bilinmeyen;;54;58;112;
Toplam;;11.954;12.699;24.653;
Rize Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;232;3.385;3.617;
Okuma yazma bilen fakat bir okul bitirmeyen;;640;4.414;5.054;
Ýlkokul;;9.070;12.891;21.961;
Ýlköðretim;;8.171;6.014;14.185;
Ortaokul veya dengi okul;;5.105;4.570;9.675;
Lise veya dengi okul;;16.761;13.442;30.203;
Yüksekokul veya fakülte;;10.351;8.850;19.201;
Yüksek lisans;;1.042;805;1.847;
Doktora;;389;184;573;
Bilinmeyen;;155;212;367;
Toplam;;51.916;54.767;106.683;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
