TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Sakarya;;;;;
Adapazarý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;516;3.875;4.391;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.140;3.674;4.814;
Ýlkokul;;17.454;29.670;47.124;
Ýlköðretim;;14.504;12.572;27.076;
Ortaokul veya dengi okul;;10.117;7.816;17.933;
Lise veya dengi okul;;31.212;24.592;55.804;
Yüksekokul veya fakülte;;16.630;14.476;31.106;
Yüksek lisans;;1.550;1.063;2.613;
Doktora;;341;172;513;
Bilinmeyen;;599;655;1.254;
Toplam;;94.063;98.565;192.628;
Akyazý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;282;2.619;2.901;
Okuma yazma bilen fakat bir okul bitirmeyen;;592;1.609;2.201;
Ýlkokul;;8.005;11.459;19.464;
Ýlköðretim;;6.154;5.409;11.563;
Ortaokul veya dengi okul;;3.881;2.364;6.245;
Lise veya dengi okul;;8.629;5.720;14.349;
Yüksekokul veya fakülte;;3.432;2.455;5.887;
Yüksek lisans;;206;114;320;
Doktora;;35;24;59;
Bilinmeyen;;252;272;524;
Toplam;;31.468;32.045;63.513;
Arifiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;83;665;748;
Okuma yazma bilen fakat bir okul bitirmeyen;;176;726;902;
Ýlkokul;;2.682;4.793;7.475;
Ýlköðretim;;2.554;2.278;4.832;
Ortaokul veya dengi okul;;1.643;1.084;2.727;
Lise veya dengi okul;;5.219;3.379;8.598;
Yüksekokul veya fakülte;;2.140;1.626;3.766;
Yüksek lisans;;160;87;247;
Doktora;;35;14;49;
Bilinmeyen;;70;62;132;
Toplam;;14.762;14.714;29.476;
Erenler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;137;1.212;1.349;
Okuma yazma bilen fakat bir okul bitirmeyen;;380;1.364;1.744;
Ýlkokul;;6.419;9.779;16.198;
Ýlköðretim;;5.459;4.501;9.960;
Ortaokul veya dengi okul;;3.181;2.234;5.415;
Lise veya dengi okul;;9.356;7.316;16.672;
Yüksekokul veya fakülte;;4.560;3.915;8.475;
Yüksek lisans;;394;258;652;
Doktora;;60;31;91;
Bilinmeyen;;188;226;414;
Toplam;;30.134;30.836;60.970;
Ferizli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;91;716;807;
Okuma yazma bilen fakat bir okul bitirmeyen;;185;489;674;
Ýlkokul;;2.536;3.381;5.917;
Ýlköðretim;;1.703;1.568;3.271;
Ortaokul veya dengi okul;;1.086;731;1.817;
Lise veya dengi okul;;2.639;1.420;4.059;
Yüksekokul veya fakülte;;927;693;1.620;
Yüksek lisans;;45;34;79;
Doktora;;4;9;13;
Bilinmeyen;;109;85;194;
Toplam;;9.325;9.126;18.451;
Geyve;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;243;1.491;1.734;
Okuma yazma bilen fakat bir okul bitirmeyen;;515;1.003;1.518;
Ýlkokul;;4.789;7.121;11.910;
Ýlköðretim;;3.132;2.625;5.757;
Ortaokul veya dengi okul;;1.999;1.290;3.289;
Lise veya dengi okul;;4.625;2.941;7.566;
Yüksekokul veya fakülte;;2.040;1.507;3.547;
Yüksek lisans;;127;69;196;
Doktora;;20;17;37;
Bilinmeyen;;49;68;117;
Toplam;;17.539;18.132;35.671;
Hendek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;237;2.237;2.474;
Okuma yazma bilen fakat bir okul bitirmeyen;;495;1.580;2.075;
Ýlkokul;;7.255;10.039;17.294;
Ýlköðretim;;4.769;3.955;8.724;
Ortaokul veya dengi okul;;3.231;2.241;5.472;
Lise veya dengi okul;;8.582;5.847;14.429;
Yüksekokul veya fakülte;;3.676;3.035;6.711;
Yüksek lisans;;257;173;430;
Doktora;;72;45;117;
Bilinmeyen;;188;171;359;
Toplam;;28.762;29.323;58.085;
Karapürçek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;49;381;430;
Okuma yazma bilen fakat bir okul bitirmeyen;;97;210;307;
Ýlkokul;;1.186;1.763;2.949;
Ýlköðretim;;1.074;921;1.995;
Ortaokul veya dengi okul;;525;297;822;
Lise veya dengi okul;;1.207;625;1.832;
Yüksekokul veya fakülte;;351;217;568;
Yüksek lisans;;11;5;16;
Doktora;;2;5;7;
Bilinmeyen;;30;32;62;
Toplam;;4.532;4.456;8.988;
Karasu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;254;1.804;2.058;
Okuma yazma bilen fakat bir okul bitirmeyen;;539;1.482;2.021;
Ýlkokul;;6.622;8.354;14.976;
Ýlköðretim;;4.243;3.184;7.427;
Ortaokul veya dengi okul;;2.568;1.720;4.288;
Lise veya dengi okul;;5.630;4.217;9.847;
Yüksekokul veya fakülte;;2.664;2.223;4.887;
Yüksek lisans;;198;99;297;
Doktora;;8;17;25;
Bilinmeyen;;303;318;621;
Toplam;;23.029;23.418;46.447;
Kaynarca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;157;830;987;
Okuma yazma bilen fakat bir okul bitirmeyen;;359;770;1.129;
Ýlkokul;;2.816;3.399;6.215;
Ýlköðretim;;1.669;1.344;3.013;
Ortaokul veya dengi okul;;987;621;1.608;
Lise veya dengi okul;;1.909;1.113;3.022;
Yüksekokul veya fakülte;;873;548;1.421;
Yüksek lisans;;57;20;77;
Doktora;;7;6;13;
Bilinmeyen;;93;78;171;
Toplam;;8.927;8.729;17.656;
Kocaali;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;149;942;1.091;
Okuma yazma bilen fakat bir okul bitirmeyen;;246;694;940;
Ýlkokul;;2.824;3.156;5.980;
Ýlköðretim;;1.302;992;2.294;
Ortaokul veya dengi okul;;1.023;533;1.556;
Lise veya dengi okul;;1.917;1.289;3.206;
Yüksekokul veya fakülte;;795;592;1.387;
Yüksek lisans;;59;25;84;
Doktora;;3;1;4;
Bilinmeyen;;58;65;123;
Toplam;;8.376;8.289;16.665;
Pamukova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;104;667;771;
Okuma yazma bilen fakat bir okul bitirmeyen;;184;517;701;
Ýlkokul;;2.641;4.458;7.099;
Ýlköðretim;;1.844;1.443;3.287;
Ortaokul veya dengi okul;;1.394;819;2.213;
Lise veya dengi okul;;2.838;1.825;4.663;
Yüksekokul veya fakülte;;1.398;997;2.395;
Yüksek lisans;;90;53;143;
Doktora;;10;12;22;
Bilinmeyen;;37;32;69;
Toplam;;10.540;10.823;21.363;
Sapanca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;107;667;774;
Okuma yazma bilen fakat bir okul bitirmeyen;;209;722;931;
Ýlkokul;;2.399;4.129;6.528;
Ýlköðretim;;2.005;1.413;3.418;
Ortaokul veya dengi okul;;1.591;1.072;2.663;
Lise veya dengi okul;;5.240;4.332;9.572;
Yüksekokul veya fakülte;;2.577;2.300;4.877;
Yüksek lisans;;249;203;452;
Doktora;;73;51;124;
Bilinmeyen;;140;128;268;
Toplam;;14.590;15.017;29.607;
Serdivan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;151;1.252;1.403;
Okuma yazma bilen fakat bir okul bitirmeyen;;392;1.323;1.715;
