TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Samsun;;;;;
Alaçam;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;128;548;676;
Okuma yazma bilen fakat bir okul bitirmeyen;;846;1.911;2.757;
Ýlkokul;;3.688;3.838;7.526;
Ýlköðretim;;1.399;1.312;2.711;
Ortaokul veya dengi okul;;964;535;1.499;
Lise veya dengi okul;;1.725;1.374;3.099;
Yüksekokul veya fakülte;;922;826;1.748;
Yüksek lisans;;58;29;87;
Doktora;;10;6;16;
Bilinmeyen;;19;21;40;
Toplam;;9.759;10.400;20.159;
Asarcýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;67;280;347;
Okuma yazma bilen fakat bir okul bitirmeyen;;417;1.298;1.715;
Ýlkokul;;1.928;2.107;4.035;
Ýlköðretim;;1.640;1.335;2.975;
Ortaokul veya dengi okul;;553;230;783;
Lise veya dengi okul;;952;539;1.491;
Yüksekokul veya fakülte;;283;163;446;
Yüksek lisans;;14;6;20;
Doktora;;4;6;10;
Bilinmeyen;;6;3;9;
Toplam;;5.864;5.967;11.831;
Atakum;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;146;1.052;1.198;
Okuma yazma bilen fakat bir okul bitirmeyen;;983;3.502;4.485;
Ýlkokul;;7.575;12.813;20.388;
Ýlköðretim;;5.494;4.850;10.344;
Ortaokul veya dengi okul;;4.392;4.494;8.886;
Lise veya dengi okul;;20.023;19.587;39.610;
Yüksekokul veya fakülte;;21.361;19.111;40.472;
Yüksek lisans;;2.539;2.160;4.699;
Doktora;;1.085;633;1.718;
Bilinmeyen;;406;443;849;
Toplam;;64.004;68.645;132.649;
Ayvacýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;292;1.050;1.342;
Okuma yazma bilen fakat bir okul bitirmeyen;;775;1.053;1.828;
Ýlkokul;;2.612;2.427;5.039;
Ýlköðretim;;1.805;1.255;3.060;
Ortaokul veya dengi okul;;502;291;793;
Lise veya dengi okul;;945;740;1.685;
Yüksekokul veya fakülte;;396;279;675;
Yüksek lisans;;12;7;19;
Doktora;;3;3;6;
Bilinmeyen;;15;14;29;
Toplam;;7.357;7.119;14.476;
Bafra;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;859;3.800;4.659;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.537;6.720;9.257;
Ýlkokul;;15.616;18.377;33.993;
Ýlköðretim;;9.143;6.780;15.923;
Ortaokul veya dengi okul;;5.298;3.997;9.295;
Lise veya dengi okul;;10.968;9.951;20.919;
Yüksekokul veya fakülte;;6.977;6.430;13.407;
Yüksek lisans;;445;293;738;
Doktora;;48;36;84;
Bilinmeyen;;270;270;540;
Toplam;;52.161;56.654;108.815;
Canik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;319;2.090;2.409;
Okuma yazma bilen fakat bir okul bitirmeyen;;960;2.557;3.517;
Ýlkokul;;8.703;10.866;19.569;
Ýlköðretim;;8.418;6.196;14.614;
Ortaokul veya dengi okul;;3.345;2.580;5.925;
Lise veya dengi okul;;8.000;6.703;14.703;
Yüksekokul veya fakülte;;4.027;3.771;7.798;
Yüksek lisans;;269;207;476;
Doktora;;43;25;68;
Bilinmeyen;;182;189;371;
Toplam;;34.266;35.184;69.450;
Çarþamba;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;699;3.601;4.300;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.934;7.482;10.416;
Ýlkokul;;16.539;17.912;34.451;
Ýlköðretim;;9.733;7.117;16.850;
Ortaokul veya dengi okul;;4.813;2.936;7.749;
Lise veya dengi okul;;9.630;7.806;17.436;
Yüksekokul veya fakülte;;5.003;4.306;9.309;
Yüksek lisans;;301;162;463;
Doktora;;35;29;64;
Bilinmeyen;;333;324;657;
Toplam;;50.020;51.675;101.695;
Havza;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;158;860;1.018;
Okuma yazma bilen fakat bir okul bitirmeyen;;763;2.592;3.355;
Ýlkokul;;5.239;6.217;11.456;
Ýlköðretim;;1.853;1.651;3.504;
Ortaokul veya dengi okul;;1.442;855;2.297;
Lise veya dengi okul;;3.300;2.138;5.438;
Yüksekokul veya fakülte;;1.634;1.180;2.814;
Yüksek lisans;;134;63;197;
Doktora;;16;8;24;
Bilinmeyen;;61;55;116;
Toplam;;14.600;15.619;30.219;
Ýlkadým;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;651;5.039;5.690;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.992;7.364;9.356;
Ýlkokul;;19.673;31.497;51.170;
Ýlköðretim;;18.236;13.920;32.156;
Ortaokul veya dengi okul;;11.744;10.462;22.206;
Lise veya dengi okul;;36.389;32.863;69.252;
Yüksekokul veya fakülte;;23.524;22.150;45.674;
Yüksek lisans;;1.858;1.495;3.353;
Doktora;;335;232;567;
Bilinmeyen;;580;642;1.222;
Toplam;;114.982;125.664;240.646;
Kavak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;60;435;495;
Okuma yazma bilen fakat bir okul bitirmeyen;;498;1.912;2.410;
Ýlkokul;;2.510;2.706;5.216;
Ýlköðretim;;1.508;1.110;2.618;
Ortaokul veya dengi okul;;769;419;1.188;
Lise veya dengi okul;;1.730;1.045;2.775;
Yüksekokul veya fakülte;;822;476;1.298;
Yüksek lisans;;37;11;48;
Doktora;;3;4;7;
Bilinmeyen;;12;23;35;
Toplam;;7.949;8.141;16.090;
Ladik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;40;297;337;
Okuma yazma bilen fakat bir okul bitirmeyen;;311;1.169;1.480;
Ýlkokul;;2.189;2.761;4.950;
Ýlköðretim;;667;600;1.267;
Ortaokul veya dengi okul;;696;472;1.168;
Lise veya dengi okul;;1.642;997;2.639;
