TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Siirt;;;;;
Baykan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;216;1.504;1.720;
Okuma yazma bilen fakat bir okul bitirmeyen;;456;1.325;1.781;
Ýlkokul;;1.421;1.635;3.056;
Ýlköðretim;;2.295;1.357;3.652;
Ortaokul veya dengi okul;;806;324;1.130;
Lise veya dengi okul;;1.435;655;2.090;
Yüksekokul veya fakülte;;667;312;979;
Yüksek lisans;;29;8;37;
Doktora;;5;8;13;
Bilinmeyen;;9;15;24;
Toplam;;7.339;7.143;14.482;
Eruh;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;364;1.444;1.808;
Okuma yazma bilen fakat bir okul bitirmeyen;;383;918;1.301;
Ýlkokul;;856;679;1.535;
Ýlköðretim;;1.124;843;1.967;
Ortaokul veya dengi okul;;499;294;793;
Lise veya dengi okul;;1.497;469;1.966;
Yüksekokul veya fakülte;;805;293;1.098;
Yüksek lisans;;28;7;35;
Doktora;;4;4;8;
Bilinmeyen;;32;31;63;
Toplam;;5.592;4.982;10.574;
Kurtalan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;559;2.836;3.395;
Okuma yazma bilen fakat bir okul bitirmeyen;;775;3.155;3.930;
Ýlkokul;;2.199;3.288;5.487;
Ýlköðretim;;4.003;3.181;7.184;
Ortaokul veya dengi okul;;2.067;985;3.052;
Lise veya dengi okul;;5.013;2.321;7.334;
Yüksekokul veya fakülte;;2.332;1.113;3.445;
Yüksek lisans;;112;26;138;
Doktora;;10;7;17;
Bilinmeyen;;81;160;241;
Toplam;;17.151;17.072;34.223;
Pervari;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;625;2.774;3.399;
Okuma yazma bilen fakat bir okul bitirmeyen;;920;1.822;2.742;
Ýlkokul;;1.688;1.031;2.719;
Ýlköðretim;;1.880;1.112;2.992;
Ortaokul veya dengi okul;;646;257;903;
Lise veya dengi okul;;1.161;336;1.497;
Yüksekokul veya fakülte;;518;286;804;
Yüksek lisans;;41;15;56;
Doktora;;2;1;3;
Bilinmeyen;;70;134;204;
Toplam;;7.551;7.768;15.319;
Siirt Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.244;7.922;9.166;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.381;6.902;9.283;
Ýlkokul;;4.998;7.960;12.958;
Ýlköðretim;;8.950;7.577;16.527;
Ortaokul veya dengi okul;;4.583;2.692;7.275;
Lise veya dengi okul;;12.268;6.886;19.154;
Yüksekokul veya fakülte;;9.766;5.188;14.954;
Yüksek lisans;;795;265;1.060;
Doktora;;251;64;315;
Bilinmeyen;;102;225;327;
Toplam;;45.338;45.681;91.019;
Þirvan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;351;1.549;1.900;
Okuma yazma bilen fakat bir okul bitirmeyen;;643;1.084;1.727;
Ýlkokul;;1.367;1.092;2.459;
Ýlköðretim;;1.653;1.167;2.820;
Ortaokul veya dengi okul;;576;275;851;
Lise veya dengi okul;;762;318;1.080;
Yüksekokul veya fakülte;;363;243;606;
Yüksek lisans;;14;5;19;
Doktora;;5;1;6;
Bilinmeyen;;24;76;100;
Toplam;;5.758;5.810;11.568;
Tillo;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;49;251;300;
Okuma yazma bilen fakat bir okul bitirmeyen;;49;178;227;
Ýlkokul;;180;242;422;
Ýlköðretim;;378;280;658;
Ortaokul veya dengi okul;;119;67;186;
Lise veya dengi okul;;393;94;487;
Yüksekokul veya fakülte;;223;52;275;
Yüksek lisans;;5;2;7;
Doktora;;1;-;1;
Bilinmeyen;;8;8;16;
Toplam;;1.405;1.174;2.579;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
